year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
1946,77147.0,5885.0,20387.0,412.0,14638.0,8776.0,1411.0,3440.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4900.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7408.0,21497.0
1945,77147.0,5885.0,23239.0,412.0,14638.0,8776.0,1411.0,3349.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4766.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,5619.0,21497.0
1944,77147.0,5885.0,24117.0,412.0,14638.0,8776.0,1411.0,3258.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5278.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,4413.0,21497.0
1943,77147.0,5885.0,23357.0,412.0,14638.0,8776.0,1411.0,3167.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5090.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,4945.0,21497.0
1942,77147.0,5885.0,20228.0,412.0,14638.0,8776.0,1411.0,3076.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4916.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,5578.0,21497.0
1941,77147.0,5885.0,17143.0,412.0,14638.0,8776.0,1411.0,2984.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4647.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,5809.0,21497.0
1940,77147.0,5885.0,14473.0,412.0,14638.0,8776.0,1411.0,2893.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4688.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,5771.0,21497.0
1939,77147.0,5885.0,13362.0,412.0,14638.0,8776.0,1411.0,2478.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,4892.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,8528.0,21497.0
1938,77147.0,5885.0,12498.0,412.0,14638.0,8776.0,1411.0,2774.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5095.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7288.0,21497.0
1937,77147.0,5885.0,13501.0,412.0,14638.0,8776.0,1411.0,2784.0,2378.0,2694.0,18555.0,47.0,71661.0,1880.0,10180.0,6344.0,4825.0,16793.0,19641.0,1997.0,5299.0,1747.0,470.0,14762.0,11601.0,37633.0,4057.0,777.0,5160.0,30596.0,11116.0,1637.0,5080.0,4289.0,4588.0,4005.0,23288.0,15378.0,7669.0,3200.0,7152.0,21497.0
