year,AE,BH,BR,CZ,EG,FR,IN,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TH,TR,US,XM,YE
2000,3050128.0,666855.0,175786448.0,10272503.0,68334904.0,60545335.2266,1053481088.0,23574752.0,4767476.0,1929470.0,3235380.0,2239403.0,3223781.0,593453.0,21392272.0,16354050.0,62958020.0,63240156.0,282398000.0,296247364.0,17795220.0
1999,2884188.0,640904.0,173153072.0,10282784.0,67112880.0,60166764.925,1034976640.0,22888600.0,4691402.0,1853152.0,3156661.0,2225481.0,3119607.0,570643.0,20825956.0,15972430.0,62306652.0,62295616.0,279328000.0,290322302.0,17304422.0
1998,2733770.0,618054.0,170516480.0,10294943.0,65922628.0,59945095.6866,1016402880.0,22200836.0,4621329.0,1766247.0,3113960.0,2224922.0,3000312.0,548618.0,20302192.0,15568797.0,61597284.0,61344872.0,276154000.0,284412537.0,16829936.0
1997,2595220.0,597834.0,167893840.0,10303642.0,64754568.0,59736602.2882,997817280.0,21519356.0,4545248.0,1686256.0,3092684.0,2227596.0,2871637.0,528213.0,19809632.0,15151962.0,60863504.0,60394104.0,272958000.0,278550207.0,16349809.0
1996,2467726.0,579855.0,165303152.0,10315353.0,63595628.0,59531789.7469,979290432.0,20855408.0,4448113.0,1637906.0,3070974.0,2219768.0,2742127.0,511864.0,19331312.0,14736209.0,60151472.0,59451488.0,269714000.0,272789757.0,15834747.0
1995,2350192.0,563730.0,162755056.0,10330759.0,62434528.0,59324435.9103,960875008.0,20217760.0,4320158.0,1637031.0,3033406.0,2191864.0,2618272.0,501019.0,18853670.0,14331962.0,59491792.0,58522320.0,266588000.0,267160691.0,15266147.0
1994,2238281.0,549151.0,160260512.0,10336162.0,61272848.0,59113396.5008,942604224.0,19606896.0,4154813.0,1691891.0,2974647.0,2139539.0,2501613.0,495179.0,18373412.0,13941025.0,58901664.0,57608768.0,263455000.0,261682446.0,14633091.0
1993,2127863.0,535692.0,157812224.0,10330607.0,60108372.0,58894627.3717,924475648.0,19021968.0,3957221.0,1791511.0,2900862.0,2066264.0,2391070.0,492120.0,17890528.0,13559642.0,58364892.0,56707456.0,260282000.0,256310543.0,13948118.0
1992,2019014.0,522748.0,155379008.0,10317807.0,58922016.0,58612732.0781,906461376.0,18468520.0,3743944.0,1909096.0,2821868.0,1979914.0,2287375.0,489668.0,17398524.0,13186187.0,57837880.0,55811136.0,256922000.0,250935113.0,13245003.0
1991,1913190.0,509654.0,152916848.0,10308682.0,57689828.0,58320807.8179,888513856.0,17952908.0,3538663.0,2007110.0,2752473.0,1892345.0,2190716.0,485114.0,16890556.0,12817578.0,57258400.0,54909508.0,253530000.0,245408923.0,12571240.0
1990,1811458.0,495944.0,150393136.0,10362740.0,56397272.0,58035445.3158,870601792.0,17478456.0,3358453.0,2058832.0,2703019.0,1812159.0,2101156.0,476478.0,16361453.0,12451539.0,56582820.0,53994604.0,250181000.0,239631118.0,11961099.0
1989,1712117.0,481126.0,147801824.0,10357731.0,55035936.0,57705152.8878,852736128.0,17048168.0,3209466.0,2054443.0,2676615.0,1741965.0,2019486.0,463062.0,15810980.0,12088714.0,55795104.0,53066568.0,247387000.0,233570798.0,11426912.0
1988,1613904.0,465235.0,145150464.0,10352765.0,53617680.0,57378643.0244,834944384.0,16657708.0,3086664.0,2002645.0,2668593.0,1679089.0,1945947.0,445203.0,15239174.0,11730217.0,54912336.0,52126496.0,245061000.0,227273478.0,10958983.0
1987,1518991.0,448994.0,142437472.0,10349275.0,52173840.0,57072097.0021,817232256.0,16293719.0,2982349.0,1917950.0,2672182.0,1620573.0,1879218.0,423327.0,14642354.0,11374772.0,53964408.0,51168840.0,242843000.0,220811830.0,10542601.0
1986,1430548.0,433487.0,139664640.0,10349071.0,50748188.0,56779873.4781,799607232.0,15937864.0,2884065.0,1823201.0,2677290.0,1561493.0,1817336.0,398326.0,14016569.0,11020718.0,52996468.0,50187092.0,240683000.0,214295366.0,10153613.0
1985,1350433.0,419425.0,136836432.0,10352921.0,49373808.0,56504809.0774,782085120.0,15576396.0,2782885.0,1735320.0,2676593.0,1498416.0,1758788.0,371071.0,13361284.0,10667245.0,52041468.0,49178080.0,238506000.0,207814778.0,9774242.0
1984,1280278.0,407223.0,133950552.0,10362418.0,48061544.0,56221173.5897,764664256.0,15204746.0,2676515.0,1657920.0,2667229.0,1430926.0,1702974.0,341286.0,12674089.0,10313485.0,51108080.0,48138192.0,236394000.0,201387497.0,9402070.0
1983,1218223.0,396447.0,131014336.0,10375905.0,46807220.0,55955687.1153,747374848.0,14824876.0,2568582.0,1586205.0,2651295.0,1360921.0,1650014.0,309276.0,11962244.0,9960833.0,50186200.0,47072604.0,234333000.0,195022454.0,9043210.0
1982,1158477.0,385950.0,128054760.0,10387075.0,45610432.0,55618573.8276,730303488.0,14437661.0,2462968.0,1518855.0,2632281.0,1290007.0,1599960.0,277242.0,11247085.0,9613517.0,49267560.0,45997940.0,232218000.0,188793051.0,8698304.0
1981,1093108.0,374125.0,125107384.0,10387340.0,44465920.0,55290448.6101,713561408.0,14046273.0,2365665.0,1452383.0,2615753.0,1220548.0,1553094.0,248053.0,10556936.0,9277263.0,48337504.0,44936836.0,230008000.0,182784741.0,8369708.0
1980,1016789.0,359902.0,122199720.0,10370859.0,43369552.0,54971836.391,697229760.0,13653358.0,2280670.0,1384342.0,2605294.0,1154375.0,1509484.0,223715.0,9912917.0,8956156.0,47385324.0,43905792.0,227726000.0,177059951.0,8059381.0
1979,927303.0,342829.0,119341440.0,10335669.0,42321740.0,54701381.9615,681358528.0,13257910.0,2208562.0,1315428.0,2602573.0,1091855.0,1469730.0,205244.0,9323290.0,8651904.0,46412308.0,42912352.0,225106000.0,171652579.0,7765087.0
1978,827394.0,323511.0,116532152.0,10284517.0,41324808.0,54472809.8755,665936448.0,12859226.0,2146662.0,1247597.0,2604875.0,1032799.0,1433382.0,192018.0,8785326.0,8363346.0,45423436.0,41953104.0,222629000.0,166557557.0,7485921.0
