year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,,,,,,12733.0,,29158.0,,,,,,,,,,,,,,,,,,,6194.0,,,,,,,,,,,,,,,
2015,,,,,,12608.0,,28559.0,,,,,,,11156.0,,5782.0,,57469.0,,,,,,16224.0,,5923.0,,,,,,,,10558.0,,,,,,,
2003,,39209.0,60725.0,,20669.0,9410.0,,21928.0,9435.0,10581.0,82449.0,,,,10079.0,,,53558.0,50505.0,,27089.0,7476.0,1300.0,,13139.0,49683.0,4547.0,,7806.0,,,,,,7387.0,,34485.0,,,30219.0,38610.0,39624.0
2002,,38970.0,59797.0,,18822.0,9159.0,,21729.0,8927.0,10007.0,81557.0,,,,10201.0,7301.0,,53229.0,49602.0,,26769.0,7068.0,1245.0,,12692.0,47784.0,4287.0,,7773.0,,,,,,7000.0,,34715.0,,,29785.0,38619.0,38199.0
2001,,38700.0,59815.0,,22898.0,,,20384.0,8903.0,9164.0,80918.0,,,,10180.0,,,52849.0,48283.0,,26561.0,6728.0,1224.0,,12584.0,46914.0,4057.0,,7700.0,,,,,,6685.0,,34971.0,,,29970.0,38998.0,37443.0
2000,,40756.0,60048.0,,24469.0,,,19942.0,8615.0,8733.0,78561.0,,,,,,,52352.0,48239.0,,26080.0,7109.0,1210.0,,12296.0,46172.0,,,7709.0,,,,,,6275.0,,34441.0,,,29988.0,38738.0,35782.0
1999,,38251.0,58154.0,,25073.0,,,18519.0,8198.0,8273.0,75494.0,,,,,,4825.0,51012.0,46802.0,,25099.0,6282.0,1180.0,,11947.0,45439.0,,,7605.0,,,,,,5588.0,,33402.0,,,29348.0,37733.0,35608.0
1998,77147.0,36925.0,56371.0,,26525.0,,,16704.0,8155.0,8183.0,73925.0,,,,,,,49608.0,45261.0,,24848.0,6497.0,1130.0,,12028.0,43967.0,,,7729.0,,,,,,4973.0,,32893.0,,,29800.0,36418.0,34928.0
1997,,39208.0,54176.0,,25994.0,,,18657.0,8009.0,7875.0,73073.0,,,,,,,48660.0,43854.0,,23890.0,7056.0,1159.0,,12211.0,42450.0,,,7968.0,,,,,,5334.0,,32546.0,,,30690.0,35247.0,34703.0
1996,,36935.0,52157.0,,,,,18099.0,7662.0,7590.0,69293.0,,,,,,,47311.0,42511.0,,23119.0,6810.0,1135.0,,12626.0,41376.0,,,7978.0,,,,,,5233.0,,31928.0,,,30858.0,34429.0,34003.0
1995,,35432.0,50434.0,,,,,17227.0,7472.0,7825.0,65713.0,,,,,,,45995.0,41260.0,,22767.0,6417.0,1102.0,,12254.0,40495.0,,,7741.0,,,,,,4715.0,,31581.0,,,29997.0,33940.0,33744.0
1994,,35074.0,49353.0,,,8776.0,,16326.0,7368.0,7552.0,62885.0,,,,,,,45157.0,40441.0,,21959.0,6052.0,1060.0,,12047.0,39356.0,,,7806.0,,,,,,5577.0,,30580.0,,,29238.0,33412.0,33020.0
