Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;BM;2014;p0p100;4911.07666016;101247.492188;96336.4140625;22225.125;118561.546875;62382.0;306362784.0;6316021248.0;6009658368.0;1386447744.0;7396106240.0;0.9024649858;2.0940361023;;1.6046133041;1.0;0.4639573991;
;BM;2013;p0p100;4954.3359375;100895.15625;95940.8203125;21083.6523438;117024.46875;62771.0;310988608.0;6333289984.0;6022301184.0;1323441920.0;7345742848.0;0.8952822685;2.0959384441;;1.6193269491;1.0;0.4623917341;
;BM;2012;p0p100;5037.33447266;102272.148438;97234.8203125;20306.8203125;117541.640625;63179.0;318253760.0;6461452288.0;6143198720.0;1282964608.0;7426163200.0;0.8644190431;2.0485532284;;1.588942647;1.0;0.4550836384;
;BM;2011;p0p100;5357.25097656;105898.4375;100541.1875;19055.3730469;119596.570312;63581.0;340619360.0;6733128704.0;6392509440.0;1211559680.0;7604069376.0;0.8347352147;2.0036015511;;1.5635886192;1.0;0.4460341036;
;BM;2010;p0p100;5278.94726562;110152.421875;104873.476562;20480.0585938;125353.53125;63956.0;337620352.0;7044908544.0;6707288064.0;1309822592.0;8017110528.0;0.8311431408;2.0155313015;;1.5905257463;1.0;0.4799640775;
;BM;2009;p0p100;5138.78808594;112343.164062;107204.382812;22569.5292969;129773.914062;64303.0;330439488.0;7224002560.0;6893563392.0;1451288448.0;8344851968.0;0.8221109509;2.0066685677;;1.5984283686;1.0;0.5075605512;
;BM;2008;p0p100;4848.44824219;118850.820312;114002.367188;25836.7363281;139839.109375;64625.0;313330976.0;7680734208.0;7367403008.0;1669699072.0;9037102080.0;0.8044388294;1.9825233221;;1.5820887089;1.0;0.4895485044;
;BM;2007;p0p100;4785.41357422;117028.773438;112243.359375;27708.9765625;139952.34375;64892.0;310535072.0;7594231296.0;7283696128.0;1798090880.0;9081787392.0;0.7765591145;1.9531372786;;1.5581171513;1.0;0.5094643235;
;BM;2006;p0p100;5008.47558594;112970.601562;107962.125;26280.6074219;134242.734375;65063.0;325866432.0;7350206464.0;7024339968.0;1709895168.0;8734234624.0;0.7303360701;1.8821175098;;1.5055832863;1.0;0.5151641369;
;BM;2005;p0p100;6109.74609375;107885.101562;101775.359375;;126872.90625;65130.0;397927776.0;7026556928.0;6628628992.0;;8263232512.0;0.6928194761;1.8203634024;;1.470607996;1.0;0.5052829385;
;BM;2004;p0p100;7805.75976562;106214.421875;98408.65625;;123117.5625;65065.0;507881760.0;6910841344.0;6402959360.0;;8010643968.0;0.6489372253;1.7376115322;;1.4194895029;1.0;0.4933747351;
;BM;2003;p0p100;7196.08007812;104079.601562;96883.5234375;;121095.796875;64870.0;466809728.0;6751643648.0;6284834304.0;;7855484416.0;0.620074451;1.6922523975;;1.3943001032;1.0;0.5027018189;
;BM;2002;p0p100;5764.21582031;101051.90625;95287.6953125;;118795.625;64610.0;372425984.0;6528963584.0;6156537856.0;;7675385344.0;0.6030400395;1.6820436716;;1.3859049082;1.0;0.5057669878;
;BM;2001;p0p100;8331.59667969;103025.289062;94693.6953125;;118660.703125;64323.0;535913312.0;6626895872.0;6090982400.0;;7632612352.0;0.5553857684;1.5870995522;;1.2990658283;1.0;0.4660399854;
;BM;2000;p0p100;6861.76611328;96529.21875;89667.453125;;112123.265625;64028.0;439345152.0;6180572672.0;5741227520.0;;7179028480.0;0.5630893111;1.6483523846;;1.3501713276;1.0;0.4809675515;
;BM;1999;p0p100;6291.0234375;94116.3671875;87825.34375;;109719.851562;63767.0;401159680.0;6001518592.0;5600358912.0;;6996505600.0;0.5540098548;1.6449605227;;1.3597072363;1.0;0.5052217841;
;BM;1998;p0p100;5782.29003906;91397.4453125;85615.15625;;106877.148438;63511.0;367239008.0;5804743168.0;5437504000.0;;6787874816.0;0.539292872;1.6273850203;;1.3445137739;1.0;0.4974204898;
;BM;1997;p0p100;5329.44873047;88308.8515625;82979.3984375;;103522.890625;63259.0;337135584.0;5586329600.0;5249193984.0;;6548754432.0;0.5249806046;1.6008270979;;1.3258324862;1.0;0.4877177477;
;BM;1996;p0p100;4934.31591797;84786.5625;79852.25;;99576.3359375;62986.0;310792832.0;5340366336.0;5029573632.0;;6271915008.0;0.5082047582;1.5464682579;;1.3084315062;1.0;0.5027569532;
;BM;1995;p0p100;4601.47167969;82001.4921875;77400.015625;;96476.21875;62696.0;288493856.0;5141165568.0;4852671488.0;;6048672768.0;0.4973121583;1.552875638;;1.3069353104;1.0;0.5433576107;
;BM;1994;p0p100;4337.30712891;78195.90625;73858.6015625;;92049.4921875;62381.0;270565568.0;4877938688.0;4607373312.0;;5742139392.0;0.4883830547;;;1.3099757433;1.0;0.6390326619;
;BM;1993;p0p100;4149.08105469;77410.15625;73261.0703125;;91269.171875;62034.0;257384096.0;4802061824.0;4544677376.0;;5661791744.0;0.4769245386;;;1.3073033094;1.0;0.7906032205;
