Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio)
;AR;2002;p99.5p99.9;1687873.5;;2354809.0;;0.0542000011;;;0.0542000011
;AR;2002;p99.9p99.99;5840979.0;;8148946.0;;0.0421999991;;;0.0421999991
;AR;2002;p99p99.5;794735.4375;;1108762.125;;0.0318999998;;;0.0318999998
;AR;2002;p99.5p100;3074305.75;;4289067.5;;0.1234000027;;;0.1234000027
;AR;2001;p0p100;148023.859375;148023.859375;211421.328125;211421.328125;;3.60127240602e+12;5.14366950605e+12;
;AR;2001;p99p100;1910989.875;;2729452.0;;0.1290999949;;;0.1290999949
;AR;2001;p99.9p100;7726945.0;;11036336.0;;0.0522000007;;;0.0522000007
;AR;2001;p99.99p100;26935872.0;;38472300.0;;0.0182000007;;;0.0182000007
;AR;2001;p99.5p99.9;1779983.25;;2542336.25;;0.0480999984;;;0.0480999984
;AR;2001;p99.9p99.99;5592195.5;;7987289.5;;0.0340000018;;;0.0340000018
;AR;2001;p99p99.5;852618.25;;1217788.0;;0.0287999995;;;0.0287999995
;AR;2001;p99.5p100;2969361.5;;4241116.0;;0.1002999991;;;0.1002999991
;AR;2000;p0p100;158029.390625;158029.390625;225929.609375;225929.609375;;3.76631433626e+12;5.38458036634e+12;
;AR;2000;p99p100;2266143.5;;3239833.75;;0.1433999985;;;0.1433999985
;AR;2000;p99.9p100;8976185.0;;12832967.0;;0.0568000004;;;0.0568000004
;AR;2000;p99.99p100;31126624.0;;44500748.0;;0.0197000001;;;0.0197000001
;AR;2000;p99.5p99.9;2113638.75;;3021802.5;;0.0535000004;;;0.0535000004
;AR;2000;p99.9p99.99;6514536.0;;9313626.0;;0.0370999984;;;0.0370999984
;AR;2000;p99p99.5;1046155.5625;;1495655.5;;0.0331000015;;;0.0331000015
;AR;2000;p99.5p100;3486131.75;;4984012.0;;0.110299997;;;0.110299997
;AR;1999;p0p100;170306.359375;170306.359375;231501.359375;231501.359375;;3.97597186458e+12;5.40463071232e+12;
;AR;1999;p99p100;2304247.0;;3132216.25;;0.1352999955;;;0.1352999955
;AR;1999;p99.9p100;8890106.0;;12084526.0;;0.0522000007;;;0.0522000007
;AR;1999;p99.99p100;30309500.0;;41200404.0;;0.0177999996;;;0.0177999996
;AR;1999;p99.5p99.9;2171401.5;;2951636.25;;0.050999999;;;0.050999999
;AR;1999;p99.9p99.99;6509700.0;;8848786.0;;0.0344000012;;;0.0344000012
;AR;1999;p99p99.5;1093367.75;;1486240.125;;0.0320999995;;;0.0320999995
;AR;1999;p99.5p100;3515126.25;;4778192.5;;0.1032000035;;;0.1032000035
;AR;1998;p0p100;166275.03125;166275.03125;244913.78125;244913.78125;;3.80254368563e+12;5.60093305242e+12;
;AR;1998;p99p100;2090079.25;;3078569.25;;0.1256999969;;;0.1256999969
;AR;1998;p99.9p100;7266313.0;;10702870.0;;0.0436999984;;;0.0436999984
;AR;1998;p99.99p100;23773386.0;;35016860.0;;0.0142999999;;;0.0142999999
;AR;1998;p99.5p99.9;1949570.875;;2871608.5;;0.0469000004;;;0.0469000004
;AR;1998;p99.9p99.99;5431829.0;;8000779.0;;0.0294000003;;;0.0294000003
;AR;1998;p99p99.5;1167251.875;;1719296.5;;0.0351000018;;;0.0351000018
;AR;1998;p99.5p100;3012906.5;;4437842.0;;0.0905999988;;;0.0905999988
;AR;1997;p0p100;152914.25;152914.25;240005.953125;240005.953125;;3.42573790003e+12;5.37685340979e+12;
;AR;1997;p99p100;1894609.375;;2973676.5;;0.1238999963;;;0.1238999963
;AR;1997;p99.9p100;6529522.5;;10248386.0;;0.0427000001;;;0.0427000001
;AR;1997;p99.99p100;21251554.0;;33355292.0;;0.0138999997;;;0.0138999997
;AR;1997;p95p99;384579.125;;603614.625;;0.1005999967;;;0.1005999967
;AR;1997;p99.5p99.9;1815853.125;;2850065.0;;0.0474999994;;;0.0474999994
;AR;1997;p99.9p99.99;4893416.5;;7680442.0;;0.0287999995;;;0.0287999995
;AR;1997;p99p99.5;1030643.0625;;1617641.625;;0.0337000005;;;0.0337000005
;AR;1997;p95p100;686584.8125;;1077626.5;;0.2245000005;;;0.2245000005
;AR;1997;p99.5p100;2758575.75;;4329711.5;;0.0901999995;;;0.0901999995
;AR;1973;p0p100;90152.609375;90152.609375;216182.40625;216182.40625;;1.36995903898e+12;3.28510786765e+12;
;AR;1972;p0p100;88925.6796875;88925.6796875;205334.4375;205334.4375;;1.32846072627e+12;3.0674911232e+12;
;AR;1971;p0p100;86329.59375;86329.59375;200937.671875;200937.671875;;1.2678365184e+12;2.95097073664e+12;
;AR;1970;p0p100;83330.140625;83330.140625;193249.53125;193249.53125;;1.20312050483e+12;2.79013674189e+12;
;AR;1961;p0p100;58620.7734375;58620.7734375;164273.796875;164273.796875;;7.23556171776e+11;2.0276314112e+12;
;AR;1961;p99p100;860553.75;;2411541.5;;0.1467999965;;;0.1467999965
;AR;1961;p99.9p100;2878317.0;;8065947.0;;0.0491000004;;;0.0491000004
;AR;1961;p99.99p100;8498602.0;;23815748.0;;0.0144999996;;;0.0144999996
;AR;1961;p95p99;195207.0625;;547031.4375;;0.1332000047;;;0.1332000047
;AR;1961;p99.5p99.9;864654.625;;2423033.5;;0.0590000004;;;0.0590000004
;AR;1961;p99.9p99.99;2253716.75;;6315621.5;;0.0346000008;;;0.0346000008
;AR;1961;p99p99.5;453725.21875;;1271480.375;;0.0386999995;;;0.0386999995
;AR;1961;p95p100;328276.25;;919933.0;;0.2800000012;;;0.2800000012
;AR;1961;p99.5p100;1267382.375;;3551602.75;;0.108099997;;;0.108099997
;AR;1960;p0p100;55295.9609375;55295.9609375;148335.390625;148335.390625;;6.70774591488e+11;1.79940111155e+12;
;AR;1959;p0p100;60297.1367188;60297.1367188;139217.609375;139217.609375;;7.17113851904e+11;1.65571500442e+12;
;AR;1959;p99p100;959931.375;;2216346.5;;0.1591999978;;;0.1591999978
;AR;1959;p99.9p100;3153581.0;;7281175.0;;0.0522999987;;;0.0522999987
;AR;1959;p99.99p100;8440199.0;;19487232.0;;0.0140000004;;;0.0140000004
;AR;1959;p95p99;218426.265625;;504315.53125;;0.1448999941;;;0.1448999941
;AR;1959;p99.5p99.9;951185.4375;;2196153.25;;0.0631000027;;;0.0631000027
;AR;1959;p99.9p99.99;2566062.25;;5924676.5;;0.0383000001;;;0.0383000001
;AR;1959;p99p99.5;528203.4375;;1219547.375;;0.0438000001;;;0.0438000001
;AR;1959;p95p100;366727.09375;;846721.3125;;0.3041000068;;;0.3041000068
;AR;1959;p99.5p100;1391659.25;;3213145.5;;0.1154000014;;;0.1154000014
;AR;1958;p0p100;57966.9648438;57966.9648438;153477.25;153477.25;;6.75836788736e+11;1.78939127398e+12;
;AR;1958;p99p100;821392.6875;;2174774.75;;0.1416999996;;;0.1416999996
;AR;1958;p99.9p100;2886792.0;;7643265.5;;0.0498000011;;;0.0498000011
;AR;1958;p99.99p100;8056071.5;;21329800.0;;0.0138999997;;;0.0138999997
;AR;1958;p99.5p99.9;804290.0;;2129492.5;;0.0555000007;;;0.0555000007
;AR;1958;p99.9p99.99;2312313.5;;6122237.5;;0.0359000005;;;0.0359000005
;AR;1958;p99p99.5;421999.90625;;1117315.5;;0.0364000015;;;0.0364000015
;AR;1958;p99.5p100;1220785.5;;3232234.0;;0.1053000018;;;0.1053000018
;AR;1957;p0p100;56215.5664062;56215.5664062;146726.640625;146726.640625;;6.42554134528e+11;1.6771121152e+12;
;AR;1956;p0p100;55791.3515625;55791.3515625;141922.046875;141922.046875;;6.25197842432e+11;1.590378496e+12;
;AR;1956;p99p100;873693.375;;2222501.25;;0.1565999985;;;0.1565999985
;AR;1956;p99.9p100;3023930.0;;7692274.0;;0.0542000011;;;0.0542000011
;AR;1956;p99.99p100;8590442.0;;21852368.0;;0.0153999999;;;0.0153999999
;AR;1956;p95p99;185506.140625;;471890.5625;;0.1330000013;;;0.1330000013
;AR;1956;p99.5p99.9;870343.3125;;2213979.5;;0.0623999983;;;0.0623999983
;AR;1956;p99.9p99.99;2405305.75;;6118617.5;;0.0388000011;;;0.0388000011
;AR;1956;p99p99.5;446331.21875;;1135377.5;;0.0399999991;;;0.0399999991
;AR;1956;p95p100;323143.40625;;822012.3125;;0.2896000147;;;0.2896000147
;AR;1956;p99.5p100;1301055.5;;3309625.25;;0.1165999994;;;0.1165999994
;AR;1955;p0p100;53154.0703125;53154.0703125;141002.9375;141002.9375;;5.83942078464e+11;1.54903563469e+12;
;AR;1954;p0p100;52068.6132812;52068.6132812;133839.890625;133839.890625;;5.60778969088e+11;1.44145566925e+12;
;AR;1954;p99p100;861215.6875;;2213714.0;;0.1653999984;;;0.1653999984
;AR;1954;p99.9p100;3040846.25;;7816350.0;;0.0584000014;;;0.0584000014
;AR;1954;p99.99p100;8902256.0;;22882824.0;;0.0171000008;;;0.0171000008
;AR;1954;p95p99;178855.59375;;459739.78125;;0.1374000013;;;0.1374000013
;AR;1954;p99.5p99.9;844811.5625;;2171547.75;;0.0649000034;;;0.0649000034
;AR;1954;p99.9p99.99;2389449.0;;6141965.0;;0.0412999988;;;0.0412999988
;AR;1954;p99p99.5;438418.15625;;1126933.0;;0.0421000011;;;0.0421000011
;AR;1954;p95p100;315327.46875;;810534.1875;;0.3027999997;;;0.3027999997
;AR;1954;p99.5p100;1284013.25;;3300494.75;;0.123300001;;;0.123300001
;AR;1953;p0p100;50438.4296875;50438.4296875;131165.625;131165.625;;5.32579418112e+11;1.3849779241e+12;
;AR;1953;p99p100;774230.625;;2013394.25;;0.1535000056;;;0.1535000056
;AR;1953;p99.9p100;2582480.75;;6715766.0;;0.0511999987;;;0.0511999987
;AR;1953;p99.99p100;7161068.5;;18622428.0;;0.0142000001;;;0.0142000001
;AR;1953;p95p99;173003.71875;;449897.84375;;0.1371999979;;;0.1371999979
;AR;1953;p99.5p99.9;767923.5;;1996992.5;;0.060899999;;;0.060899999
;AR;1953;p99.9p99.99;2073647.75;;5392541.0;;0.0370000005;;;0.0370000005
;AR;1953;p99p99.5;417630.59375;;1086052.375;;0.0414000005;;;0.0414000005
;AR;1953;p95p100;293248.96875;;762596.75;;0.2906999886;;;0.2906999886
;AR;1953;p99.5p100;1130830.625;;2940736.0;;0.1120999977;;;0.1120999977
;AR;1952;p0p100;54174.5;54174.5;126723.429688;126723.429688;;5.60814424064e+11;1.31184092774e+12;
;AR;1952;p99p100;864625.875;;2022508.0;;0.1596000046;;;0.1596000046
;AR;1952;p99.9p100;3055481.25;;7147293.5;;0.056400001;;;0.056400001
;AR;1952;p99.99p100;8503986.0;;19892278.0;;0.0156999994;;;0.0156999994
;AR;1952;p99.5p99.9;843766.1875;;1973713.5;;0.0623000003;;;0.0623000003
;AR;1952;p99.9p99.99;2449971.75;;5730903.0;;0.0406999998;;;0.0406999998
;AR;1952;p99p99.5;443147.875;;1036598.6875;;0.0408999994;;;0.0408999994
;AR;1952;p99.5p100;1286104.0;;3008417.25;;0.1186999977;;;0.1186999977
;AR;1951;p0p100;53191.4882812;53191.4882812;137732.65625;137732.65625;;5.39787198464e+11;1.39771104461e+12;
;AR;1951;p99p100;902128.4375;;2335948.0;;0.169599995;;;0.169599995
;AR;1951;p99.9p100;3643663.75;;9434808.0;;0.0684999973;;;0.0684999973
;AR;1951;p99.99p100;11381089.0;;29469898.0;;0.0214000009;;;0.0214000009
;AR;1951;p99.5p99.9;851062.0625;;2203718.0;;0.064000003;;;0.064000003
;AR;1951;p99.9p99.99;2783779.0;;7208245.0;;0.0471000001;;;0.0471000001
;AR;1951;p99p99.5;394681.21875;;1021977.25;;0.0370999984;;;0.0370999984
;AR;1951;p99.5p100;1409575.75;;3649918.75;;0.1324999928;;;0.1324999928
;AR;1950;p0p100;53605.765625;53605.765625;135156.203125;135156.203125;;5.33323743232e+11;1.34466895872e+12;
;AR;1950;p99p100;1061931.25;;2677447.0;;0.1981000006;;;0.1981000006
;AR;1950;p99.9p100;4368926.5;;11015373.0;;0.0815000013;;;0.0815000013
;AR;1950;p99.99p100;13827993.0;;34864516.0;;0.0258000009;;;0.0258000009
;AR;1950;p99.5p99.9;991704.6875;;2500384.75;;0.074000001;;;0.074000001
;AR;1950;p99.9p99.99;3317710.0;;8364941.5;;0.0557000004;;;0.0557000004
;AR;1950;p99p99.5;456721.5625;;1151532.0;;0.0425999984;;;0.0425999984
;AR;1950;p99.5p100;1667141.0;;4203362.0;;0.1554999948;;;0.1554999948
;AR;1949;p0p100;55398.015625;55398.015625;;;;5.40352217088e+11;;
;AR;1949;p99p100;1071398.625;;;;0.1933999956;;;0.1933999956
;AR;1949;p99.9p100;4359880.0;;;;0.0786999986;;;0.0786999986
;AR;1949;p99.99p100;13293318.0;;;;0.0240000002;;;0.0240000002
;AR;1949;p99.5p99.9;1002702.0625;;;;0.0724000037;;;0.0724000037
;AR;1949;p99.9p99.99;3367078.5;;;;0.0546999983;;;0.0546999983
;AR;1949;p99p99.5;468667.65625;;;;0.0423000008;;;0.0423000008
;AR;1949;p99.5p100;1674129.625;;;;0.1510999948;;;0.1510999948
;AR;1948;p0p100;53571.8085938;53571.8085938;;;;5.1225362432e+11;;
;AR;1948;p99p100;1243938.625;;;;0.2321999967;;;0.2321999967
;AR;1948;p99.9p100;5239390.5;;;;0.0978000015;;;0.0978000015
;AR;1948;p99.99p100;17140134.0;;;;0.0320000015;;;0.0320000015
;AR;1948;p99.5p99.9;1141077.25;;;;0.0851999968;;;0.0851999968
;AR;1948;p99.9p99.99;3916822.75;;;;0.0658000037;;;0.0658000037
;AR;1948;p99p99.5;527147.0625;;;;0.0491999984;;;0.0491999984
;AR;1948;p99.5p100;1960730.0;;;;0.1829999983;;;0.1829999983
;AR;1947;p0p100;49174.96875;49174.96875;;;;4.61015351296e+11;;
;AR;1947;p99p100;1181183.875;;;;0.240199998;;;0.240199998
;AR;1947;p99.9p100;5168356.0;;;;0.1050999984;;;0.1050999984
;AR;1947;p99.99p100;18290054.0;;;;0.0372000001;;;0.0372000001
;AR;1947;p99.5p99.9;1051112.875;;;;0.0855000019;;;0.0855000019
;AR;1947;p99.9p99.99;3710099.75;;;;0.067900002;;;0.067900002
;AR;1947;p99p99.5;487816.1875;;;;0.0496000014;;;0.0496000014
;AR;1947;p99.5p100;1874551.625;;;;0.1905999929;;;0.1905999929
;AR;1946;p0p100;46320.9101562;46320.9101562;;;;4.23187841024e+11;;
;AR;1946;p99p100;1048243.1875;;;;0.2263000011;;;0.2263000011
;AR;1946;p99.9p100;4534875.5;;;;0.0979000032;;;0.0979000032
;AR;1946;p99.99p100;16024376.0;;;;0.0346000008;;;0.0346000008
;AR;1946;p99.5p99.9;946102.6875;;;;0.0816999972;;;0.0816999972
;AR;1946;p99.9p99.99;3258010.75;;;;0.0632999986;;;0.0632999986
;AR;1946;p99p99.5;432637.71875;;;;0.0467000008;;;0.0467000008
;AR;1946;p99.5p100;1663848.625;;;;0.1796000004;;;0.1796000004
;AR;1945;p0p100;49105.6054688;49105.6054688;;;;4.37236334592e+11;;
;AR;1945;p99p100;1148581.25;;;;0.2338999957;;;0.2338999957
;AR;1945;p99.9p100;4792769.0;;;;0.0975999981;;;0.0975999981
;AR;1945;p99.99p100;16251259.0;;;;0.0331000015;;;0.0331000015
;AR;1945;p99.5p99.9;1053313.125;;;;0.0857999995;;;0.0857999995
;AR;1945;p99.9p99.99;3519350.25;;;;0.0644999966;;;0.0644999966
;AR;1945;p99p99.5;495967.09375;;;;0.0505000018;;;0.0505000018
;AR;1945;p99.5p100;1801195.375;;;;0.1834000051;;;0.1834000051
;AR;1944;p0p100;45285.1640625;45285.1640625;;;;3.9298465792e+11;;
;AR;1944;p99p100;1120808.875;;;;0.2475000024;;;0.2475000024
;AR;1944;p99.9p100;4813875.0;;;;0.1062999964;;;0.1062999964
;AR;1944;p99.99p100;16435788.0;;;;0.0362999998;;;0.0362999998
;AR;1944;p99.5p99.9;1022310.5625;;;;0.0903000012;;;0.0903000012
;AR;1944;p99.9p99.99;3522295.0;;;;0.0700000003;;;0.0700000003
;AR;1944;p99p99.5;461003.4375;;;;0.0509000011;;;0.0509000011
;AR;1944;p99.5p100;1780614.375;;;;0.196600005;;;0.196600005
;AR;1943;p0p100;46784.7773438;46784.7773438;;;;3.95658887168e+11;;
;AR;1943;p99p100;1214534.0;;;;0.2596000135;;;0.2596000135
;AR;1943;p99.9p100;5436461.5;;;;0.1162;;;0.1162
