Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;DE;2011;p95p100;170813.25;2.1543458248;0.2767983437;0.2767983437;79287.7578125
;DE;2011;p99.5p100;608654.3125;2.6376346719;0.0986308193;0.0986308193;230757.625
;DE;2010;p0p100;28910.6918244;;;;
;DE;2010;p0p50;9888.12597656;;0.1710115814;0.1710115814;
;DE;2010;p50p90;31220.1757812;;0.4319533539;0.4319533539;11050.1181641
;DE;2010;p99p100;379634.5;2.3749834559;0.1313128376;0.1313128376;159847.21875
;DE;2010;p99.9p100;1518248.25;2.7708470781;0.052515111;0.052515111;547936.5
;DE;2010;p99.99p100;6613666.5;;0.0228761959;0.0228761959;
;DE;2010;p90p100;114785.585938;1.9583931812;0.3970350647;0.3970350647;58612.125
;DE;2010;p50p100;;;;;11050.1181641
;DE;2010;p95p100;161140.453125;2.1387725365;0.2786866188;0.2786866188;75342.4921875
;DE;2010;p99.5p100;567081.3125;2.5766340019;0.0980746651;0.0980746651;220086.09375
;DE;2009;p0p100;28918.8248577;;;;
;DE;2009;p99p100;380980.8125;2.3675009945;0.1317414665;0.1317414665;160921.078125
;DE;2009;p99.9p100;1513653.0;2.7266769181;0.0523414469;0.0523414469;555127.375
;DE;2009;p99.99p100;6505483.5;;0.0224956703;0.0224956703;
;DE;2009;p90p100;115159.851562;1.9595296664;0.3982176208;0.3982176208;58769.1289062
;DE;2009;p95p100;161699.0625;2.1389985044;0.27957407;0.27957407;75595.6875
;DE;2009;p99.5p100;568567.6875;2.5535404577;0.098304081;0.098304081;222658.578125
;DE;2008;p0p100;29977.3470808;;;;
;DE;2008;p99p100;435167.3125;2.5899077812;0.1451653862;0.1451653862;168024.25
;DE;2008;p99.9p100;1951820.125;3.0529400356;0.0651098347;0.0651098347;639324.75
;DE;2008;p99.99p100;9215044.0;2.9245274007;0.030740025;0.030740025;3150951.5
;DE;2008;p90p100;119994.992188;2.0324515068;0.4002855682;0.4002855682;59039.5351562
;DE;2008;p95p100;172023.796875;2.1187965022;0.2869229889;0.2869229889;81189.390625
;DE;2008;p99.5p100;673488.6875;2.7688543364;0.1123329449;0.1123329449;243237.3125
;DE;2007;p0p100;29768.275167;;;;
;DE;2007;p0p50;10483.2011719;;0.1760800934;0.1760800934;
;DE;2007;p50p90;31886.7753906;;0.4284665298;0.4284665298;11472.0585938
;DE;2007;p99p100;417821.09375;2.4838511199;0.1403578377;0.1403578377;168215.03125
;DE;2007;p99.9p100;1884900.625;3.0817966882;0.0633191061;0.0633191061;611623.9375
;DE;2007;p99.99p100;9323665.0;3.0720885178;0.0313208103;0.0313208103;3034959.75
;DE;2007;p90p100;117719.65625;1.9390820471;0.3954533768;0.3954533768;60708.9609375
;DE;2007;p50p100;;;;;11472.0585938
;DE;2007;p95p100;167558.0;2.018645679;0.2814371872;0.2814371872;83005.15625
;DE;2007;p99.5p100;644719.375;2.6790715963;0.1082896709;0.1082896709;240650.296875
;DE;2006;p0p100;29680.6459456;;;;
;DE;2006;p99p100;392523.0;2.3731974392;0.1322488117;0.1322488117;165398.375
;DE;2006;p99.9p100;1751431.5;2.9915141396;0.0590092087;0.0590092087;585466.5625
;DE;2006;p99.99p100;8492301.0;2.8714023685;0.0286122513;0.0286122513;2957544.75
;DE;2006;p90p100;113834.15625;1.8455789516;0.3835299301;0.3835299301;61679.375
;DE;2006;p95p100;160478.984375;1.9160263141;0.2703428078;0.2703428078;83756.1484375
;DE;2006;p99.5p100;602717.9375;2.5776576375;0.1015338326;0.1015338326;233823.890625
;DE;2005;p0p100;29234.6342628;;;;
;DE;2005;p99p100;378101.78125;2.3447584019;0.1293335056;0.1293335056;161254.046875
;DE;2005;p99.9p100;1677272.875;3.0411743968;0.0573727989;0.0573727989;551521.4375
;DE;2005;p99.99p100;8428358.0;3.2017968505;0.0288300443;0.0288300443;2632383.75
;DE;2005;p90p100;112588.710938;1.8133065058;0.3851209641;0.3851209641;62090.28125
;DE;2005;p95p100;157356.578125;1.8767016238;0.2691269684;0.2691269684;83847.4140625
;DE;2005;p99.5p100;578406.625;2.5609874787;0.0989248943;0.0989248943;225852.96875
;DE;2004;p0p100;29365.0285365;;;;
;DE;2004;p0p50;12010.1738281;;0.2044979095;0.2044979095;
;DE;2004;p50p90;31964.125;;0.4354039764;0.4354039764;11433.2587891
;DE;2004;p99p100;326051.625;2.0053651168;0.1110339928;0.1110339928;162589.65625
;DE;2004;p99.9p100;1291573.0;2.4724388422;0.0439833736;0.0439833736;522388.25
;DE;2004;p99.99p100;5767199.5;2.5412605111;0.0196396863;0.0196396863;2269424.75
;DE;2004;p90p100;105742.90625;1.6314242846;0.360098114;0.360098114;64816.3125
;DE;2004;p50p100;;;;;11433.2587891
;DE;2004;p95p100;144630.3125;1.6688035257;0.2462628365;0.2462628365;86667.0703125
;DE;2004;p99.5p100;483089.125;2.1524441872;0.0822558594;0.0822558594;224437.46875
;DE;2003;p0p100;29654.2516383;;;;
;DE;2003;p99p100;312502.0625;1.9791862234;0.1053818703;0.1053818703;157894.21875
;DE;2003;p99.9p100;1205496.875;2.4980529241;0.040651741;0.040651741;482574.59375
;DE;2003;p99.99p100;5433168.0;2.7240142596;0.0183217168;0.0183217168;1994544.625
;DE;2003;p90p100;105328.34375;1.6351964573;0.3551879883;0.3551879883;64413.265625
;DE;2003;p95p100;142646.59375;1.6607542481;0.240516243;0.240516243;85892.65625
;DE;2003;p99.5p100;458011.5;2.132008387;0.0772252703;0.0772252703;214826.3125
;DE;2002;p0p100;29703.4286792;;;;
;DE;2002;p99p100;328241.53125;2.0368419216;0.1105062771;0.1105062771;161152.1875
;DE;2002;p99.9p100;1322295.625;2.5769738715;0.0445165968;0.0445165968;513119.53125
;DE;2002;p99.99p100;6045003.5;2.6651827038;0.0203511977;0.0203511977;2268138.5
;DE;2002;p90p100;107260.320312;1.6286057816;0.3611041641;0.3611041641;65860.2109375
;DE;2002;p95p100;146141.328125;1.6707982386;0.2460007858;0.2460007858;87467.96875
;DE;2002;p99.5p100;487768.3125;2.204534507;0.0821063995;0.0821063995;221256.828125
;DE;2001;p0p100;30519.2452901;;;;
;DE;2001;p0p50;14233.4853516;;0.2331887054;0.2331887054;
;DE;2001;p50p90;30911.3300781;;0.405138855;0.405138855;8818.06738281
;DE;2001;p99p100;348041.8125;2.0661994901;0.1140401077;0.1140401077;168445.40625
;DE;2001;p99.9p100;1412608.0;2.4620310312;0.0462858105;0.0462858105;573757.1875
;DE;2001;p99.99p100;6020040.0;2.2891491818;0.0197253895;0.0197253895;2629815.5
;DE;2001;p90p100;110379.695312;1.6291929784;0.3616724396;0.3616724396;67751.1484375
;DE;2001;p50p100;;;;;8818.06738281
;DE;2001;p95p100;151534.25;1.6866874075;0.2482601738;0.2482601738;89841.3359375
;DE;2001;p99.5p100;521006.25;2.2154559553;0.085357008;0.085357008;235168.859375
;DE;1998;p0p100;30103.3455834;;;;
;DE;1998;p0p50;13737.1269531;;0.2281661224;0.2281661224;
;DE;1998;p50p90;31348.0742188;;0.4165394211;0.4165394211;9215.01074219
;DE;1998;p99p100;355945.65625;2.3945786216;0.1182412338;0.1182412338;148646.46875
;DE;1998;p99.9p100;1649607.75;3.2457834134;0.0547981548;0.0547981548;508231.0
;DE;1998;p99.99p100;8051656.5;3.1665759003;0.0267467165;0.0267467165;2542701.25
;DE;1998;p90p100;106955.515625;1.8782710031;0.3552944565;0.3552944565;56943.6015625
;DE;1998;p50p100;;;;;9215.01074219
;DE;1998;p95p100;146665.96875;1.8554448093;0.2436041069;0.2436041069;79046.2578125
;DE;1998;p99.5p100;551009.1875;2.6599171188;0.0915195942;0.0915195942;207152.765625
;DE;1995;p0p100;30615.1092087;;;;
;DE;1995;p0p50;15864.3183594;;0.2590929413;0.2590929413;
;DE;1995;p50p90;32464.1113281;;0.42415802;0.42415802;
;DE;1995;p99p100;249716.78125;1.7011719253;0.081566515;0.081566515;146791.03125
;DE;1995;p99.9p100;1077147.0;2.5740113207;0.0351835084;0.0351835084;418470.1875
;DE;1995;p99.99p100;4620812.5;2.6957131186;0.0150932419;0.0150932419;1714133.625
;DE;1995;p90p100;96973.0625;1.7099789961;0.3167490387;0.3167490387;56710.0898438
;DE;1995;p95p100;128633.265625;1.7011717638;0.2100813484;0.2100813484;75614.5078125
;DE;1995;p99.5p100;410807.46875;2.2867763269;0.0670922756;0.0670922756;179644.796875
;DE;1992;p0p100;30838.6846818;;;;
;DE;1992;p0p50;14572.2675781;;0.2362660217;0.2362660217;
;DE;1992;p50p90;33148.6015625;;0.4299612808;0.4299612808;
;DE;1992;p99p100;292588.15625;1.8378927214;0.0948769855;0.0948769855;159197.625
;DE;1992;p99.9p100;1298108.0;2.5945290696;0.0420934916;0.0420934916;500325.09375
;DE;1992;p99.99p100;5363939.0;2.5317819778;0.0173935401;0.0173935401;2118641.75
;DE;1992;p90p100;102931.117188;1.7697524295;0.3337726974;0.3337726974;58161.3085938
;DE;1992;p95p100;140474.421875;1.8378927519;0.2277568245;0.2277568245;76432.328125
;DE;1992;p99.5p100;487238.375;2.4086809747;0.0789979172;0.0789979172;202284.3125
;DE;1989;p0p100;31224.5430411;;;;
;DE;1989;p0p50;13852.4423828;;0.2218197632;0.2218197632;
;DE;1989;p50p90;33870.5429688;;0.4338964081;0.4338964081;
;DE;1989;p99p100;357216.8125;2.1455856555;0.1144025707;0.1144025707;166489.1875
;DE;1989;p99.9p100;1902686.75;3.5355796074;0.0609356117;0.0609356117;538154.125
;DE;1989;p99.99p100;10708237.0;4.0654419927;0.0342942953;0.0342942953;2633966.25
;DE;1989;p90p100;107501.054688;1.8519575039;0.3442838287;0.3442838287;58047.2578125
;DE;1989;p95p100;149467.09375;1.8995574534;0.2393423271;0.2393423271;78685.21875
;DE;1989;p99.5p100;614344.625;3.0492778198;0.0983752823;0.0983752823;201472.171875
;DE;1986;p0p100;29131.8180199;;;;
;DE;1986;p0p50;14256.734375;;0.2446935272;0.2446935272;
;DE;1986;p50p90;31640.0527344;;0.4344397736;0.4344397736;
;DE;1986;p99p100;297583.1875;2.1274692662;0.1021505737;0.1021505737;139876.609375
;DE;1986;p99.9p100;1314627.125;2.8533762546;0.0451268482;0.0451268482;460726.875
;DE;1986;p99.99p100;5845491.0;2.758245139;0.0200656581;0.0200656581;2119279.0
;DE;1986;p90p100;93474.3046875;1.7639465531;0.3208666992;0.3208666992;52991.5742188
;DE;1986;p95p100;128218.53125;1.8618900008;0.2200661278;0.2200661278;68864.71875
;DE;1986;p99.5p100;429676.5625;2.1274694553;0.0737469482;0.0737469482;201966.03125
;DE;1983;p0p100;27621.3904709;;;;
;DE;1983;p0p50;13455.2294922;;0.2435653687;0.2435653687;
;DE;1983;p50p90;30609.2382812;;0.4432685852;0.4432685852;
;DE;1983;p99p100;271737.4375;2.1630141314;0.0983793449;0.0983793449;125629.0625
;DE;1983;p99.9p100;1088929.25;2.4928803639;0.0394234014;0.0394234014;436815.6875
;DE;1983;p99.99p100;4526380.5;2.4663882723;0.016387229;0.016387229;1835226.25
;DE;1983;p90p100;86500.8203125;1.7165641756;0.3131660461;0.3131660461;50391.8359375
;DE;1983;p95p100;116352.046875;1.7442485304;0.2106194496;0.2106194496;66706.1171875
;DE;1983;p99.5p100;394464.5;2.1630141669;0.0714056158;0.0714056158;182367.96875
;DE;1980;p0p100;29864.8916687;;;;
;DE;1980;p0p50;14004.53125;;0.234464798;0.234464798;
;DE;1980;p50p90;33397.140625;;0.4473097229;0.4473097229;
;DE;1980;p99p100;317997.125;2.3197245849;0.1064785862;0.1064785862;137084.0
;DE;1980;p99.9p100;1244401.75;2.4773359121;0.0416677141;0.0416677141;502314.5
;DE;1980;p99.99p100;4814492.5;2.3135620261;0.0161209106;0.0161209106;2080987.0
;DE;1980;p90p100;95037.703125;1.7592222926;0.3182254982;0.3182254982;54022.5664062
;DE;1980;p95p100;128177.132812;1.7592223497;0.2145949936;0.2145949936;72860.109375
;DE;1980;p99.5p100;471719.15625;2.3197248051;0.0789755344;0.0789755344;203351.34375
;DE;1977;p0p100;28110.1356709;;;;
;DE;1977;p0p50;13458.6318359;;0.239391098;0.239391098;
;DE;1977;p50p90;30384.5878906;;0.4323648834;0.4323648834;
;DE;1977;p99p100;289837.625;2.3334674739;0.103107872;0.103107872;124208.984375
;DE;1977;p99.9p100;1070468.375;2.3006784636;0.038081224;0.038081224;465283.78125
;DE;1977;p99.99p100;4017993.0;2.3291079292;0.0142937517;0.0142937517;1725121.0
;DE;1977;p90p100;92269.8359375;1.8815970286;0.3282440186;0.3282440186;49038.0429688
;DE;1977;p95p100;120442.0625;1.8294570589;0.2142324448;0.2142324448;65834.8671875
;DE;1977;p99.5p100;430704.375;2.333467198;0.0766101599;0.0766101599;184577.0
;DE;1974;p0p100;27261.8089606;;;;
;DE;1974;p0p50;12051.1289062;;0.2210258484;0.2210258484;
;DE;1974;p50p90;31517.265625;;0.4624383545;0.4624383545;
;DE;1974;p99p100;277174.40625;2.2797676995;0.1016713238;0.1016713238;121580.109375
;DE;1974;p99.9p100;1017249.25;2.2976408437;0.0373140788;0.0373140788;442736.40625
;DE;1974;p99.99p100;3816407.5;2.3027446482;0.0139990985;0.0139990985;1657329.875
;DE;1974;p90p100;86293.390625;1.7601456872;0.3165358162;0.3165358162;49026.2773438
;DE;1974;p95p100;116407.75;1.7601455728;0.2134996796;0.2134996796;66135.296875
;DE;1974;p99.5p100;412245.15625;2.3198488774;0.0756085491;0.0756085491;177703.453125
;DE;1971;p0p100;26153.805533;;;;
;DE;1971;p0p50;13442.7080078;;0.2569933319;0.2569933319;
;DE;1971;p50p90;28048.2382812;;0.428973732;0.428973732;
;DE;1971;p99p100;297822.5625;2.5072865059;0.1138735104;0.1138735104;118782.820312
;DE;1971;p99.9p100;1187676.5;2.5758769727;0.0454112291;0.0454112291;461076.5625
;DE;1971;p99.99p100;4862581.0;2.5307379021;0.0185922503;0.0185922503;1921408.375
;DE;1971;p90p100;82131.5703125;1.8893149831;0.3140329361;0.3140329361;43471.6132812
;DE;1971;p95p100;113817.03125;1.8893149088;0.2175917053;0.2175917053;60242.4882812
;DE;1971;p99.5p100;450208.40625;2.4671378659;0.0860693836;0.0860693836;182482.0625
;DE;1968;p0p100;20951.881467;;;;
;DE;1968;p0p50;13129.9677734;;0.3133362579;0.3133362579;
;DE;1968;p50p90;20306.3730469;;0.3876763916;0.3876763916;
;DE;1968;p99p100;236220.734375;2.5276423237;0.1127444077;0.1127444077;93454.96875
;DE;1968;p99.9p100;917470.125;2.4239009035;0.0437893915;0.0437893915;378509.75
;DE;1968;p99.99p100;3821016.75;2.5842573864;0.0182371056;0.0182371056;1478574.375
;DE;1968;p90p100;62643.46875;1.9346302947;0.2989873505;0.2989873505;32380.0722656
;DE;1968;p95p100;87559.859375;1.9346303757;0.2089546585;0.2089546585;45259.21875
;DE;1968;p99.5p100;356613.25;2.4482742123;0.0851029301;0.0851029301;145659.03125
;DE;1965;p0p100;19118.4233525;;;;
;DE;1965;p0p50;12613.6787109;;0.3298828125;0.3298828125;
;DE;1965;p50p90;17352.3886719;;0.3630506134;0.3630506134;
;DE;1965;p99p100;235531.515625;2.5784473416;0.1231960964;0.1231960964;91346.2578125
;DE;1965;p99.9p100;958182.1875;2.5629440635;0.0501182652;0.0501182652;373859.96875
;DE;1965;p99.99p100;3734346.25;2.3877258676;0.0195327103;0.0195327103;1563976.125
;DE;1965;p90p100;58706.2851562;2.1445977255;0.307066555;0.307066555;27374.03125
;DE;1965;p95p100;87788.1171875;2.3286165751;0.2295903587;0.2295903587;37699.6875
;DE;1965;p99.5p100;359184.9375;2.5486592502;0.0939368629;0.0939368629;140930.9375
;DE;1961;p0p100;16018.3984615;;;;
;DE;1961;p0p50;10352.3320312;;0.3231388092;0.3231388092;
;DE;1961;p50p90;14738.4433594;;0.3680378723;0.3680378723;
;DE;1961;p99p100;209295.515625;2.7200750457;0.1306594563;0.1306594563;76944.7578125
;DE;1961;p99.9p100;885057.0625;2.6786311413;0.0552525282;0.0552525282;330413.9375
;DE;1961;p99.99p100;3466265.0;2.3901569058;0.0216392732;0.0216392732;1450224.875
;DE;1961;p90p100;49468.546875;2.1034877362;0.3088232994;0.3088232994;23517.3925781
;DE;1961;p95p100;75341.8125;2.3713366775;0.2351727486;0.2351727486;31771.875
;DE;1961;p99.5p100;322281.25;2.6784164126;0.1005972099;0.1005972099;120325.296875
;DE;1957;p0p100;12787.6670037;;;;
;DE;1957;p99p100;142619.109375;3.0537124982;0.111528635;0.111528635;46703.515625
;DE;1957;p99.9p100;575492.5625;2.8151641105;0.0450037193;0.0450037193;204425.9375
;DE;1957;p99.99p100;2084468.375;2.5118429029;0.0163006151;0.0163006151;829856.1875
;DE;1957;p99.5p100;216008.015625;2.8997606066;0.0844595146;0.0844595146;74491.671875
;DE;1954;p0p100;10238.9113436;;;;
;DE;1954;p99p100;97548.9765625;2.7703425313;0.0952727985;0.0952727985;35211.8828125
;DE;1954;p99.9p100;338951.40625;2.442408112;0.0331042433;0.0331042433;138777.546875
;DE;1954;p99.99p100;1173431.875;2.3705541795;0.0114605141;0.0114605141;495003.1875
;DE;1954;p99.5p100;146945.53125;2.6905824747;0.0717583752;0.0717583752;54614.765625
;DE;1950;p0p100;7198.11531729;;;;
;DE;1950;p99p100;72856.3359375;2.222221931;0.1012158489;0.1012158489;32785.3554688
;DE;1950;p99.9p100;248554.375;2.1354165198;0.0345304799;0.0345304799;116396.203125
;DE;1950;p99.99p100;845529.5;2.1354166494;0.0117465401;0.0117465401;395955.28125
;DE;1950;p90p100;21274.6523438;1.8495077062;0.2955586433;0.2955586433;11502.8730469
;DE;1950;p95p100;30716.8496094;2.0870869958;0.2133673096;0.2133673096;14717.5703125
;DE;1950;p99.5p100;107039.460938;2.2222222042;0.0743524218;0.0743524218;48167.7578125
;DE;1949;p0p100;5614.91198758;;;;
;DE;1949;p99p100;53873.3320312;2.4031296366;0.0959468842;0.0959468842;22417.9882812
;DE;1949;p99.9p100;190788.15625;2.4015247262;0.0339788318;0.0339788318;79444.59375
;DE;1949;p99.99p100;662142.3125;2.5452483913;0.011792568;0.011792568;260148.40625
;DE;1949;p99.5p100;80749.15625;2.4031296813;0.0719059849;0.0719059849;33601.6640625
;DE;1938;p0p100;6341.09184259;;;;
;DE;1938;p99p100;101468.140625;2.769502072;0.1600168228;0.1600168228;36637.6835938
;DE;1938;p99.9p100;420021.71875;2.4935047467;0.0662380743;0.0662380743;168446.328125
;DE;1938;p99.99p100;1614718.5;2.3983902733;0.0254643607;0.0254643607;673250.9375
;DE;1938;p95p100;;;;;10065.4267578
;DE;1938;p99.5p100;156800.09375;2.6781142246;0.1236380959;0.1236380959;58548.6953125
;DE;1937;p0p100;5959.60900074;;;;
;DE;1937;p99p100;88925.3515625;2.7123859711;0.1492133999;0.1492133999;32784.9179688
;DE;1937;p99.9p100;372530.25;2.6237042111;0.0625091743;0.0625091743;141986.375
;DE;1937;p99.99p100;1510738.625;2.582347176;0.0253496265;0.0253496265;585025.375
;DE;1937;p99.5p100;137340.65625;2.6591601433;0.1152262306;0.1152262306;51648.1328125
;DE;1936;p0p100;5320.76954047;;;;
;DE;1936;p99p100;72409.296875;2.6105886914;0.1360880184;0.1360880184;27736.7695312
;DE;1936;p99.9p100;295985.5;2.5431579705;0.0556283283;0.0556283283;116385.023438
;DE;1936;p99.99p100;1155279.5;2.4333334474;0.0217126393;0.0217126393;474772.375
;DE;1936;p90p100;18897.8554688;2.2390010545;0.3551714706;0.3551714706;8440.30664062
;DE;1936;p95p100;27732.8300781;2.2390011417;0.2606092072;0.2606092072;12386.2509766
;DE;1936;p99.5p100;111510.796875;2.5521930338;0.1047882175;0.1047882175;43692.1484375
;DE;1935;p0p100;4897.73497229;;;;
;DE;1935;p99p100;59031.5546875;2.6352113477;0.1205282784;0.1205282784;22401.0703125
;DE;1935;p99.9p100;215572.0625;2.2741157081;0.0440146446;0.0440146446;94793.796875
;DE;1935;p99.99p100;775192.3125;2.3098960637;0.0158275676;0.0158275676;335596.1875
;DE;1935;p99.5p100;87314.25;2.3651942485;0.0891373825;0.0891373825;36916.3125
;DE;1934;p0p100;4450.50812085;;;;
;DE;1934;p99p100;49230.0078125;2.0309736453;0.1106165981;0.1106165981;24239.609375
;DE;1934;p99.9p100;176231.34375;2.1666667787;0.0395980287;0.0395980287;81337.5390625
;DE;1934;p99.99p100;620367.75;2.2275000732;0.0139392567;0.0139392567;278504.03125
;DE;1934;p90p100;17894.5566406;3.1264824495;0.4020789719;0.4020789719;5723.54296875
;DE;1934;p95p100;21894.8144531;2.0452932636;0.2459810829;0.2459810829;10704.9755859
;DE;1934;p99.5p100;72979.1328125;2.2124796177;0.0819896698;0.0819896698;32985.2226562
;DE;1933;p0p100;4095.89601572;;;;
;DE;1933;p99p100;44496.9375;3.1739389198;0.1086378574;0.1086378574;14019.46875
;DE;1933;p99.9p100;156046.703125;2.1109895124;0.0380983114;0.0380983114;73921.1171875
;DE;1933;p99.99p100;527297.0625;2.1253601151;0.0128737903;0.0128737903;248097.75
;DE;1933;p99.5p100;67006.203125;2.2582614511;0.0817967606;0.0817967606;29671.5878906
;DE;1932;p0p100;3975.27946437;;;;
;DE;1932;p99p100;44699.6367188;1.9612124715;0.1124440098;0.1124440098;22791.8378906
