Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";;;"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";"MYR; Malaysian ringgit | local currency | market";share;share;"MYR; Malaysian ringgit | local currency | market"
Methodological Notes;.;.;.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"Individuals aged 15+. Up to 1988, Peninsular Malaysia; from 1989, Malaysia. Excludes capital gains."
Sources;.;.;.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2015). Top incomes in Malaysia; 1947 to the present_x000D_(with a note on the Straits Settlements 1916 to 1921). WTID Methodological note._x000D_"
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;MY;1988;p90p95;26502.6796875;;29078.3203125;;;;23204.7402344;;;0.0774005949;0.0774005949;21149.3574219
;MY;1988;p95p99;45786.6796875;;50236.4179688;;;;35419.046875;;;0.1069753617;0.1069753617;32281.7714844
;MY;1988;p99.5p99.9;139224.390625;;152754.78125;;;;113286.640625;;;0.0325282402;0.0325282402;103252.171875
;MY;1988;p99.9p99.95;245031.65625;;268844.84375;;;;234761.265625;;;0.0071555846;0.0071555846;213967.078125
;MY;1988;p99p99.5;86680.59375;;95104.5625;;;;82787.859375;;;0.0253148787;0.0253148787;75454.84375
;MY;1988;p95p100;63689.0976562;;69878.6640625;;1.9729120731;1.9729120731;35419.046875;;;0.1860028505;0.1860028505;32281.7714844
;MY;1988;p99.5p100;183917.171875;;201790.984375;;1.781242609;1.781242609;113286.640625;;;0.0537126102;0.0537126102;103252.171875
;MY;1988;p99.75p100;247660.296875;;271728.9375;;;;;;;0.0361643247;0.0361643247;
;MY;1988;p99.95p100;480336.1875;;527017.25;;;;;;;0.014028783;0.014028783;
;MY;1987;p0p100;15648.2080078;15648.2080078;17305.0683594;17305.0683594;;;;95540707328.0;1.05656721408e+11;;;
;MY;1986;p0p100;14193.3007812;14193.3007812;15713.9277344;15713.9277344;;;;84577689600.0;93639081984.0;;;
;MY;1986;p99p100;137072.90625;;151758.484375;;1.8004540205;1.8004540205;84289.0078125;;;0.0965756848;0.0965756848;76132.4140625
;MY;1986;p99.9p100;371429.25;;411223.0625;;1.7218636274;1.7218636274;238824.40625;;;0.0261689983;0.0261689983;215713.515625
;MY;1986;p90p100;45433.8984375;;50301.5507812;;2.1482088566;2.1482086182;23415.578125;;;0.3201081455;0.3201081455;21149.6660156
;MY;1986;p90p95;26582.6171875;;29430.5976562;;;;23415.578125;;;0.0936449692;0.0936449692;21149.6660156
;MY;1986;p95p99;46088.2773438;;51026.0351562;;;;36163.5273438;;;0.1298874766;0.1298874766;32664.0058594
;MY;1986;p99.5p99.9;139759.78125;;154733.21875;;;;115303.984375;;;0.0393876135;0.0393876135;104146.085938
;MY;1986;p99.9p99.95;246617.625;;273039.46875;;;;238824.40625;;;0.0086871879;0.0086871879;215713.515625
;MY;1986;p99p99.5;88052.6953125;;97486.390625;;;;84289.0078125;;;0.031019073;0.031019073;76132.4140625
;MY;1986;p95p100;64285.1835938;;71172.5;;1.9680740833;1.9680740833;36163.5273438;;;0.2264631689;0.2264631689;32664.0058594
;MY;1986;p99.5p100;186093.125;;206030.578125;;1.7868469954;1.7868469954;115303.984375;;;0.0655566156;0.0655566156;104146.085938
;MY;1986;p99.75p100;251169.046875;;278078.53125;;;;;;;0.0442407317;0.0442407317;
;MY;1986;p99.95p100;496226.0;;549390.125;;;;;;;0.0174818113;0.0174818113;
;MY;1985;p0p100;15953.4179688;15953.4179688;18074.7929688;18074.7929688;;;;92664193024.0;1.04986034176e+11;;;
;MY;1985;p99p100;144845.359375;;164105.890625;;1.8040055037;1.8040053844;90967.515625;;;0.0907925889;0.0907925889;80290.9765625
;MY;1985;p99.9p100;395718.1875;;448338.0625;;1.743023634;1.743023634;257218.578125;;;0.0248042829;0.0248042829;227029.734375
;MY;1985;p90p100;47125.7148438;;53392.1679688;;2.1956868172;2.1956868172;24316.8417969;;;0.2953957915;0.2953957915;21462.859375
;MY;1985;p90p95;27092.8515625;;30695.4726562;;;;24316.8417969;;;0.0849123895;0.0849123895;21462.859375
;MY;1985;p95p99;47736.9140625;;54084.640625;;;;37903.171875;;;0.1196908131;0.1196908131;33454.609375
;MY;1985;p99.5p99.9;147613.53125;;167242.171875;;;;124399.054688;;;0.0370112136;0.0370112136;109798.773438
;MY;1985;p99.9p99.95;258417.28125;;292779.8125;;;;257218.578125;;;0.0080985324;0.0080985324;227029.734375
;MY;1985;p99p99.5;92456.8359375;;104751.109375;;;;90967.515625;;;0.0289770979;0.0289770979;80290.9765625
;MY;1985;p95p100;67158.578125;;76088.8671875;;2.00745368;2.00745368;37903.171875;;;0.210483402;0.210483402;33454.609375
;MY;1985;p99.5p100;197233.875;;223460.671875;;1.7963212729;1.7963212729;124399.054688;;;0.0618154965;0.0618154965;109798.773438
;MY;1985;p99.75p100;267118.875;;302638.46875;;;;;;;0.0418591499;0.0418591499;
;MY;1985;p99.95p100;533002.75;;603877.75;;;;;;;0.0167057514;0.0167057514;
;MY;1984;p0p100;16973.2558594;16973.2558594;19455.4140625;19455.4140625;;;;96175702016.0;1.10240366592e+11;;;
;MY;1984;p99p100;141740.578125;;162468.625;;1.8020190001;1.8020188808;90159.21875;;;0.0835080966;0.0835080966;78656.5390625
;MY;1984;p99.9p100;392019.125;;449347.71875;;1.7770322561;1.7770322561;252864.140625;;;0.023095984;0.023095984;220603.265625
;MY;1984;p90p100;45701.4570312;;52384.8085938;;2.210174799;2.2101745605;23701.6601562;;;0.2692557573;0.2692557573;20677.7578125
;MY;1984;p90p95;25993.6621094;;29794.9570312;;;;23701.6601562;;;0.0765724257;0.0765724257;20677.7578125
;MY;1984;p95p99;46326.453125;;53101.203125;;;;37200.5703125;;;0.1091752276;0.1091752276;32454.4550781
;MY;1984;p99.5p99.9;143659.40625;;164668.0625;;;;122964.289062;;;0.0338555425;0.0338555425;107276.28125
;MY;1984;p99.9p99.95;251886.515625;;288722.21875;;;;252864.140625;;;0.007419562;0.007419562;220603.265625
;MY;1984;p99p99.5;90150.390625;;103333.921875;;;;90159.21875;;;0.0265565719;0.0265565719;78656.5390625
;MY;1984;p95p100;65409.2539062;;74974.65625;;2.0154168606;2.0154168606;37200.5703125;;;0.1926833242;0.1926833242;32454.4550781
;MY;1984;p99.5p100;193330.765625;;221603.3125;;1.8021762371;1.8021762371;122964.289062;;;0.0569515266;0.0569515266;107276.28125
;MY;1984;p99.75p100;262212.25;;300558.0;;;;;;;0.0386213474;0.0386213474;
;MY;1984;p99.95p100;532135.0;;609954.0625;;;;;;;0.015676422;0.015676422;
;MY;1983;p0p100;16009.78125;16009.78125;18331.4042969;18331.4042969;;;;88406245376.0;1.01226283008e+11;;;
;MY;1983;p99p100;126000.5;;144272.1875;;1.8815339804;1.8815340996;76677.953125;;;0.078702122;0.078702122;66966.8984375
;MY;1983;p99.9p100;358037.53125;;409957.53125;;1.8086268902;1.808626771;226667.84375;;;0.022363387;0.022363387;197960.96875
;MY;1983;p95p99;40388.2304688;;46245.0390625;;;;32802.34375;;;0.1009089425;0.1009089425;28648.0136719
;MY;1983;p99.5p99.9;127310.875;;145772.578125;;;;105829.65625;;;0.0318083391;0.0318083391;92426.609375
;MY;1983;p99.9p99.95;235151.5;;269251.46875;;;;226667.84375;;;0.0073434627;0.0073434627;197960.96875
;MY;1983;p99p99.5;78545.3359375;;89935.4140625;;;;76677.953125;;;0.0245303996;0.0245303996;66966.8984375
;MY;1983;p95p100;57510.6640625;;65850.4453125;;2.0074920654;2.0074920654;32802.34375;;;0.1796110719;0.1796110719;28648.0136719
;MY;1983;p99.5p100;173455.65625;;198608.9375;;1.8766852617;1.8766851425;105829.65625;;;0.0541717261;0.0541717261;92426.609375
;MY;1983;p99.75p100;237253.4375;;271658.21875;;;;;;;0.0370481648;0.0370481648;
;MY;1983;p99.95p100;480908.90625;;550646.8125;;;;;;;0.0150199234;0.0150199234;
;MY;1982;p0p100;15533.9414062;15533.9414062;17815.4316406;17815.4316406;;;;83372376064.0;95617376256.0;;;
;MY;1981;p0p100;15910.5458984;15910.5458984;18377.7070312;18377.7070312;;;;82998329344.0;95868420096.0;;;
;MY;1980;p0p100;16444.9511719;16444.9511719;19082.0292969;19082.0292969;;;;83223543808.0;96569106432.0;;;
;MY;1979;p0p100;15685.3847656;15685.3847656;18155.3671875;18155.3671875;;;;76868100096.0;88972541952.0;;;
;MY;1978;p0p100;13847.0673828;13847.0673828;15903.5947266;15903.5947266;;;;65713561600.0;75473158144.0;;;
;MY;1977;p0p100;12775.8642578;12775.8642578;14699.8642578;14699.8642578;;;;58739314688.0;67585245184.0;;;
;MY;1976;p0p100;12045.8085938;12045.8085938;13866.9335938;13866.9335938;;;;53574557696.0;61674139648.0;;;
;MY;1975;p0p100;10236.8574219;10236.8574219;11644.921875;11644.921875;;;;44057378816.0;50117406720.0;;;
;MY;1975;p99p100;106501.695312;;121150.835938;;1.9395413399;1.9395412207;62463.65625;;;0.1040373817;0.1040373817;54910.7617188
;MY;1975;p99.9p100;292610.875;;332859.0625;;1.6476949453;1.6476948261;202014.984375;;;0.0285836831;0.0285836831;177588.015625
;MY;1975;p95p99;31981.3964844;;36380.390625;;;;25966.5117188;;;0.1249657497;0.1249657497;22826.7304688
;MY;1975;p99.5p99.9;111973.851562;;127375.6875;;;;93206.203125;;;0.0437532999;0.0437532999;81936.03125
;MY;1975;p99.9p99.95;202586.140625;;230451.5625;;;;202014.984375;;;0.0098942202;0.0098942202;177588.015625
;MY;1975;p99p99.5;64902.5625;;73829.8125;;;;62463.65625;;;0.0317004025;0.0317004025;54910.7617188
;MY;1975;p95p100;46885.4375;;53334.4609375;;2.0539708138;2.0539708138;25966.5117188;;;0.2290031314;0.2290031314;22826.7304688
;MY;1975;p99.5p100;148100.828125;;168471.875;;1.8075176477;1.807517767;93206.203125;;;0.0723369867;0.0723369867;81936.03125
;MY;1975;p99.75p100;200970.125;;228613.265625;;;;;;;0.0490799844;0.0490799844;
;MY;1975;p99.95p100;382624.875;;435254.34375;;;;;;;0.0186894629;0.0186894629;
;MY;1974;p0p100;11466.4023438;11466.4023438;13832.0107422;13832.0107422;;;;47717752832.0;57562300416.0;;;
;MY;1974;p99p100;106532.890625;;128511.460938;;2.0202732086;2.0202732086;63610.9335938;;;0.0929086432;0.0929086432;52731.9257812
;MY;1974;p99.9p100;303999.4375;;366716.90625;;1.6873875856;1.6873875856;217328.1875;;;0.0265118498;0.0265118498;180159.8125
;MY;1974;p95p99;31281.1679688;;37734.71875;;;;25586.2363281;;;0.109122932;0.109122932;21210.3710938
;MY;1974;p99.5p99.9;111031.742188;;133938.453125;;;;97360.6953125;;;0.0387329757;0.0387329757;80709.6640625
;MY;1974;p99.9p99.95;207678.125;;250523.75;;;;217328.1875;;;0.0090552848;0.0090552848;180159.8125
;MY;1974;p99p99.5;63440.9609375;;76529.328125;;;;63610.9335938;;;0.0276638214;0.0276638214;52731.9257812
;MY;1974;p95p100;46331.4960938;;55890.0429688;;2.1843793392;2.1843793392;25586.2363281;;;0.2020315826;0.2020315826;21210.3710938
;MY;1974;p99.5p100;149624.828125;;180493.59375;;1.8538650274;1.8538650274;97360.6953125;;;0.0652448237;0.0652448237;80709.6640625
;MY;1974;p99.75p100;205347.1875;;247711.90625;;;;;;;0.0447714515;0.0447714515;
;MY;1974;p99.95p100;400309.28125;;482896.1875;;;;;;;0.0174565651;0.0174565651;
;MY;1973;p0p100;11381.1503906;11381.1503906;13498.8779297;13498.8779297;;;;45808758784.0;54332547072.0;;;
;MY;1973;p99p100;121615.65625;;144245.078125;;1.9741851091;1.9741852283;73065.625;;;0.1068569794;0.1068569794;61602.9648438
;MY;1973;p99.9p100;340514.4375;;403875.0625;;1.6935045719;1.6935044527;238484.796875;;;0.0299187731;0.0299187731;201070.875
;MY;1973;p99.5p99.9;126637.140625;;150200.921875;;;;110961.570312;;;0.044507768;0.044507768;93553.71875
;MY;1973;p99.9p99.95;229982.703125;;272776.34375;;;;238484.796875;;;0.0101029342;0.0101029342;201070.875
;MY;1973;p99p99.5;73819.21875;;87555.0;;;;73065.625;;;0.0324304402;0.0324304402;61602.9648438
;MY;1973;p99.5p100;169412.09375;;200935.15625;;1.8108536005;1.8108534813;110961.570312;;;0.0744265392;0.0744265392;93553.71875
;MY;1973;p99.75p100;231263.515625;;274295.46875;;;;;;;0.0507996306;0.0507996306;
;MY;1973;p99.95p100;451033.0;;534958.1875;;;;;;;0.019815838;0.019815838;
;MY;1972;p0p100;10213.6767578;10213.6767578;11705.1621094;11705.1621094;;;;39736233984.0;45538844672.0;;;
;MY;1972;p99p100;117523.023438;;134684.703125;;1.9294567108;1.9294567108;69804.46875;;;0.1150642559;0.1150642559;60909.9023438
;MY;1972;p99.9p100;323604.75;;370860.15625;;1.6507502794;1.6507503986;224661.5625;;;0.031683065;0.031683065;196034.9375
;MY;1972;p99.99p100;802898.0;;920143.75;;1.6686332226;1.6686331034;551435.625;;;0.0078623127;0.0078623127;481171.0625
;MY;1972;p99.5p99.9;122351.148438;;140217.859375;;;;101214.210938;;;0.047916688;0.047916688;88317.3828125
;MY;1972;p99.95p99.99;330369.375;;378612.625;;;;;;;0.012938533;0.012938533;
;MY;1972;p99.9p99.95;222311.03125;;254774.703125;;;;224661.5625;;;0.0108822174;0.0108822174;196034.9375
;MY;1972;p99.9p99.99;270339.34375;;309816.5;;;;224661.5625;;;0.0238207504;0.0238207504;196034.9375
;MY;1972;p99p99.5;72444.6640625;;83023.625;;;;69804.46875;;;0.0354645029;0.0354645029;60909.9023438
;MY;1972;p99.5p100;162601.390625;;186345.765625;;1.8411028385;1.8411028385;101214.210938;;;0.079599753;0.079599753;88317.3828125
;MY;1972;p99.75p100;220978.625;;253247.75;;;;;;;0.0540888533;0.0540888533;
;MY;1972;p99.95p100;424886.375;;486931.78125;;;;;;;0.0208008457;0.0208008457;
;MY;1971;p0p100;9911.08984375;9911.08984375;11356.4023438;11356.4023438;;;;37246840832.0;42678464512.0;;;
;MY;1971;p99p100;114094.445312;;130732.585938;;1.9361294508;1.9361294508;67522.6484375;;;0.1151178479;0.1151178479;58929.140625
;MY;1971;p99.9p100;312416.21875;;357975.1875;;1.6016902924;1.6016902924;223498.375;;;0.0315214768;0.0315214768;195054.078125
;MY;1971;p99.99p100;751913.125;;861562.9375;;1.6498972178;1.6498970985;522191.90625;;;0.0075878422;0.0075878422;455733.3125
;MY;1971;p99.5p99.9;119621.539062;;137065.6875;;;;99464.96875;;;0.0482779518;0.0482779518;86806.2109375
;MY;1971;p99.95p99.99;321310.78125;;368166.84375;;;;;;;0.0129679469;0.0129679469;
;MY;1971;p99.9p99.95;217379.609375;;249079.578125;;;;223498.375;;;0.0109656882;0.0109656882;195054.078125
;MY;1971;p99.9p99.99;263573.53125;;302009.875;;;;223498.375;;;0.0239336342;0.0239336342;195054.078125
;MY;1971;p99p99.5;70008.875;;80218.109375;;;;67522.6484375;;;0.0353184193;0.0353184193;58929.140625
;MY;1971;p99.5p100;158180.015625;;181247.0625;;1.8222200871;1.8222199678;99464.96875;;;0.0797994286;0.0797994286;86806.2109375
;MY;1971;p99.75p100;214646.4375;;245947.84375;;;;;;;0.0541429408;0.0541429408;
;MY;1971;p99.95p100;407441.53125;;466857.8125;;;;;;;0.0205557887;0.0205557887;
;MY;1970;p0p100;10241.4677734;10241.4677734;11024.9873047;11024.9873047;;;;37104586752.0;39943258112.0;;;
;MY;1970;p99p100;112538.265625;;121147.953125;;1.9885510206;1.9885510206;60922.7265625;;;0.1098847911;0.1098847911;56593.0976562
;MY;1970;p99.9p100;316277.0625;;340473.71875;;1.6190263033;1.6190263033;210295.359375;;;0.0308816079;0.0308816079;195350.171875
;MY;1970;p99.99p100;771589.1875;;830619.25;;1.6378554106;1.6378554106;507138.34375;;;0.0075352211;0.0075352211;471097.25
;MY;1970;p99.5p99.9;117950.648438;;126974.40625;;;;91130.4296875;;;0.0460679606;0.0460679606;84654.0078125
;MY;1970;p99.95p99.99;325012.5;;349877.4375;;;;;;;0.0126941958;0.0126941958;
;MY;1970;p99.9p99.95;218203.96875;;234897.578125;;;;210295.359375;;;0.0106521919;0.0106521919;195350.171875
;MY;1970;p99.9p99.99;265676.78125;;286002.28125;;;;210295.359375;;;0.0233463887;0.0233463887;195350.171875
;MY;1970;p99p99.5;67461.0703125;;72622.1484375;;;;60922.7265625;;;0.0329352207;0.0329352207;56593.0976562
;MY;1970;p99.5p100;157615.453125;;169673.765625;;1.8618782759;1.8618781567;91130.4296875;;;0.0769495666;0.0769495666;84654.0078125
;MY;1970;p99.75p100;215755.265625;;232261.53125;;;;;;;0.0526670255;0.0526670255;
;MY;1970;p99.95p100;414338.5;;446037.28125;;;;;;;0.0202294178;0.0202294178;
;MY;1969;p0p100;10081.0253906;10081.0253906;10973.2363281;10973.2363281;;;;34563969024.0;37623013376.0;;;
;MY;1969;p99p100;113694.859375;;123757.304688;;1.9793798923;1.9793798923;62523.2695312;;;0.1127809361;0.1127809361;57439.6367188
;MY;1969;p99.9p100;319074.21875;;347313.5625;;1.6087319851;1.6087319851;215892.734375;;;0.0316505618;0.0316505618;198338.953125
;MY;1969;p99.99p100;768433.25;;836442.625;;1.6332575083;1.6332573891;512131.53125;;;0.007623835;0.007623835;470491.1875
;MY;1969;p99.5p99.9;119013.023438;;129546.148438;;;;92625.9296875;;;0.0472226813;0.0472226813;85094.7109375
;MY;1969;p99.95p99.99;330240.90625;;359468.53125;;;;;;;0.0131036863;0.0131036863;
;MY;1969;p99.9p99.95;220246.84375;;239739.5625;;;;215892.734375;;;0.0109230392;0.0109230392;198338.953125
;MY;1969;p99.9p99.99;269135.53125;;292955.09375;;;;215892.734375;;;0.0240267254;0.0240267254;198338.953125
;MY;1969;p99p99.5;68364.9296875;;74415.5;;;;62523.2695312;;;0.0339076929;0.0339076929;57439.6367188
;MY;1969;p99.5p100;159024.78125;;173099.109375;;1.8687975407;1.8687975407;92625.9296875;;;0.0788732395;0.0788732395;85094.7109375
;MY;1969;p99.75p100;217600.5625;;236859.078125;;;;;;;0.0539628491;0.0539628491;
;MY;1969;p99.95p100;417889.8125;;454874.71875;;;;;;;0.0207275208;0.0207275208;
;MY;1968;p0p100;9134.25;9134.25;10239.4169922;10239.4169922;;;;30412449792.0;34092099584.0;;;
;MY;1968;p99p100;106843.78125;;119770.976562;;1.975844264;1.9758443832;60617.6171875;;;0.1169703901;0.1169703901;54075.0
;MY;1968;p99.9p100;300029.8125;;336330.875;;1.6163284779;1.6163284779;208083.25;;;0.0328462608;0.0328462608;185624.28125
;MY;1968;p99.99p100;747832.5625;;838314.0;;1.6995648146;1.6995648146;493252.15625;;;0.0081884842;0.0081884842;440014.15625
;MY;1968;p99.5p99.9;111570.6875;;125069.796875;;;;90512.4921875;;;0.04885827;0.04885827;80743.2421875
;MY;1968;p99.95p99.99;307574.4375;;344788.34375;;;;;;;0.01346929;0.01346929;
;MY;1968;p99.9p99.95;204411.671875;;229143.75;;;;208083.25;;;0.0111884857;0.0111884857;185624.28125
;MY;1968;p99.9p99.99;250264.0625;;280543.90625;;;;208083.25;;;0.0246577747;0.0246577747;185624.28125
;MY;1968;p99p99.5;64425.4960938;;72220.4375;;;;60617.6171875;;;0.0352658592;0.0352658592;54075.0
;MY;1968;p99.5p100;149262.0625;;167321.515625;;1.8486013412;1.8486013412;90512.4921875;;;0.0817045271;0.0817045271;80743.2421875
;MY;1968;p99.75p100;203991.984375;;228673.296875;;;;;;;0.0558315665;0.0558315665;
;MY;1968;p99.95p100;395636.5625;;443505.25;;;;;;;0.0216577742;0.0216577742;
;MY;1967;p0p100;9110.81445312;9110.81445312;10114.7080078;10114.7080078;;;;29442658304.0;32686858240.0;;;
;MY;1967;p99p100;97667.828125;;108429.5625;;1.9050353765;1.9050353765;56917.3476562;;;0.1071997881;0.1071997881;51268.25
;MY;1967;p99.9p100;263871.8125;;292947.0625;;1.6216691732;1.6216691732;180645.390625;;;0.0289621092;0.0289621092;162716.171875
;MY;1967;p99.99p100;633162.8125;;702929.1875;;1.6190708876;1.6190710068;434155.875;;;0.0069507277;0.0069507277;391065.53125
;MY;1967;p99.5p99.9;102839.75;;114171.359375;;;;81616.5;;;0.0451507233;0.0451507233;73515.9921875
;MY;1967;p99.95p99.99;271151.5;;301028.875;;;;;;;0.0119048012;0.0119048012;
;MY;1967;p99.9p99.95;184171.703125;;204465.03125;;;;180645.390625;;;0.0101065803;0.0101065803;162716.171875
;MY;1967;p99.9p99.99;222831.3125;;247384.4375;;;;180645.390625;;;0.0220113825;0.0220113825;162716.171875
;MY;1967;p99p99.5;60289.8867188;;66933.0546875;;;;56917.3476562;;;0.0330869593;0.0330869593;51268.25
;MY;1967;p99.5p100;135045.78125;;149926.078125;;1.8369578123;1.8369579315;81616.5;;;0.0741128325;0.0741128325;73515.9921875
;MY;1967;p99.75p100;182858.515625;;203007.15625;;;;;;;0.0501761809;0.0501761809;
;MY;1967;p99.95p100;343562.40625;;381418.53125;;;;;;;0.0188555289;0.0188555289;
;MY;1967;p99.995p100;813059.625;;902648.3125;;;;;;;0.0044627986;0.0044627986;
;MY;1966;p0p100;9385.30761719;9385.30761719;10794.921875;10794.921875;;;;29335252992.0;33741225984.0;;;
;MY;1966;p99p100;101884.21875;;117186.59375;;1.9573051929;1.9573051929;59871.3945312;;;0.108557038;0.108557038;52053.3125
;MY;1966;p99.9p100;279161.0625;;321089.3125;;1.568928957;1.568928957;204655.109375;;;0.0297440942;0.0297440942;177930.984375
;MY;1966;p99.99p100;667139.5;;767339.6875;;1.6570242643;1.6570243835;463082.9375;;;0.0071095191;0.0071095191;402613.0
;MY;1966;p99.5p99.9;107160.8125;;123255.695312;;;;87493.625;;;0.0456718244;0.0456718244;76068.59375
;MY;1966;p99.95p99.99;288198.5625;;331484.1875;;;;;;;0.0122831753;0.0122831753;
;MY;1966;p99.9p99.95;194316.25;;223501.328125;;;;204655.109375;;;0.0103514008;0.0103514008;177930.984375
;MY;1966;p99.9p99.99;236043.796875;;271496.09375;;;;204655.109375;;;0.0226345751;0.0226345751;177930.984375
;MY;1966;p99p99.5;62207.984375;;71551.234375;;;;59871.3945312;;;0.0331411213;0.0331411213;52053.3125
;MY;1966;p99.5p100;141560.453125;;162821.953125;;1.8609579802;1.8609578609;87493.625;;;0.0754159167;0.0754159167;76068.59375
;MY;1966;p99.75p100;192578.90625;;221503.046875;;;;;;;0.0512979254;0.0512979254;
;MY;1966;p99.95p100;363995.78125;;418665.6875;;;;;;;0.0193926934;0.0193926934;
;MY;1966;p99.995p100;863257.5;;992913.375;;;;;;;0.0045997468;0.0045997468;
;MY;1965;p0p100;9343.66503906;9343.66503906;10503.8330078;10503.8330078;;;;28158842880.0;31655221248.0;;;
;MY;1965;p99p100;121379.101562;;136450.296875;;2.126663208;2.1266634464;64161.6796875;;;0.1299051195;0.1299051195;57074.9023438
;MY;1965;p99.9p100;380717.03125;;427989.25;;1.942477107;1.9424769878;220331.6875;;;0.0407454818;0.0407454818;195995.625
;MY;1965;p99.99p100;1303536.75;;1465392.125;;2.5397620201;2.5397622585;576980.0625;;;0.0139533384;0.0139533384;513251.53125
;MY;1965;p99.5p99.9;122143.351562;;137309.4375;;;;98531.8828125;;;0.0522893779;0.0522893779;87648.8515625
;MY;1965;p99.95p99.99;346617.6875;;389655.9375;;;;;;;0.0148388706;0.0148388706;
;MY;1965;p99.9p99.95;223390.953125;;251128.578125;;;;220331.6875;;;0.0119532738;0.0119532738;195995.625
;MY;1965;p99.9p99.99;278161.125;;312699.34375;;;;220331.6875;;;0.0267921444;0.0267921444;195995.625
;MY;1965;p99p99.5;68900.7265625;;77455.875;;;;64161.6796875;;;0.0368702561;0.0368702561;57074.9023438
;MY;1965;p99.5p100;173857.46875;;195444.703125;;1.9835681915;1.9835681915;98531.8828125;;;0.0930348635;0.0930348635;87648.8515625
;MY;1965;p99.75p100;244678.671875;;275059.5;;;;;;;0.065466404;0.065466404;
;MY;1965;p99.95p100;538024.3125;;604828.8125;;;;;;;0.0287922081;0.0287922081;
;MY;1964;p0p100;8881.35449219;8881.35449219;9675.33105469;9675.33105469;;;;25856909312.0;28168468480.0;;;
;MY;1964;p99p100;106721.359375;;116262.0625;;1.9763349295;1.9763350487;58827.1015625;;;0.1201632768;0.1201632768;53999.6328125
;MY;1964;p99.9p100;299806.21875;;326608.34375;;1.6648845673;1.6648845673;196174.78125;;;0.033756379;0.033756379;180076.28125
;MY;1964;p99.99p100;732098.6875;;797547.0;;1.5787256956;1.5787256956;505184.0;;;0.008244466;0.008244466;463727.59375
;MY;1964;p99.5p99.9;112046.195312;;122062.921875;;;;88709.125;;;0.050463669;0.050463669;81429.4765625
