Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-FL;1949;p0p100;1147775.75;;770284.0;0.122229591;;;1.0;;;
;US-FL;1948;p0p100;1106713.625;;749657.0;0.1222924143;;;1.0;;;
;US-FL;1947;p0p100;1066945.5;;773670.0;0.115778029;;;1.0;;;
;US-FL;1946;p0p100;1026390.875;;721943.0;0.1041131839;;;1.0;;;
;US-FL;1945;p0p100;995891.75;;690505.0;0.0924932137;;;1.0;;;
;US-FL;1944;p0p100;965505.9375;;619844.0;0.0902230665;;;1.0;;;
;US-FL;1943;p0p100;934877.375;;546326.0;0.0881233886;;;1.0;;;
;US-FL;1942;p0p100;903425.625;;408818.0;0.0841214508;;;1.0;;;
;US-FL;1941;p0p100;875470.5;;240947.0;0.0776699111;;;1.0;;;
;US-FL;1940;p0p100;849259.625;;141223.0;0.0728873089;;;1.0;;;
;US-FL;1939;p0p100;821446.4375;;72541.0;0.0722233132;;;1.0;;;
;US-FL;1938;p0p100;795657.1875;;57804.0;0.0731385574;;;1.0;;;
;US-FL;1937;p0p100;770984.875;;53801.0;0.0745024458;;;1.0;;;
;US-FL;1936;p0p100;748397.0625;;45319.0;0.0718643889;;;1.0;;;
;US-FL;1935;p0p100;726293.625;;39402.0;0.0710029826;;;1.0;;;
;US-FL;1934;p0p100;704431.25;;33939.0;0.0696032047;;;1.0;;;
;US-FL;1933;p0p100;683662.125;;30862.0;0.0663639754;;;1.0;;;
;US-FL;1932;p0p100;663803.5;;31909.0;0.0681944638;;;1.0;;;
;US-FL;1931;p0p100;644196.375;;27685.0;0.076970011;;;1.0;;;
;US-FL;1930;p0p100;624340.75;;30319.0;0.0854135603;;;1.0;;;
;US-FL;1929;p0p100;599950.9375;;32366.0019531;0.0888322517;;;1.0;;;
;US-FL;1928;p0p100;576631.375;;32154.9980469;0.0885895565;;;1.0;;;
;US-FL;1927;p0p100;553094.3125;;40080.0;0.089317672;;;1.0;;;
;US-FL;1926;p0p100;529640.5625;;56109.0;0.0908953026;;;1.0;;;
;US-FL;1925;p0p100;507336.5;;76213.0;0.0904098675;;;1.0;;;
;US-FL;1924;p0p100;485186.75;;64306.0;0.0888322517;;;1.0;;;
;US-FL;1923;p0p100;462027.875;;49591.0;0.0887715742;;;1.0;;;
;US-FL;1922;p0p100;440824.5625;;41531.0;0.0862837657;;;1.0;;;
;US-FL;1921;p0p100;421933.0;;42249.0;0.0928369835;;;1.0;;;
