Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;KY;2004;p0p100;3665.07373047;58632.3359375;54967.2617188;54967.2617188;47299.0;173354320.0;2773250816.0;2599896576.0;2599896576.0;0.7998176813;1.1720767021;;0.9574927688;0.8333299756;0.3327976167;
;KY;2003;p0p100;3736.95361328;59715.1054688;55978.1484375;55978.1484375;46028.0;172004496.0;2748566784.0;2576562176.0;2576562176.0;0.766104579;1.1442590952;;0.9427911043;0.8333299756;0.3399145007;
;KY;2002;p0p100;3813.38671875;60232.4375;56419.0507812;56419.0507812;44738.0;170603296.0;2694678784.0;2524075520.0;2524075520.0;0.7535215616;1.1502753496;;0.9477591515;0.8333299756;0.3458717167;
;KY;2001;p0p100;3892.18212891;61154.6601562;57262.4765625;57262.4765625;43316.0;168593760.0;2648975360.0;2480381440.0;2480381440.0;0.7349643111;1.1494516134;;0.9408441186;0.8333299756;0.3375279009;
;KY;2000;p0p100;3956.12207031;63192.6796875;59236.5585938;59236.5585938;41687.0;164918864.0;2634313216.0;2469394432.0;2469394432.0;0.7204134464;1.1541694403;;0.9453843236;0.8333299756;0.3367714882;
;KY;1999;p0p100;3978.56713867;65533.8359375;61555.265625;61555.265625;39808.0;158378800.0;2608771072.0;2450392064.0;2450392064.0;0.6960496902;1.1310799122;;0.934938848;0.8333299756;0.3473920524;
;KY;1998;p0p100;3936.11499023;66861.6796875;62925.5664062;62925.5664062;37740.0;148548976.0;2523359744.0;2374810880.0;2374810880.0;0.6637338996;1.0961617231;;0.9056274891;0.8333299756;0.3350487649;
;KY;1997;p0p100;3841.82446289;54411.8632812;50570.0390625;50570.0390625;35597.0;136757424.0;1936899200.0;1800141696.0;1800141696.0;0.6590358019;1.0998290777;;0.9108973145;0.8333309889;0.3350806236;
;KY;1996;p0p100;3766.4387207;54746.078125;50979.640625;50979.640625;33536.0;126311288.0;1835964544.0;1709653248.0;1709653248.0;0.6383952498;1.0631803274;;0.8995326757;0.8333299756;0.3456400335;
;KY;1995;p0p100;3726.62963867;55211.5898438;51484.9609375;51484.9609375;31672.0;118029816.0;1748661504.0;1630631680.0;1630631680.0;0.6177668571;1.0557162762;;0.8885147572;0.8333299756;0.3693995178;
;KY;1994;p0p100;3713.77270508;55514.8398438;51801.0703125;51801.0703125;30055.0;111617440.0;1668498560.0;1556881152.0;1556881152.0;0.5995086432;;;0.8800617456;0.8333299756;0.4293119013;
