Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";;;"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";"MUR; Mauritian rupee | local currency | market";share;share;"MUR; Mauritian rupee | local currency | market"
Methodological Notes;.;.;.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Adults are individuals aged 15+. Excludes capital gains. Individuals aged 15+ minus the number of married women and those not married but living together. Excludes capital gains.
Sources;.;.;.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author.";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2011). Income Distribution and Taxation in Mauritius: A Seventy-five Year History of Top Incomes; mimeo. Series updated by the same author."
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992t;bptinc992t;tptinc992t;mfiinc999i;mptinc999i;sfiinc992t;sptinc992t;tfiinc992t
;MU;2005;p0p100;308763.84375;440244.96875;353124.28125;503495.4375;;;;2.89159512064e+11;3.30703372288e+11;;;
;MU;2005;p99p100;;2190485.75;;2505195.0;2.1397507191;2.1397507191;1170788.25;;;0.0497560129;0.0497560129;1023710.625
;MU;2005;p99.9p100;;7068525.0;;8084067.5;1.8953437805;1.8953437805;4265225.0;;;0.0160556827;0.0160556827;3729415.75
;MU;2005;p90p100;;614647.25;;702954.25;;;;;;0.1396148503;0.1396148503;
;MU;2005;p90p95;;298433.84375;;341310.15625;;;;;;0.0338940732;0.0338940732;
;MU;2005;p95p99;;615954.875;;704449.75;;;;;;0.0559647642;0.0559647642;
;MU;2005;p99.5p99.9;;2185365.75;;2499339.5;;;1698556.5;;;0.0198559444;0.0198559444;1485179.125
;MU;2005;p99.9p99.95;;4497066.0;;5143164.5;;;4265225.0;;;0.0051070885;0.0051070885;3729415.75
;MU;2005;p99p99.5;;1218985.375;;1394118.375;;;1170788.25;;;0.0138443848;0.0138443848;1023710.625
;MU;2005;p95p100;;930860.625;;1064598.375;;;;;;0.1057207808;0.1057207808;
;MU;2005;p99.5p100;;3161985.75;;3616271.75;2.1290266514;2.129026413;1698556.5;;;0.0359116271;0.0359116271;1485179.125
;MU;2005;p99.95p100;;9639677.0;;11024620.0;;;;;;0.0109485947;0.0109485947;
;MU;2004;p0p100;296579.0;422871.46875;350814.84375;500202.59375;;;;2.7543650304e+11;3.25805965312e+11;;;
;MU;2004;p99p100;;2230941.0;;2638916.25;2.1331017017;2.1331017017;1237126.375;;;0.0527568981;0.0527568981;1045867.125
;MU;2004;p99.9p100;;7343879.0;;8686865.0;1.9416997433;1.9416997433;4473845.5;;;0.0173664689;0.0173664689;3782190.75
;MU;2004;p90p100;;641683.5625;;759029.1875;;;;;;0.1517443955;0.1517443955;
;MU;2004;p90p95;;330706.1875;;391182.90625;;;;;;0.0391024537;0.0391024537;
;MU;2004;p95p99;;633091.5;;748865.875;;;;;;0.0598850362;0.0598850362;
;MU;2004;p99.5p99.9;;2202976.25;;2605837.75;;;1776703.625;;;0.0208383016;0.0208383016;1502025.875
;MU;2004;p99.9p99.95;;4528365.0;;5356473.5;;;4473845.5;;;0.0053539164;0.0053539164;3782190.75
;MU;2004;p99p99.5;;1230737.25;;1455803.875;;;1237126.375;;;0.0145521294;0.0145521294;1045867.125
;MU;2004;p95p100;;952661.0;;1126875.5;;;;;;0.112641938;0.112641938;
;MU;2004;p99.5p100;;3231144.5;;3822028.5;2.1511909962;2.1511907578;1776703.625;;;0.0382047705;0.0382047705;1502025.875
;MU;2004;p99.95p100;;10159057.0;;12016859.0;;;;;;0.0120125534;0.0120125534;
;MU;2003;p0p100;290967.90625;414870.5;334841.3125;477426.5;;;;2.67819646976e+11;3.08202668032e+11;;;
;MU;2003;p99p100;;2129594.25;;2450703.75;2.1020750999;2.1020750999;1165849.75;;;0.0513314903;0.0513314903;1013091.375
;MU;2003;p99.9p100;;6900778.5;;7941308.5;1.8709568977;1.8709568977;4244517.0;;;0.0166333579;0.0166333579;3688368.5
;MU;2003;p95p99;;606371.8125;;697803.25;;;;;;0.0584637523;0.0584637523;
;MU;2003;p99.5p99.9;;2113346.25;;2432006.0;;;1660671.5;;;0.0203760024;0.0203760024;1443077.875
;MU;2003;p99p99.5;;1188367.0;;1367554.25;;;1165849.75;;;0.0143221309;0.0143221309;1013091.375
;MU;2003;p95p100;;911015.9375;;1048382.9375;;;;;;0.1097952425;0.1097952425;
;MU;2003;p99.5p100;;3070821.5;;3533853.25;2.127966404;2.1279666424;1660671.5;;;0.0370093621;0.0370093621;1443077.875
