Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;2013;p26p27;30238.4615063;43903.7888762;;;43594.3398438;0.0031414032;0.0031414032;30025.3320312
;IN;2013;p27p28;30707.7818902;44585.2039358;;;44286.9882812;0.0031901598;0.0031901598;30502.3867188
;IN;2013;p28p29;31291.2767929;45432.3911186;;;45093.828125;0.0032507777;0.0032507777;31058.09375
;IN;2013;p29p30;31909.1961736;46329.5598463;;;45965.921875;0.0033149719;0.0033149719;31658.7441406
;IN;2013;p30p31;32519.6569174;47215.8992392;;;46864.40625;0.0033783913;0.0033783913;32277.5683594
;IN;2013;p31p32;33094.5457006;48050.5910359;;;47722.1054688;0.0034381151;0.0034381151;32868.3007812
;IN;2013;p32p33;33656.2384339;48866.1232405;;;48545.4296875;0.0034964681;0.0034964681;33435.3632812
;IN;2013;p33p34;34213.9149781;49675.8242648;;;49352.046875;0.0035544038;0.0035544038;33990.9140625
;IN;2013;p34p35;34727.4134421;50421.3823068;;;50094.3007812;0.0036077499;0.0036077499;34502.1367188
;IN;2013;p35p36;35295.4173297;51246.0777946;;;50900.203125;0.0036667585;0.0036667585;35057.1953125
;IN;2013;p36p37;35902.4356257;52127.419033;;;51754.4960938;0.0037298203;0.0037298203;35645.5898438
;IN;2013;p37p38;36511.1751456;53011.2593487;;;52639.5078125;0.0037930608;0.0037930608;36255.1328125
;IN;2013;p38p39;37133.6844568;53915.0922822;;;53565.125;0.0038577318;0.0038577318;36892.6445312
;IN;2013;p39p40;37698.8196378;54735.6226413;;;54405.0585938;0.0039164424;0.0039164424;37471.1445312
;IN;2013;p40p41;38312.1490882;55626.1271629;;;55281.4726562;0.0039801598;0.0039801598;38074.7695312
;IN;2013;p41p42;38946.1332253;56546.6206114;;;56172.6210938;0.0040460229;0.0040460229;38688.5429688
;IN;2013;p42p43;39589.2972233;57480.4424718;;;57084.46875;0.0041128397;0.0041128397;39316.5742188
;IN;2013;p43p44;40333.4396901;58560.8768633;;;58142.625;0.0041901469;0.0041901469;40045.3710938
;IN;2013;p44p45;41072.4184853;59633.8140232;;;59197.1210938;0.0042669177;0.0042669177;40771.6484375
;IN;2013;p45p46;41814.265987;60710.9163118;;;60282.9882812;0.0043439865;0.0043439865;41519.53125
;IN;2013;p46p47;42523.4102345;61740.5361329;;;61338.3476562;0.0044176579;0.0044176579;42246.40625
;IN;2013;p47p48;43121.822411;62609.3819851;;;62217.3867188;0.0044798255;0.0044798255;42851.8359375
;IN;2013;p48p49;43822.360539;63626.50642;;;63196.8828125;0.0045526028;0.0045526028;43526.4609375
;IN;2013;p49p50;44526.9148561;64649.4620352;;;64195.6679688;0.0046257973;0.0046257973;44214.3671875
;IN;2013;p50p51;45275.6472534;65736.5606327;;;65284.359375;0.0047035813;0.0047035813;44964.1953125
;IN;2013;p51p52;46061.0990939;66876.9728779;;;66423.8359375;0.0047851801;0.0047851801;45749.0039062
;IN;2013;p52p53;46855.1570539;68029.8805093;;;67545.3046875;0.0048676729;0.0048676729;46521.4101562
;IN;2013;p53p54;47808.7150955;69414.3692978;;;68897.375;0.0049667358;0.0049667358;47452.6367188
;IN;2013;p54p55;48554.5787863;70497.3027666;;;69967.0234375;0.0050442219;0.0050442219;48189.3554688
;IN;2013;p55p56;49375.6025874;71689.362608;;;71166.640625;0.0051295161;0.0051295161;49015.5820312
;IN;2013;p56p57;50260.8854142;72974.7213329;;;72470.375;0.0052214861;0.0052214861;49913.5195312
;IN;2013;p57p58;51108.8750565;74205.9333844;;;73677.53125;0.0053095818;0.0053095818;50744.9414062
;IN;2013;p58p59;52027.4348788;75539.6076025;;;74948.6015625;0.0054050088;0.0054050088;51620.3828125
;IN;2013;p59p60;53079.1026827;77066.5437934;;;76429.96875;0.0055142641;0.0055142641;52640.6640625
;IN;2013;p60p61;54157.7363278;78632.6321945;;;78010.8671875;0.0056263208;0.0056263208;53729.4960938
;IN;2013;p61p62;55228.911336;80187.8912608;;;79564.296875;0.0057376027;0.0057376027;54799.4140625
;IN;2013;p62p63;56342.5432005;81804.7942323;;;81145.203125;0.0058532953;0.0058532953;55888.2539062
;IN;2013;p63p64;57421.7505869;83371.715659;;;82688.234375;0.0059654117;0.0059654117;56951.0078125
;IN;2013;p64p65;58484.8932169;84915.3123649;;;84262.2109375;0.0060758591;0.0060758591;58035.0703125
;IN;2013;p65p66;59615.1635791;86556.373083;;;85911.8046875;0.0061932802;0.0061932802;59171.21875
;IN;2013;p66p67;60698.3871546;88129.12569;;;87448.5390625;0.0063058138;0.0063058138;60229.6367188
;IN;2013;p67p68;61910.7025227;89889.3090896;;;89153.5;0.0064317584;0.0064317584;61403.9179688
;IN;2013;p68p69;63203.3416729;91766.1160936;;;90990.34375;0.0065660477;0.0065660477;62669.03125
;IN;2013;p69p70;64537.8639381;93703.733977;;;92879.640625;0.0067046881;0.0067046881;63970.2734375
;IN;2013;p70p71;65991.7243938;95814.6212154;;;94934.9375;0.0068557262;0.0068557262;65385.8515625
;IN;2013;p71p72;67424.3564214;97894.6865012;;;96967.6875;0.007004559;0.007004559;66785.890625
;IN;2013;p72p73;69111.1558451;100343.782192;;;99401.5859375;0.0071797967;0.0071797967;68462.2265625
;IN;2013;p73p74;71022.2881174;103118.59095;;;102169.046875;0.0073783398;0.0073783398;70368.296875
;IN;2013;p74p75;72576.5533007;105375.257693;;;104410.523438;0.0075398088;0.0075398088;71912.09375
;IN;2013;p75p76;74315.5631828;107900.158727;;;106895.5625;0.0077204704;0.0077204704;73623.65625
;IN;2013;p76p77;76255.38252;110716.618772;;;109627.84375;0.0079219937;0.0079219937;75505.5
;IN;2013;p77p78;78375.3566257;113794.6489;;;112578.148438;0.0081422329;0.0081422329;77537.5
;IN;2013;p78p79;80524.5915377;116915.163342;;;115556.953125;0.0083655119;0.0083655119;79589.1328125
;IN;2013;p79p80;83789.1795381;121655.079832;;;120164.953125;0.0087046623;0.0087046623;82762.8671875
;IN;2013;p80p81;86035.3767299;124916.375625;;;123389.882812;0.0089380145;0.0089380145;84984.015625
;IN;2013;p81p82;88776.1389228;128895.73961;;;127301.8125;0.0092227459;0.0092227459;87678.3359375
;IN;2013;p82p83;92600.1246912;134447.856202;;;132688.71875;0.0096200109;0.0096200109;91388.53125
;IN;2013;p83p84;95541.6963394;138718.779197;;;136750.15625;0.0099256039;0.0099256039;94185.8203125
;IN;2013;p84p85;99187.2485633;144011.824782;;;141801.4375;0.0103043318;0.0103043318;97664.859375
;IN;2013;p85p86;104330.265582;151479.067563;;;149062.875;0.0108386278;0.0108386278;102666.132812
;IN;2013;p86p87;108501.364837;157535.16473;;;154996.140625;0.0112719536;0.0112719536;106752.632812
;IN;2013;p87p88;113153.259302;164289.337473;;;161581.71875;0.011755228;0.011755228;111288.40625
;IN;2013;p88p89;118224.558658;171652.452035;;;168549.84375;0.0122820735;0.0122820735;116087.65625
;IN;2013;p89p90;125099.126922;181633.766514;;;177822.078125;0.0129962564;0.0129962564;122473.851562
;IN;2013;p90p91;147665.519757;214398.335125;;;199032.234375;0.0153406262;0.0153406262;137082.203125
;IN;2013;p91p92;176352.584786;256049.622386;;;233231.703125;0.0183208585;0.0183208585;160636.890625
;IN;2013;p92p93;216718.153989;314657.148691;;;282437.53125;0.0225143433;0.0225143433;194527.109375
;IN;2013;p93p94;273267.817799;396762.665217;;;352102.75;0.0283891559;0.0283891559;242508.59375
;IN;2013;p94p95;330384.624885;479691.627693;;;448668.59375;0.0343228877;0.0343228877;309017.6875
;IN;2013;p95p96;381440.428871;553820.506196;;;511024.8125;0.039626956;0.039626956;351965.15625
;IN;2013;p96p97;448712.743848;651494.440875;;;591057.6875;0.0466157198;0.0466157198;407087.3125
;IN;2013;p97p98;561050.716762;814600.048763;;;729547.0;0.0582862496;0.0582862496;502470.96875
;IN;2013;p98p99;712252.204154;1034132.32156;;;888313.375;0.0739942193;0.0739942193;611820.3125
;IN;2013;p1p100;97161.4143939;141070.478191;11.7571058273;11.7571058273;11998.7421875;0.9992933869;0.9992933869;8264.05859375
;IN;2013;p2p100;98061.9838013;142378.031789;9.19059753418;9.19059753418;15491.7060547;0.9983682036;0.9983682036;10669.8154297
;IN;2013;p3p100;98958.2488912;143679.335867;7.77575731277;7.77575731277;18477.8574219;0.9972125292;0.9972125292;12726.5097656
;IN;2013;p4p100;99852.5972249;144977.856972;7.02551555634;7.02551555634;20635.9023438;0.9958515167;0.9958515167;14212.8496094
;IN;2013;p5p100;100750.403717;146281.399041;6.48947954178;6.48947906494;22541.3164062;0.9943388104;0.9943388104;15525.1904297
;IN;2013;p6p100;101653.420611;147592.50619;6.09264469147;6.09264469147;24224.703125;0.992690444;0.992690444;16684.6132812
;IN;2013;p7p100;102563.740794;148914.217122;5.83473396301;5.83473443985;25522.0214844;0.990925014;0.990925014;17578.1347656
;IN;2013;p8p100;103484.514778;150251.106123;5.60321903229;5.60321903229;26815.140625;0.9890703559;0.9890703559;18468.7617188
;IN;2013;p9p100;104415.910657;151603.417252;5.42430639267;5.42430639267;27948.9042969;0.9871248007;0.9871248007;19249.6328125
;IN;2013;p10p100;105359.398102;152973.284353;5.2650718689;5.26507234573;29054.3554688;0.9850987792;0.9850987792;20011.0078125
;IN;2013;p11p100;106315.597431;154361.608076;5.12901067734;5.12901067734;30095.7851562;0.9829942584;0.9829942584;20728.2851562
;IN;2013;p12p100;107285.450546;155769.755987;5.00158548355;5.00158548355;31144.0761719;0.9808158875;0.9808158875;21450.2890625
;IN;2013;p13p100;108269.368915;157198.325504;4.89198970795;4.89198923111;32133.8242188;0.9785631299;0.9785631299;22131.9707031
;IN;2013;p14p100;109268.330199;158648.736111;4.79734420776;4.79734420776;33070.1171875;0.9762403369;0.9762403369;22776.8378906
;IN;2013;p15p100;110283.243319;160122.307488;4.71146678925;4.71146678925;33985.6601562;0.9738508463;0.9738508463;23407.4121094
;IN;2013;p16p100;111314.718965;161619.926306;4.62880277634;4.62880277634;34916.140625;0.9713950157;0.9713950157;24048.2734375
;IN;2013;p17p100;112363.113843;163142.110475;4.54363393784;4.543633461;35905.6484375;0.968870759;0.968870759;24729.7910156
;IN;2013;p18p100;113428.739089;164689.311737;4.46946287155;4.46946287155;36847.6757812;0.9662754536;0.9662754536;25378.6054688
;IN;2013;p19p100;114512.856187;166263.361666;4.4077038765;4.40770339966;37721.0859375;0.9636143446;0.9636143446;25980.1621094
;IN;2013;p20p100;115616.710809;167866.068876;4.35615587234;4.35615587234;38535.3671875;0.9608920217;0.9608920217;26540.9941406
;IN;2013;p21p100;116741.364771;169498.975037;4.29976320267;4.29976320267;39420.5351562;0.9581110477;0.9581110477;27150.6484375
;IN;2013;p22p100;117887.044305;171162.40862;4.24994516373;4.24994516373;40274.0273438;0.9552667737;0.9552667737;27738.4863281
;IN;2013;p23p100;119054.9486;172858.110751;4.2056016922;4.2056016922;41101.875;0.9523622394;0.9523622394;28308.6601562
;IN;2013;p24p100;120246.068188;174587.5196;4.16467523575;4.16467523575;41921.0390625;0.9493983388;0.9493983388;28872.8554688
;IN;2013;p25p100;121461.216932;176351.816832;4.12681436539;4.12681436539;42733.1601562;0.9463741779;0.9463741779;29432.1992188
;IN;2013;p26p100;122701.710131;178152.912152;4.08660650253;4.08660650253;43594.3398438;0.9432923794;0.9432923794;30025.3320312
;IN;2013;p27p100;123968.329975;179991.941238;4.06421756744;4.06421709061;44286.9882812;0.9401509762;0.9401509762;30502.3867188
;IN;2013;p28p100;125263.615365;181872.590367;4.03320360184;4.03320360184;45093.828125;0.9369608164;0.9369608164;31058.09375
;IN;2013;p29p100;126587.16943;183794.283314;3.99848985672;3.99849009514;45965.921875;0.9337100387;0.9337100387;31658.7441406
;IN;2013;p30p100;127939.711905;185758.065078;3.96373462677;3.96373462677;46864.40625;0.9303950667;0.9303950667;32277.5683594
;IN;2013;p31p100;129322.611252;187765.922554;3.93456935883;3.93456912041;47722.1054688;0.9270166755;0.9270166755;32868.3007812
;IN;2013;p32p100;130737.729863;189820.559782;3.91016316414;3.91016340256;48545.4296875;0.9235785604;0.9235785604;33435.3632812
;IN;2013;p33p100;132186.707347;191924.357343;3.8888835907;3.88888335228;49352.046875;0.9200820923;0.9200820923;33990.9140625
;IN;2013;p34p100;133671.143595;194079.638147;3.87428593636;3.87428569794;50094.3007812;0.9165276885;0.9165276885;34502.1367188
;IN;2013;p35p100;135193.354829;196289.76516;3.85636544228;3.85636496544;50900.203125;0.9129199386;0.9129199386;35057.1953125
;IN;2013;p36p100;136754.260102;198556.072775;3.83649873734;3.83649897575;51754.4960938;0.90925318;0.90925318;35645.5898438
;IN;2013;p37p100;138355.082713;200880.33712;3.81615161896;3.81615161896;52639.5078125;0.9055233598;0.9055233598;36255.1328125
;IN;2013;p38p100;139997.726383;203265.322245;3.79473280907;3.79473257065;53565.125;0.901730299;0.901730299;36892.6445312
;IN;2013;p39p100;141684.022153;205713.686671;3.78115010262;3.78115010262;54405.0585938;0.8978725672;0.8978725672;37471.1445312
;IN;2013;p40p100;143417.108861;208229.987738;3.76672291756;3.76672291756;55281.4726562;0.8939561248;0.8939561248;38074.7695312
;IN;2013;p41p100;145198.548857;210816.493849;3.75301146507;3.75301146507;56172.6210938;0.889975965;0.889975965;38688.5429688
;IN;2013;p42p100;147030.487058;213476.31925;3.73965668678;3.73965668678;57084.46875;0.8859299421;0.8859299421;39316.5742188
;IN;2013;p43p100;148915.420213;216213.089018;3.71866750717;3.71866750717;58142.625;0.8818171024;0.8818171024;40045.3710938
;IN;2013;p44p100;150854.384151;219028.307092;3.69998240471;3.69998240471;59197.1210938;0.8776269555;0.8776269555;40771.6484375
;IN;2013;p45p100;152850.41989;221926.388785;3.68141007423;3.68140983582;60282.9882812;0.8733600378;0.8733600378;41519.53125
;IN;2013;p46p100;154906.644962;224911.860497;3.66674137115;3.66674137115;61338.3476562;0.8690160513;0.8690160513;42246.40625
;IN;2013;p47p100;157027.083353;227990.56473;3.66441893578;3.66441893578;62217.3867188;0.8645983934;0.8645983934;42851.8359375
;IN;2013;p48p100;159217.569141;231170.972091;3.65794897079;3.65794897079;63196.8828125;0.8601185679;0.8601185679;43526.4609375
;IN;2013;p49p100;161480.22029;234456.157692;3.65221142769;3.65221142769;64195.6679688;0.8555659652;0.8555659652;44214.3671875
;IN;2013;p50p100;163819.286399;237852.291605;3.64332747459;3.64332723618;65284.359375;0.8509401679;0.8509401679;44964.1953125
;IN;2013;p51p100;166238.54434;241364.857543;3.63370847702;3.63370847702;66423.8359375;0.8462365866;0.8462365866;45749.0039062
;IN;2013;p52p100;168742.241116;245000.021807;3.62719535828;3.62719535828;67545.3046875;0.8414514065;0.8414514065;46521.4101562
;IN;2013;p53p100;171335.58333;248765.343963;3.61066508293;3.61066508293;68897.375;0.8365837336;0.8365837336;47452.6367188
;IN;2013;p54p100;174020.950031;252664.278194;3.61119055748;3.6111907959;69967.0234375;0.8316169977;0.8316169977;48189.3554688
;IN;2013;p55p100;176809.091614;256712.433204;3.60720181465;3.60720181465;71166.640625;0.8265727758;0.8265727758;49015.5820312
;IN;2013;p56p100;179705.307274;260917.50299;3.60033321381;3.60033321381;72470.375;0.8214432597;0.8214432597;49913.5195312
;IN;2013;p57p100;182715.642666;265288.265354;3.60066723824;3.60066723824;73677.53125;0.8162217736;0.8162217736;50744.9414062
;IN;2013;p58p100;185849.137133;269837.844687;3.60030531883;3.60030531883;74948.6015625;0.8109121919;0.8109121919;51620.3828125
;IN;2013;p59p100;189113.08109;274576.826079;3.5925283432;3.5925283432;76429.96875;0.8055071831;0.8055071831;52640.6640625
;IN;2013;p60p100;192513.930551;279514.583136;3.58302140236;3.58302116394;78010.8671875;0.799992919;0.799992919;53729.4960938
;IN;2013;p61p100;196061.525274;284665.402391;3.57780337334;3.57780337334;79564.296875;0.7943665981;0.7943665981;54799.4140625
;IN;2013;p62p100;199767.646694;290046.389526;3.57441210747;3.57441210747;81145.203125;0.7886289954;0.7886289954;55888.2539062
;IN;2013;p63p100;203644.000842;295674.540751;3.57577514648;3.57577514648;82688.234375;0.7827757001;0.7827757001;56951.0078125
;IN;2013;p64p100;207705.730016;301571.841448;3.57896924019;3.57896900177;84262.2109375;0.7768102884;0.7768102884;58035.0703125
;IN;2013;p65p100;211969.182496;307762.027993;3.58230209351;3.58230209351;85911.8046875;0.7707344294;0.7707344294;59171.21875
