Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-NJ;1949;p0p100;1964957.5;;1941010.0;0.122229591;;;1.0;;;
;US-NJ;1948;p0p100;1939829.75;;1993768.0;0.1222924143;;;1.0;;;
;US-NJ;1947;p0p100;1914709.625;;2061055.875;0.115778029;;;1.0;;;
;US-NJ;1946;p0p100;1885843.5;;2028646.0;0.1041131839;;;1.0;;;
;US-NJ;1945;p0p100;1873429.0;;1981047.0;0.0924932137;;;1.0;;;
;US-NJ;1944;p0p100;1859569.125;;1829218.0;0.0902230665;;;1.0;;;
;US-NJ;1943;p0p100;1843504.75;;1726498.0;0.0881233886;;;1.0;;;
;US-NJ;1942;p0p100;1823955.625;;1521189.0;0.0841214508;;;1.0;;;
;US-NJ;1941;p0p100;1809654.375;;1221792.0;0.0776699111;;;1.0;;;
;US-NJ;1940;p0p100;1797326.0;;736351.0;0.0728873089;;;1.0;;;
;US-NJ;1939;p0p100;1775833.5;;389906.0;0.0722233132;;;1.0;;;
;US-NJ;1938;p0p100;1757056.0;;304597.0;0.0731385574;;;1.0;;;
;US-NJ;1937;p0p100;1739170.375;;300164.0;0.0745024458;;;1.0;;;
;US-NJ;1936;p0p100;1724507.125;;262955.0;0.0718643889;;;1.0;;;
;US-NJ;1935;p0p100;1709549.875;;226987.0;0.0710029826;;;1.0;;;
;US-NJ;1934;p0p100;1693732.375;;214540.0;0.0696032047;;;1.0;;;
;US-NJ;1933;p0p100;1679130.125;;208367.0;0.0663639754;;;1.0;;;
;US-NJ;1932;p0p100;1665401.75;;224731.0;0.0681944638;;;1.0;;;
;US-NJ;1931;p0p100;1650951.625;;184918.0;0.076970011;;;1.0;;;
;US-NJ;1930;p0p100;1634460.625;;192804.0;0.0854135603;;;1.0;;;
;US-NJ;1929;p0p100;1596507.875;;199515.0;0.0888322517;;;1.0;;;
;US-NJ;1928;p0p100;1559754.375;;196681.0;0.0885895565;;;1.0;;;
;US-NJ;1927;p0p100;1520756.875;;195467.0;0.089317672;;;1.0;;;
;US-NJ;1926;p0p100;1480282.0;;176320.0;0.0908953026;;;1.0;;;
;US-NJ;1925;p0p100;1441325.125;;150874.0;0.0904098675;;;1.0;;;
;US-NJ;1924;p0p100;1401126.625;;299904.0;0.0888322517;;;1.0;;;
;US-NJ;1923;p0p100;1356248.375;;293503.0;0.0887715742;;;1.0;;;
;US-NJ;1922;p0p100;1315344.375;;301834.0;0.0862837657;;;1.0;;;
;US-NJ;1921;p0p100;1279734.25;;269096.0;0.0928369835;;;1.0;;;
