Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2009;p28p100;203576.463558;250406.156403;109284.757244;142243.251509;4.3938474655;4.9719414711;8.9684906006;3.7725737095;37704.5664062;0.9498006392;0.9567574337;0.9766208741;0.942370352;46332.1640625;50363.859375;12185.4130859
;TH;2009;p29p100;205781.661002;253212.723889;110650.164427;143707.596614;4.31553936;4.8771634102;8.8496351242;3.699422121;38845.9570312;0.946754575;0.9540435957;0.9750891559;0.9388485106;47683.8789062;51918.03125;12503.359375
;TH;2009;p30p100;208030.535459;256077.225743;112049.68141;145197.486462;4.2424178123;4.7886199951;8.7023277283;3.6316211224;39981.453125;0.9436208368;0.9512470936;0.9735148493;0.935221721;49035.84375;53476.2070312;12875.8291016
;TH;2009;p31p100;210325.078219;259002.249594;113483.842884;146714.291522;4.1750721931;4.7071552277;8.5195560455;3.5705587864;41090.0078125;0.940399837;0.9483681794;0.9718898326;0.9314916329;50376.3945312;55023.0976562;13320.3935547
;TH;2009;p32p100;212667.458389;261990.607612;114953.229118;148259.557295;4.1127343178;4.6316862106;8.3196744919;3.514844656;42180.96875;0.9370922558;0.9454073656;0.9702061034;0.9276604866;51709.5078125;56564.84375;13817.0341797
;TH;2009;p33p100;215059.867215;265045.124085;116458.85165;149834.689722;4.0544099808;4.560839653;8.1224603653;3.4626402855;43271.8046875;0.9336983071;0.942364611;0.9684589574;0.9237290935;53043.4453125;58113.2304688;14337.8779297
;TH;2009;p34p100;217504.504358;268168.619055;118002.181338;151440.919987;3.9992485046;4.493473053;7.9417619705;3.4124217033;44379.3085938;0.9302176727;0.9392392603;0.9666469509;0.9196966858;54386.34375;59679.5859375;14858.4384766
;TH;2009;p35p100;220003.581588;271363.916926;119585.122927;153079.304193;3.9465312958;4.4286580086;7.7861104012;3.3629589081;45519.2304688;0.9266495156;0.9360300743;0.9647714102;0.9155609958;55746.0625;61274.5273438;15358.7753906
;TH;2009;p36p100;222559.329214;274633.860257;121209.967362;154750.729234;3.8956623077;4.3656668663;7.6594538689;3.3133051395;46705.8476562;0.9229925021;0.932735276;0.962835784;0.9113183704;57130.0351562;62907.65625;15824.8837891
;TH;2009;p37p100;225174.006037;277981.330236;122879.315543;156455.92675;3.8461668491;4.3039708138;7.5616455078;3.2627987862;47951.4492188;0.9192448367;0.9293526144;0.9608448071;0.9069639301;58545.0429688;64587.1757812;16250.3408203
;TH;2009;p38p100;227849.913823;281409.275601;124595.965693;158195.497494;3.7976884842;4.2432374954;7.4885206223;3.2110664845;49265.71875;0.9154043113;0.9258794488;0.9588034416;0.9024917796;59997.0;66319.4765625;16638.2617188
;TH;2009;p39p100;230589.417493;284920.752259;126362.754668;159969.949024;3.7499914169;4.1833310127;7.4315166473;3.1580278873;50655.015625;0.9114683707;0.9223128598;0.9567155528;0.897895279;61490.6523438;68108.5859375;17003.6289062
;TH;2009;p40p100;233394.972579;288518.976342;128182.341095;161779.750267;3.7029635906;4.1243166924;7.376958847;3.1038951874;52121.5234375;0.9074341988;0.9186497893;0.9545822703;0.8931673887;63029.2382812;69955.5859375;17376.0410156
;TH;2009;p41p100;236269.166353;292207.404848;130056.957798;163625.442478;3.6566803455;4.0666060448;7.3095269203;3.0496382713;53654.0507812;0.9032988471;0.9148872507;0.9524002856;0.888301289;64613.0234375;71855.3515625;17792.8007812
;TH;2009;p42p100;239214.811913;295989.932483;131988.565754;165508.109263;3.6115281582;4.0112166405;7.2268362045;2.9979810715;55206.5234375;0.8990595449;0.9110228709;0.9501632249;0.8832928554;66236.453125;73790.5625;18263.671875
;TH;2009;p43p100;242235.036067;299871.053845;133979.211116;167429.78498;3.5679233074;3.9590620995;7.1307668686;2.9513318539;56730.2460938;0.8947139511;0.9070552645;0.9478643431;0.8781425513;67892.4453125;75742.953125;18788.8925781
;TH;2009;p44p100;245333.317122;303855.885918;136031.094892;169393.443359;3.5262339115;3.9107706547;7.0237898827;2.9112696648;58185.4179688;0.8902601899;0.9029839418;0.9454969558;0.8728549315;69573.75;77697.1875;19367.1933594
;TH;2009;p45p100;248513.519982;307950.162354;138146.617814;171402.895587;3.4867866039;3.8666853905;6.908914566;2.8785898685;59544.046875;0.8856968613;0.8988091265;0.9430546493;0.8674376946;71272.9375;79641.8984375;19995.4160156
;TH;2009;p46p100;251779.933414;312160.205678;140328.43779;173462.618088;3.4498631954;3.8268544674;6.7896256447;2.853313446;60793.3984375;0.8810230472;0.894531513;0.9405315414;0.8619004421;72982.5859375;81570.9609375;20668.0664062
;TH;2009;p47p100;255137.309286;316492.869846;142579.543131;175577.488854;3.4157044888;3.7910134792;6.6698322296;2.834628582;61940.2109375;0.876238308;0.8901519483;0.9379226042;0.8562530858;74695.3671875;83485.03125;21376.78125
;TH;2009;p48p100;258590.903414;320955.443487;144903.345518;177752.405386;3.384509325;3.7585504055;6.5538401604;2.8207654953;63015.6601562;0.8713426705;0.8856710237;0.9352240585;0.850503836;76404.25;85393.4140625;22109.6855469
;TH;2009;p49p100;262146.517482;325555.501389;147303.797681;179991.749902;3.3564345837;3.7284600735;6.4463810921;2.8087985516;64081.4023438;0.8663366035;0.881088558;0.9324338559;0.8446566819;78102.671875;87316.34375;22850.6191406
;TH;2009;p50p100;265810.54121;330300.68834;149785.542032;182298.657922;3.3315916061;3.6992857456;6.3527059555;2.7944130898;65236.8320312;0.8612209768;0.8764029481;0.9295522661;0.8387082643;79784.8515625;89287.6953125;23578.2265625
;TH;2009;p51p100;269589.957266;335198.467955;152354.050976;184674.224099;3.3097536564;3.6694786549;6.2763895988;2.7732965946;66590.1484375;0.855996887;0.8716104966;0.9265823015;0.8326448682;81453.1796875;91347.7109375;24274.1542969
;TH;2009;p52p100;273491.978845;340256.372398;155015.304168;187118.521664;3.2895927429;3.6388311386;6.2123718262;2.746326685;68134.109375;0.8506643377;0.8667060968;0.9235272797;0.8264478643;83138.5546875;93507.0546875;24952.6757812
;TH;2009;p53p100;277523.687522;345482.498429;157775.344408;189632.316643;3.269746542;3.6075496674;6.1541872025;2.7157175541;69827.703125;0.8452210621;0.8616844511;0.9203879181;0.8201015926;84876.2109375;95766.5234375;25637.0722656
;TH;2009;p54p100;281692.063421;350885.644642;160640.234211;192217.33693;3.2491722107;3.5758879185;6.0962905884;2.683485508;71629.7265625;0.8396626555;0.8565402566;0.9171620463;0.8135941822;86696.5625;98125.4609375;26350.4882812
;TH;2009;p55p100;286004.104992;356475.425019;163616.068514;194876.373007;3.227200985;3.5441467762;6.0341029167;2.6513876915;73499.765625;0.8339829571;0.8512682898;0.9138446653;0.8069175263;88622.9609375;100581.453125;27115.2265625
;TH;2009;p56p100;290467.02335;362262.407689;166709.007932;197613.36589;3.203605175;3.5126848221;5.9641637802;2.6208825111;75399.5546875;0.8281745989;0.8458635144;0.9104281089;0.8000671492;90668.796875;103129.78125;27951.78125
;TH;2009;p57p100;295088.539162;368258.285179;169925.342174;200433.471818;3.1786732674;3.4819231033;5.8843302727;2.5931072235;77294.7109375;0.8222297631;0.8403212165;0.906902341;0.7930419325;92833.8671875;105762.898438;28877.6015625
;TH;2009;p58p100;299877.319381;374476.084264;173271.596892;203343.089224;3.1532912254;3.4523570538;5.7939853668;2.5688598156;79156.9453125;0.8161412066;0.8346371742;0.9032554332;0.7858436609;95099.7890625;108469.6875;29905.4257812
;TH;2009;p59p100;304843.603573;380930.425713;176754.702159;206349.828022;3.1290318966;3.424567461;5.694205761;2.5485692024;80966.9296875;0.8099036177;0.8288078685;0.899474275;0.7784763345;97424.2578125;111234.609375;31041.1523438
;TH;2009;p60p100;310000.086209;387637.8472;180382.247449;209462.393736;3.1082766056;3.3992402554;5.5878686905;2.5322499275;82717.8984375;0.8035153936;0.8228307456;0.8955455893;0.770945185;99733.75;114036.617188;32281.046875
;TH;2009;p61p100;315362.938871;394617.144633;184162.873566;212690.324968;3.0934042931;3.376906395;5.4800982475;2.5193178654;84423.7734375;0.7969804285;0.8167044154;0.8914574199;0.7632552294;101946.890625;116857.59375;33605.7617188
;TH;2009;p62p100;320950.947298;401889.132365;188106.926385;216043.404263;3.0836617947;3.3570868969;5.3781571388;2.508453846;86126.125;0.7903048621;0.8104275679;0.8872015627;0.755408827;104081.109375;119713.648438;34976.09375
;TH;2009;p63p100;326783.858414;409476.238568;192226.977497;219531.254159;3.0775165558;3.3390843868;5.287967205;2.4983522892;87870.4140625;0.7834922694;0.8039976438;0.8827748986;0.7474041918;106184.273438;122631.296875;36351.7734375
;TH;2009;p64p100;332882.258215;417402.630878;196538.03963;223163.349195;3.0735375881;3.3222606182;5.2134203911;2.4879305363;89698.3828125;0.7765430642;0.7974106461;0.8781789744;0.7392355058;108305.898438;125638.132812;37698.484375
;TH;2009;p65p100;339267.662936;425694.442576;201057.687351;226949.140514;3.0704133511;3.3060519695;5.1563634872;2.4763901234;91645.1484375;0.7694544344;0.7906610986;0.8734190126;0.7308933885;110495.765625;128762.171875;38992.1484375
;TH;2009;p66p100;345962.674665;434380.061667;205806.051565;230898.30506;3.0669910908;3.2899866104;5.1164050102;2.4633073807;93735.078125;0.7622203832;0.7837420461;0.8685022982;0.7223656874;112801.984375;132030.953125;40224.7382812
;TH;2009;p67p100;352991.237232;443490.507085;210805.605826;235021.182859;3.0623483658;3.2737140656;5.0904169083;2.4487390518;95976.40625;0.7548319244;0.7766451147;0.863435717;0.7136387014;115268.15625;135470.140625;41412.2460938
;TH;2009;p68p100;360379.045649;453059.926426;216080.621903;239329.494062;3.0558886528;3.2570431232;5.0716633797;2.433350563;98353.890625;0.7472774972;0.7693606592;0.8582221393;0.7046989878;117929.375;139101.609375;42605.4726562
;TH;2009;p69p100;368154.188203;463126.264377;221656.111954;243837.468093;3.0474669933;3.2399888039;5.0485711098;2.4185647964;100819.078125;0.7395436879;0.7618780324;0.8528552341;0.6955359476;120806.625;142940.703125;43904.7226562
;TH;2009;p70p100;376348.138251;473732.172383;227555.985784;248563.576018;3.0375397205;3.2228326797;5.003452301;2.4067597389;103277.273438;0.7316163831;0.7541860259;0.8473121479;0.6861454532;123899.0;146992.484375;45479.796875
;TH;2009;p71p100;384997.205905;484926.236106;233800.695458;253532.700183;3.0271677971;3.206132412;4.9203085899;2.4003713131;105622.289062;0.7234824005;0.7462735102;0.8415457108;0.6765336868;127180.664062;151249.59375;47517.484375
;TH;2009;p72p100;394143.832001;496764.289247;240411.040398;258774.388249;3.0172781944;3.190431118;4.8119645119;2.3981239796;107907.007812;0.7151302702;0.7381298122;0.8354998062;0.6667096921;130628.929688;155704.4375;49961.0976562
;TH;2009;p73p100;403837.457858;509310.641084;247415.138766;264319.255075;3.0086255074;3.1761755943;4.6972784996;2.3977787495;110235.046875;0.7065497692;0.7297445512;0.8291325176;0.656674289;134226.5625;160353.421875;52672.0195312
;TH;2009;p74p100;414135.724341;522639.544106;254850.987497;270198.568863;3.0018434525;3.1637153625;4.5918207169;2.397226572;112712.984375;0.6977316743;0.7211074145;0.8224198481;0.6464185922;137960.46875;165198.03125;55501.078125
;TH;2009;p75p100;425105.873243;536836.910997;262768.716736;276444.368901;2.9973845482;3.1532547474;4.5074534416;2.3946053982;115444.640625;0.6886673751;0.7122077974;0.8153565851;0.6359239817;141825.609375;170248.5;58296.4882812
;TH;2009;p76p100;436826.297456;552002.280657;271232.965811;283089.918899;2.9954302311;3.1447942257;4.4524621964;2.3885045052;118521.828125;0.6793481743;0.7030342132;0.8079558481;0.6251627493;145830.90625;175528.90625;60917.5234375
;TH;2009;p77p100;449388.179053;568251.018648;280325.107991;290170.786716;2.995759964;3.1380348206;4.4315304756;2.3782567978;122009.859375;0.6697641161;0.6935733632;0.8002464356;0.6140998197;150008.078125;181085.0;63256.9492188
;TH;2009;p78p100;462897.077836;585716.686721;290144.778115;297727.04732;2.9975545406;3.1322481632;4.4448270798;2.3643193245;125925.0625;0.6599021075;0.683808704;0.7922666115;0.6026961509;154424.90625;186995.625;65276.953125
;TH;2009;p79p100;477474.193629;604553.419224;300809.656436;305807.451936;2.9991109371;3.1260869503;4.4852519035;2.3487465382;130200.28125;0.6497429771;0.6737182676;0.7840522088;0.5909147158;159205.25;193389.828125;67066.390625
;TH;2009;p80p100;493256.774711;624937.963572;312451.544844;314476.992391;2.9974458218;3.1173286438;4.5327558517;2.3358204365;134632.34375;0.6392569375;0.6632713682;0.7756156906;0.5787304316;164559.03125;200472.28125;68931.9140625
;TH;2009;p81p100;510397.616269;647071.524816;325207.199562;323828.568114;2.9890489578;3.1034889221;4.5561513901;2.3307635784;138936.6875;0.6283977679;0.6524244622;0.7669157675;0.566143085;170755.859375;208498.09375;71377.609375
;TH;2009;p82p100;529072.7787;671189.70489;339223.485808;333982.52059;2.9740905762;3.0849480629;4.5483174324;2.3325154781;143185.546875;0.6171067797;0.6411241528;0.7578658397;0.5531637216;177893.96875;217569.203125;74582.1953125
;TH;2009;p83p100;549496.390599;697579.615757;354676.369207;345077.624852;2.9540185928;3.0630276203;4.5118947029;2.3380541801;147591.796875;0.6053215853;0.6293135017;0.7483677944;0.5397879287;186016.5625;227741.859375;78609.1875
;TH;2009;p84p100;571933.342042;726596.400647;371781.790492;357272.963425;2.9304420948;3.0391259193;4.4512324333;2.3442809582;152401.9375;0.5929769247;0.6169323893;0.7383155435;0.525990114;195169.640625;239080.71875;83523.3359375
;TH;2009;p85p100;596715.870351;758685.092893;390808.962185;370752.773888;2.9050383568;3.0146315098;4.3720059395;2.3482551575;157884.359375;0.5800043396;0.6039168632;0.7275949697;0.5117208525;205407.21875;251667.609375;89388.9375
;TH;2009;p86p100;624266.675344;794410.927179;412099.493092;385734.805649;2.8794198036;2.9907872677;4.2807512283;2.3477647305;164298.75;0.5663313237;0.5901978073;0.7160840992;0.4969060795;216802.9375;265619.34375;96268.03125
;TH;2009;p87p100;655131.378451;834501.695767;436095.455623;402486.185182;2.8549215794;2.9684638977;4.1843981743;2.3423864841;171827.40625;0.5518793559;0.5756982676;0.7036534602;0.48145065;229474.390625;281122.40625;104219.398438
;TH;2009;p88p100;690024.260665;879907.153724;463381.458992;421355.748262;2.8322331905;2.9477522373;4.0898332596;2.3352820873;180430.34375;0.5365596399;0.5603281501;0.690166401;0.465251322;243632.578125;298501.0625;113300.820312
;TH;2009;p89p100;729892.383769;931881.938914;494749.116149;442843.33449;2.8107051849;2.9271998405;4.0034542084;2.3363251686;189546.96875;0.5202641639;0.5439737295;0.6754786495;0.4482293019;259683.015625;318352.6875;123580.5625
;TH;2009;p91p100;830064.054036;1062801.20283;574597.061619;497495.405188;2.7551982403;2.866297245;3.8735678196;2.4568266869;202495.109375;0.4840904465;0.5075968209;0.6418592798;0.4119922344;301272.0;370792.375;148337.9375
;TH;2009;p92p100;894460.920322;1147126.36848;626952.27454;533921.101044;2.7143375874;2.8188369274;3.8330557346;2.5277926922;211220.296875;0.4636857539;0.486996227;0.6225272743;0.3930289296;329531.9375;406950.25;163564.609375
;TH;2009;p93p100;972734.817233;1249752.75023;691908.698588;578509.831301;2.665545702;2.7633755207;3.8134832382;2.4466934204;236445.578125;0.4412298609;0.4642442013;0.601147084;0.3726200592;364928.96875;452255.84375;181437.453125
;TH;2009;p94p100;1070429.28962;1378092.69327;775287.254097;631246.917943;2.6098613739;2.705163002;3.8317348957;2.1434369087;294502.21875;0.4161804062;0.4387872778;0.5773614843;0.348504161;410147.9375;509430.5625;202333.21875
;TH;2009;p95p100;1196811.94814;1544829.64191;887596.284774;689321.95028;2.5470890999;2.6522493362;3.941423893;1.7554091215;392684.5;0.3877647404;0.4098971938;0.5508322944;0.3171389318;469874.40625;582460.1875;225196.859375
;TH;2009;p96p100;1369690.68841;1773963.78663;1049426.02348;754293.030143;2.532753706;2.6099131107;4.0386047363;1.7103278637;441022.46875;0.3550216924;0.3765555804;0.5210096115;0.2776243359;540791.125;679702.25;259848.65625
;TH;2009;p97p100;1628651.72404;2115515.54913;1302662.94346;854181.788608;2.4779605865;2.5434734821;3.7205958366;1.768430829;483016.78125;0.316607992;0.3367920436;0.4850508031;0.2357919691;657254.875;831742.6875;350122.125
;TH;2009;p98p100;2068898.87835;2697947.91412;1734196.85135;1012569.72737;2.4111769199;2.4596438408;3.0933141708;1.7626339197;574464.0;0.2681276829;0.2863438787;0.4304892425;0.186342699;858045.25;1096885.625;560627.4375
;TH;2009;p0p90;85246.2019449;99145.831727;30487.6082117;68780.8694247;;;;;0.0;0.4971528614;0.4735232596;0.3405648159;0.5695969004;0.0;0.0;0.0
;TH;2009;p0p99;124721.166442;149410.354176;54041.5485489;95534.9020957;;;;;0.0;0.8001064176;0.7849468239;0.6640440566;0.8702713855;0.0;0.0;0.0
;TH;2009;p99.1p100;3278077.63728;4310299.61368;2895987.66165;1483362.92874;2.3639755249;2.4150941372;2.7942602634;1.9242153168;770892.375;0.1911763387;0.2058611126;0.3234991403;0.1228421411;1386680.0;1784733.5;1036405.8125
;TH;2009;p99.1p99.2;1432378.70543;1846610.75377;1081187.21394;794180.94927;;;;;770892.375;0.0092817582;0.009799405;0.0134194531;0.0073076361;1386680.0;1784733.5;1036405.8125
;TH;2009;p99.2p100;3508790.0057;4618260.72274;3122837.72041;1569510.67582;2.3702614307;2.4158337116;2.7876577377;1.9196065664;817621.0;0.1818945805;0.1960617077;0.3100796876;0.115534505;1480338.875;1911663.25;1120237.125
;TH;2009;p99.2p99.3;1533229.61749;1984701.27502;1170816.92705;840840.980152;;;;;817621.0;0.0099352682;0.0105322096;0.0145319169;0.0077369772;1480338.875;1911663.25;1120237.125
;TH;2009;p99.3p100;3791012.91901;4994483.50189;3401697.83595;1673606.34555;2.385933876;2.4216501713;2.8121888638;1.9376709461;863720.625;0.1719593124;0.1855294981;0.2955477708;0.1077975277;1588901.125;2062429.75;1209626.375
;TH;2009;p99.3p99.4;1651382.96855;2151022.81482;1294092.66466;885782.237202;;;;;863720.625;0.0107008973;0.0114148278;0.0160619877;0.008150503;1588901.125;2062429.75;1209626.375
;TH;2009;p99.4p100;4147617.90427;5468393.61522;3752965.36664;1804910.36507;2.4138364792;2.4323425293;2.7255308628;1.9886419773;907609.5;0.1612584148;0.1741146702;0.2794857832;0.0996470247;1718268.0;2248200.5;1376966.75
;TH;2009;p99.4p99.5;1797681.11448;2361650.24618;1467604.82928;930913.473847;;;;;907609.5;0.0116489036;0.0125325639;0.0182155818;0.008565777;1718268.0;2248200.5;1376966.75
;TH;2009;p99.5p100;4617605.26794;6089742.29976;4210037.47794;1979709.73543;2.4493646622;2.4480121136;2.6869409084;2.0691409111;956778.625;0.1496095114;0.1615821066;0.2612702017;0.0910812474;1885225.75;2487627.5;1566851.5
;TH;2009;p99.5p99.6;1991821.93358;2644748.07337;1703268.36747;994142.164625;;;;;956778.625;0.0129069285;0.0140348785;0.0211405847;0.0091475742;1885225.75;2487627.5;1566851.5
;TH;2009;p99.6p100;5274051.11252;6950990.8627;4836729.73704;2226101.63293;2.4988613129;2.4614579678;2.7139494419;2.1372599602;1041568.0;0.1367025831;0.1475472283;0.2401296161;0.0819336734;2110581.75;2823932.5;1782173.875
;TH;2009;p99.6p99.7;2271075.65586;3068733.00569;1961290.65473;1121883.95804;;;;;1041568.0;0.0147164818;0.0162848383;0.0243430994;0.0103229871;2110581.75;2823932.5;1782173.875
;TH;2009;p99.7p100;6275042.90976;8245076.85168;5795209.42442;2594174.20045;2.5398533344;2.4490242004;2.6774163246;2.1156394482;1226189.125;0.1219861009;0.1312623906;0.2157865164;0.0716106865;2470632.0;3366678.25;2164478.25
;TH;2009;p99.7p99.8;2800971.49167;3858418.79781;2419590.08456;1395366.11244;;;;;1226189.125;0.0181501862;0.0204754621;0.0300314091;0.0128394263;2470632.0;3366678.25;2164478.25
;TH;2009;p99.8p100;8012078.56584;10438405.8535;7483019.09761;3193578.23054;2.484606266;2.3245661259;2.5392422676;1.9861255884;1607943.75;0.1038359141;0.1107869282;0.1857551073;0.05877126;3224687.5;4490475.0;2946949.75
;TH;2009;p99.8p99.9;3963985.08165;5596585.45204;3747661.18055;1970073.6161;;;;;1607943.75;0.0256864689;0.029699387;0.0465151295;0.018127583;3224687.5;4490475.0;2946949.75
;TH;2009;p99.91p100;12822594.0581;16158932.6791;11916091.5984;4619484.97853;2.3843708038;2.1190936565;2.3660571575;1.7138024569;2695459.5;0.074780919;0.0771755135;0.1331098692;0.0382554677;5377768.5;7625398.0;5036265.5
;TH;2009;p99.91p99.92;5577069.76612;7896705.23671;5244985.88193;2812821.47721;;;;;2695459.5;0.0036139195;0.0041905427;0.0065099588;0.0025882106;5377768.5;7625398.0;5036265.5
;TH;2009;p99.92p100;13728284.6031;17191711.1613;12749979.8147;4845317.91358;2.3721711636;2.1030831337;2.3814542294;1.6479529142;2940204.0;0.0711669996;0.072984971;0.1265999104;0.035667257;5787223.5;8174527.5;5353863.0
;TH;2009;p99.92p99.93;6021612.96798;8488596.46895;5582035.53001;3090391.07751;;;;;2940204.0;0.0039019817;0.0045046415;0.0069282972;0.0028436156;5787223.5;8174527.5;5353863.0
;TH;2009;p99.93p100;14829237.6903;18435013.2424;13773971.882;5096021.7501;2.3651895523;2.0897274017;2.4144463539;1.5664203167;3253291.5;0.0672650178;0.0684803294;0.1196716134;0.0328236414;6269788.5;8821731.0;5704816.0
;TH;2009;p99.93p99.94;6550917.09421;9198611.12243;5958572.93378;3443446.4431;;;;;3253291.5;0.0042449688;0.0048814248;0.007395647;0.0031684786;6269788.5;8821731.0;5704816.0
;TH;2009;p99.94p100;16208957.8377;19974413.615;15076538.3973;5371450.96429;2.3654584885;2.079833746;2.4701781273;1.4726171494;3647554.25;0.0630200493;0.0635989046;0.1122759666;0.0296551628;6852353.5;9603851.0;6103421.5
;TH;2009;p99.94p99.95;7207186.54571;10064733.4227;6403137.80852;3876610.03967;;;;;3647554.25;0.0046702288;0.0053410497;0.0079474309;0.003567053;6852353.5;9603851.0;6103421.5
;TH;2009;p99.95p100;18009312.0865;21956349.6973;16811218.58;5670419.16606;2.3711929321;2.0758404732;2.547555685;1.3780429363;4114835.0;0.0583498204;0.058257855;0.1043285361;0.0260881099;7595043.0;10577089.0;6598960.0
;TH;2009;p99.95p99.96;8057727.74842;11176912.9852;7006840.39088;4360479.56447;;;;;4114835.0;0.0052213762;0.0059312498;0.008696733;0.0040122843;7595043.0;10577089.0;6598960.0
;TH;2009;p99.96p100;20497208.249;24651208.8865;19262313.0649;5997904.11209;2.3932418823;2.0840568542;2.6264445782;1.3028497696;4603680.5;0.0531284444;0.0523266052;0.0956318027;0.0220758257;8564620.0;11828472.0;7333988.0
;TH;2009;p99.96p99.97;9197622.41002;12649620.2099;7993381.85009;4833287.86392;;;;;4603680.5;0.0059600235;0.006712771;0.0099212062;0.0044473377;8564620.0;11828472.0;7333988.0
;TH;2009;p99.97p100;24263736.9812;28651738.3025;23018623.506;6386109.52377;2.4434669018;2.1107127666;2.6691701412;1.2627021074;5057495.0;0.0471684212;0.0456138339;0.0857105967;0.017628488;9930045.0;13574438.0;8623888.0
;TH;2009;p99.97p99.98;10973833.3919;14859311.09;9809714.31223;5305321.36646;;;;;5057495.0;0.0071110013;0.0078853872;0.0121755973;0.0048816781;9930045.0;13574438.0;8623888.0
;TH;2009;p99.98p100;30908688.7706;35547952.0705;29623078.1184;6926503.56711;2.5188076496;2.1633701324;2.6738023758;1.238941431;5590662.5;0.0400574199;0.0377284469;0.0735349995;0.0127468098;12271159.0;16431747.0;11079008.0
;TH;2009;p99.98p99.99;14752432.283;19272195.8603;13663462.0454;6014020.65819;;;;;5590662.5;0.0095595187;0.0102271717;0.0169587824;0.005533786;12271159.0;16431747.0;11079008.0
;TH;2009;p99.991p100;50166863.1112;54904603.0165;48683897.8442;7973885.9191;2.5379359722;2.2164049149;2.6640179157;1.1902201176;6699505.0;0.0292571387;0.0262225916;0.0543828253;0.006603436;19766796.0;24771920.0;18274614.0
;TH;2009;p99.991p99.992;20464637.6951;25531981.6605;18954544.8012;6779338.19595;;;;;6699505.0;0.0013261006;0.0013549051;0.0023525956;0.0006237991;19766796.0;24771920.0;18274614.0
;TH;2009;p99.992p100;53879641.2633;58576180.652;52400066.9562;8123204.3658;2.5405256748;2.2238101959;2.662715435;1.1837818623;6862079.0;0.0279310381;0.0248676866;0.0520302297;0.0059796369;21208068.0;26340458.0;19679184.0
;TH;2009;p99.992p99.993;22058759.2876;27262562.0874;20509086.9983;6951364.23786;;;;;6862079.0;0.001429399;0.0014467417;0.0025455419;0.000639628;21208068.0;26340458.0;19679184.0
;TH;2009;p99.993p100;58425481.5321;63049554.8733;56955921.2475;8290610.05917;2.543254137;2.2317216396;2.6613519192;1.1769169569;7044345.5;0.0265016391;0.0234209449;0.0494846879;0.0053400088;22972726.0;28251532.0;21401124.0
;TH;2009;p99.993p99.994;24039064.0836;29401069.0705;22442897.5127;7145785.88306;;;;;7044345.5;0.001557722;0.0015602258;0.0027855621;0.0006575177;22972726.0;28251532.0;21401124.0
;TH;2009;p99.994p100;64156550.9906;68657635.9906;62708091.7468;8481414.14027;2.5461492538;2.2402460575;2.6599149704;1.169513464;7252087.5;0.0249439171;0.0218607191;0.0466991257;0.0046824912;25197482.0;30647364.0;23575224.0
;TH;2009;p99.994p99.995;26584613.578;32133209.5567;24932671.5857;7369770.3825;;;;;7252087.5;0.0017226726;0.0017052123;0.0030945872;0.0006781276;25197482.0;30647364.0;23575224.0
;TH;2009;p99.995p100;71670938.5909;75962521.382;70263175.6138;8703742.88298;2.549251318;2.2495355606;2.6583867073;1.1614046097;7494152.5;0.0232212445;0.0201555068;0.0436045383;0.0040043636;28114506.0;33768092.0;26430758.0
;TH;2009;p99.995p99.996;30014799.0784;35788108.6513;28294118.797;7634716.3853;;;;;7494152.5;0.0019449473;0.0018991667;0.0035118025;0.0007025065;28114506.0;33768092.0;26430758.0
;TH;2009;p99.996p100;82084973.2618;86006124.7708;80755439.6976;8970999.44815;2.5526196957;2.2598206997;2.6567406654;1.1523244381;7785133.5;0.0212762972;0.0182563401;0.0400927358;0.0033018571;32157150.0;38058828.0;30396434.0
;TH;2009;p99.996p99.997;34970280.5882;41020765.4371;33161806.041;7960500.5192;;;;;7785133.5;0.0022660606;0.002176848;0.0041159689;0.0007324835;32157150.0;38058828.0;30396434.0
;TH;2009;p99.997p100;97789870.982;101001244.94;96619983.9565;9307832.46868;2.5563530922;2.2714824677;2.6549332142;1.1418037415;8151867.5;0.0190102366;0.0160794922;0.0359767667;0.0025693736;38253664.0;44464904.0;36392624.0
;TH;2009;p99.997p99.998;42994402.1931;49393085.6166;41068515.2481;8387095.54852;;;;;8151867.5;0.0027860205;0.0026211417;0.0050973319;0.0007717365;38253664.0;44464904.0;36392624.0
;TH;2009;p99.998p100;125187604.885;126805324.339;124395717.537;9768200.97284;2.5606369972;2.2852463722;2.6528816223;1.1288666725;8653104.0;0.0162242161;0.0134583504;0.0308794346;0.0017976371;48889244.0;55488688.0;46890792.0
;TH;2009;p99.998p99.999;59319313.1085;66120750.7904;57231245.9712;9018574.00558;;;;;8653104.0;0.0038438684;0.0035088283;0.0071034138;0.0008298418;48889244.0;55488688.0;46890792.0
;TH;2009;p99.99p99.991;19147690.4336;24095652.4025;17671857.7428;6624893.11063;;;;;6552631.0;0.0012407629;0.0012786834;0.0021933913;0.0006095879;18562658.0;23455728.0;17102478.0
;TH;2009;p99.9p99.91;5198372.75958;7371868.83797;4938946.48977;2595463.61684;;;;;2502896.5;0.0033685253;0.0039120279;0.0061301095;0.0023882093;5028148.5;7143779.0;4747439.5
