Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Dividends | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | All Ages | constant 2015 local currency;Interest | individuals | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Wages and pensions | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Net personal wealth | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;KR;2007;p99.9p99.95;;;354000392.921;;;;;;;;543543273.738;;;;;;;;;0.0094822283;;0.0094822283;295354880.0;;453497120.0
;KR;2007;p99p99.5;;;123473702.939;;;;;;;;189585384.813;;;;;;;;;0.0330735746;;0.0330735746;110754504.0;;170055936.0
;KR;2007;p50p100;;;;;;;;;211882815.854;;;;;;19.0482788086;;;;;;0.980931024;;;11123463.0;
;KR;2007;p95p100;23377839.0838;4221861.19358;106243310.492;;;2249029.65001;82865471.4078;;1008226811.09;;163129301.413;;;1.6611073017;2.5794394016;1.6611074209;;;;0.284582544;0.4667678944;0.284582544;63959328.0;390870528.0;98205152.0
;KR;2007;p0p90;;;11956629.9659;;;;;;;;18358583.5623;;;;;;;;;0.5764849273;;0.5764849273;;;
;KR;2007;p99.5p100;136491935.044;33468913.2372;298107243.371;;;14718967.362;161615308.326;;4478428695.7;;457723184.004;;;2.1095612049;3.4559223652;2.1095612049;;;;0.0798507853;0.207332984;0.0798507853;141312448.0;1295870720.0;216975552.0
;KR;2007;p99.95p100;688785140.706;279349453.401;1137679957.23;;;86239026.6156;448894816.522;;;;1746829384.33;;;2.5744161606;;2.5744161606;;;;0.030473811;;0.030473811;441917664.0;;678534208.0
;KR;2006;p0p100;;;18326271.6389;18309841.916;13754805.8304;;;;100907872.0;75736536.0;27387746.0;27363192.5563;20555906.6123;;;;6.66259326162e+14;3.66854832663e+15;9.95693044094e+14;;;;;;
;KR;2006;p0p50;;;;;;;;;4296465.28994;;;;;;;;;;;;0.0212890488;;;;
;KR;2006;p99p100;;;194936793.277;;;;;;2198825785.29;;291323815.641;;;1.9141368866;2.5540325642;1.9141370058;;;;0.106370134;0.2179042831;0.106370134;101840568.0;860923136.0;152195904.0
;KR;2006;p99.9p100;;;657767594.669;;;;;;9478608757.99;;983002553.099;;;2.4103002548;2.6546545029;2.4103002548;;;;0.0358920582;0.0939332921;0.0358920582;272898624.0;3570562048.0;407834080.0
;KR;2006;p99.99p100;;;2597460800.45;;;;;;;;3881782287.71;;;2.4496498108;;2.4496498108;;;;0.0141734276;;0.0141734276;1060339648.0;;1584627456.0
;KR;2006;p90p100;;;76655858.5018;;;;;;593048783.399;;114558554.158;;;1.6761631966;2.5286722183;1.6761631966;;;;0.4182839887;0.5877130916;0.4182839887;45732932.0;234529728.0;68345704.0
;KR;2006;p90p95;;;50438290.9652;;;;;;;;75377639.7539;;;;;;;;;0.1376119839;;0.1376119839;45732932.0;;68345704.0
;KR;2006;p95p99;;;79857584.2288;;;;;;;;119343381.792;;;;;;;;;0.1743018708;;0.1743018708;65532932.0;;97935864.0
;KR;2006;p99.5p99.9;;;173701661.998;;;;;;;;259588916.519;;;;;;;;;0.0379131487;;0.0379131487;131345016.0;;196288912.0
;KR;2006;p99.95p99.99;;;592981376.929;;;;;;;;886182615.539;;;;;;;;;0.0129427611;;0.0129427611;399110784.0;;596452224.0
;KR;2006;p99.9p99.95;;;321657927.706;;;;;;;;480702556.224;;;;;;;;;0.0087758694;;0.0087758694;272898624.0;;407834080.0
;KR;2006;p99p99.5;;;119358738.021;;;;;;;;178375987.446;;;;;;;;;0.0325649272;;0.0325649272;101840568.0;;152195904.0
;KR;2006;p50p100;;;;;;;;;197519281.843;;;;;;16.9398803711;;;;;;0.9787109512;;;11660016.0;
;KR;2006;p95p100;;;102873426.038;;;;;;878314211.734;;153739468.562;;;1.5697973967;2.2781326771;1.5697973967;;;;0.2806720048;0.4352059858;0.2806720048;65532932.0;385541280.0;97935864.0
;KR;2006;p0p90;;;11845206.0359;;;;;;;;17702100.0573;;;;;;;;;0.5817160113;;0.5817160113;;;
;KR;2006;p99.5p100;;;270514848.532;;;;;;3369769011.38;;404271643.835;;;2.059574604;2.8188328743;2.059574604;;;;0.0738052068;0.1669725509;0.0738052068;131345016.0;1195448320.0;196288912.0
;KR;2006;p99.95p100;;;993877261.633;;;;;;;;1485302549.97;;;2.4902291298;;2.4902288914;;;;0.0271161887;;0.0271161887;399110784.0;;596452224.0
;KR;2005;p0p100;;;17442781.1884;17460488.0826;12988986.5386;;;;80021920.0;59589328.0;26266740.0;26293404.4625;19559858.5218;;;;6.25868611797e+14;2.87128567558e+15;9.42483192484e+14;;;;;;
;KR;2005;p0p50;;;;;;;;;3453289.52414;;;;;;;;;;;;0.0215771477;;;;
;KR;2005;p99p100;;;167456650.425;;;;;;2155767378.55;;252169665.519;;;1.72813797;2.740506649;1.72813797;;;;0.0960034127;0.2693971114;0.0960034127;96900048.0;786630976.0;145919872.0
;KR;2005;p99.9p100;;;567845741.962;;;;;;10379175825.2;;855107697.742;;;2.3256833553;3.1215333939;2.3256833553;;;;0.032554771;0.1297041607;0.032554771;244162960.0;3325024768.0;367680192.0
;KR;2005;p99.99p100;;;2239509199.56;;;;;;;;3372432712.26;;;2.3220694065;;2.3220696449;;;;0.0128391751;;0.0128391751;964445376.0;;1452339200.0
;KR;2005;p90p100;;;64711422.551;;;;;;522165150.045;;97447654.2943;;;1.7484238148;2.815754652;1.7484238148;;;;0.3709925757;0.6525276543;0.3709925757;37011292.0;185444128.0;55734572.0
;KR;2005;p90p95;;;41802983.7521;;;;;;;;62950288.3503;;;;;;;;;0.1198288957;;0.1198288957;37011292.0;;55734572.0
;KR;2005;p95p99;;;67660664.0811;;;;;;;;101888858.918;;;;;;;;;0.1551602672;;0.1551602672;50801848.0;;76501496.0
;KR;2005;p99.5p99.9;;;149578756.214;;;;;;;;225247697.403;;;;;;;;;0.0343015844;;0.0343015844;123935800.0;;186632480.0
;KR;2005;p99.95p99.99;;;507191122.957;;;;;;;;763769103.856;;;;;;;;;0.0116309692;;0.0116309692;299391168.0;;450847264.0
;KR;2005;p99.9p99.95;;;282036745.646;;;;;;;;424713569.947;;;;;;;;;0.0080846267;;0.0080846267;244162960.0;;367680192.0
;KR;2005;p99p99.5;;;101681147.487;;;;;;;;153119633.566;;;;;;;;;0.0291470573;;0.0291470573;96900048.0;;145919872.0
;KR;2005;p50p100;;;;;;;;;156590548.179;;;;;;16.6741161346;;;;;;0.9784228523;;;9391235.0;
;KR;2005;p95p100;;;87619861.3499;;;;;;808924089.05;;131945020.238;;;1.7247376442;2.4898588657;1.7247377634;;;;0.2511636799;0.5054390726;0.2511636799;50801848.0;324887520.0;76501496.0
;KR;2005;p0p90;;;12190709.7311;;;;;;;;18357749.2295;;;;;;;;;0.6290074243;;0.6290074243;;;
;KR;2005;p99.5p100;;;233232153.364;;;;;;3403212162.24;;351219697.471;;;1.8818787336;3.0709555149;1.8818787336;;;;0.0668563554;0.2126424991;0.0668563554;123935800.0;1108193280.0;186632480.0
;KR;2005;p99.95p100;;;853654738.278;;;;;;;;1285501825.54;;;2.8513023853;;2.8513023853;;;;0.0244701443;;0.0244701443;299391168.0;;450847264.0
;KR;2004;p0p100;;;16744255.9208;16727733.6647;12377552.7151;;;;88289664.0;65264768.0;25715198.0;25689823.7408;19008979.5766;;;;5.951439299e+14;3.13809451285e+15;9.13999646699e+14;;;;;;
;KR;2004;p0p50;;;;;;;;;3759163.49008;;;;;;;;;;;;0.0212888092;;;;
;KR;2004;p99p100;;;159462568.295;;;;;;2218127320.38;;244896610.316;;;1.7747890949;2.6623883247;1.7747890949;;;;0.0952341954;0.2512329642;0.0952341954;89848744.0;833134400.0;137986320.0
;KR;2004;p99.9p100;;;511604480.58;;;;;;10929834556.1;;785702904.804;;;2.5104234219;3.7084169388;2.5104234219;;;;0.0305540301;0.1237951811;0.0305540301;203792112.0;2947304704.0;312976256.0
;KR;2004;p99.99p100;;;2041744757.26;;;;;;;;3135634748.22;;;2.4217395782;;2.4217393398;;;;0.012193703;;0.012193703;843090176.0;;1294786176.0
;KR;2004;p90p100;;;64567484.0015;;;;;;561052893.326;;99160311.6501;;;1.7501140833;2.7811028957;1.7501139641;;;;0.3856097676;0.635468398;0.3856097676;36893300.0;201737552.0;56659344.0
;KR;2004;p90p95;;;43979452.481;;;;;;;;67541987.7614;;;;;;;;;0.1313269884;;0.1313269884;36893300.0;;56659344.0
;KR;2004;p95p99;;;66578752.3288;;;;;;;;102249141.844;;;;;;;;;0.1590485837;;0.1590485837;55333192.0;;84978632.0
;KR;2004;p99.5p99.9;;;144736885.537;;;;;;;;222281461.002;;;;;;;;;0.0345758907;;0.0345758907;116269496.0;;178562320.0
;KR;2004;p99.95p99.99;;;456032571.568;;;;;;;;700357658.635;;;;;;;;;0.0108940664;;0.0108940664;319973952.0;;491403936.0
;KR;2004;p99.9p99.95;;;250033952.453;;;;;;;;383992733.057;;;;;;;;;0.0074662607;;0.0074662607;203792112.0;;312976256.0
;KR;2004;p99p99.5;;;100814732.044;;;;;;;;154827470.87;;;;;;;;;0.0301042746;;0.0301042746;89848744.0;;137986320.0
;KR;2004;p50p100;;;;;;;;;172820158.195;;;;;;17.0001068115;;;;;;0.9787111908;;;10165828.0;
;KR;2004;p95p100;;;85155515.522;;;;;;853923506.458;;130778635.539;;;1.5389590263;2.3996055126;1.5389590263;;;;0.2542827792;0.4835920188;0.2542827792;55333192.0;355859936.0;84978632.0
;KR;2004;p0p90;;;11430563.2378;;;;;;;;17554628.7815;;;;;;;;;0.6143902324;;0.6143902324;;;
;KR;2004;p99.5p100;;;218110404.545;;;;;;3469131181.64;;334965749.763;;;1.875903964;3.0225112438;1.8759038448;;;;0.0651299208;0.1964630484;0.0651299208;116269496.0;1147764480.0;178562320.0
;KR;2004;p99.95p100;;;773175008.707;;;;;;;;1187413076.55;;;2.4163684845;;2.4163687229;;;;0.0230877693;;0.0230877693;319973952.0;;491403936.0
;KR;2003;p0p100;;;16367392.0027;16359611.7451;11992317.4918;;;;72813976.0;53350488.0;24804558.0;24792767.1264;18174192.61;;;;5.74340035301e+14;2.55507908502e+15;8.70404442871e+14;;;;;;
;KR;2003;p0p50;;;;;;;;;3374005.64429;;;;;;;;;;;;0.0231686681;;;;
;KR;2003;p99p100;;;149629564.666;;;;;;1731810393.45;;226761552.157;;;1.6670820713;2.1785085201;1.6670820713;;;;0.0914193076;0.2378403858;0.0914193076;89755368.0;794952320.0;136023024.0
;KR;2003;p99.9p100;;;460226987.386;;;;;;6729883879.49;;697467684.522;;;2.1573183537;2.484559536;2.1573183537;;;;0.028118529;0.0924257173;0.028118529;213332896.0;2708682752.0;323303072.0
;KR;2003;p99.99p100;;;1789626301.19;;;;;;;;2712154103.65;;;2.3783705235;;2.3783705235;;;;0.0109340957;;0.0109340957;752459008.0;;1140341248.0
;KR;2003;p90p100;;;62827017.4152;;;;;;475886254.508;;95213482.8313;;;1.5396528244;2.6049046516;1.5396528244;;;;0.3838547847;0.653564448;0.3838547847;40805964.0;182688544.0;61840876.0
;KR;2003;p90p95;;;45004620.8963;;;;;;;;68203885.4515;;;;;;;;;0.1374825654;;0.1374825654;40805964.0;;61840876.0
;KR;2003;p95p99;;;63404376.2509;;;;;;;;96088462.2248;;;;;;;;;0.1549529116;;0.1549529116;50050672.0;;75851112.0
;KR;2003;p99.5p99.9;;;141214089.791;;;;;;;;214008015.453;;;;;;;;;0.034511079;;0.034511079;105151560.0;;159355744.0
;KR;2003;p99.95p99.99;;;413741397.711;;;;;;;;627019411.208;;;;;;;;;0.0101113579;;0.0101113579;269317216.0;;408146528.0
;KR;2003;p99.9p99.95;;;231535596.366;;;;;;;;350889019.349;;;;;;;;;0.0070730754;;0.0070730754;213332896.0;;323303072.0
;KR;2003;p99p99.5;;;94242460.023;;;;;;;;142823155.046;;;;;;;;;0.0287896996;;0.0287896996;89755368.0;;136023024.0
;KR;2003;p50p100;;;;;;;;;142253944.585;;;;;;15.6198329926;;;;;;0.9768313319;;;9107264.0;
;KR;2003;p95p100;;;80649413.934;;;;;;723486214.704;;122223080.211;;;1.6113553047;2.2585499287;1.6113551855;;;;0.2463722193;0.4968045032;0.2463722193;50050672.0;320332160.0;75851112.0
;KR;2003;p0p90;;;11205211.4254;;;;;;;;16981344.1664;;;;;;;;;0.6161452153;;0.6161452153;;;
;KR;2003;p99.5p100;;;205016669.31;;;;;;2554321092.65;;310699949.267;;;1.9497253895;2.3206448555;1.9497253895;;;;0.062629608;0.1754004701;0.062629608;105151560.0;1100694528.0;159355744.0
;KR;2003;p99.95p100;;;688918378.406;;;;;;;;1044046349.7;;;2.558018446;;2.558018446;;;;0.0210454536;;0.0210454536;269317216.0;;408146528.0
;KR;2002;p0p100;;;16321091.4306;16320051.6699;11825498.7871;;;;79324360.0;57474720.0;24579070.0;24577504.1519;17808843.4655;;;;5.63422744842e+14;2.73836782303e+15;8.48497610834e+14;;;;;;
;KR;2002;p0p50;;;;;;;;;3623079.10016;;;;;;;;;;;;0.0228371145;;;;
;KR;2002;p99p100;;;148285672.553;;;;;;1738473880.76;;223313737.392;;;1.6455732584;2.1534771919;1.6455732584;;;;0.0908552459;0.219160145;0.0908552459;90111864.0;807286848.0;135705744.0
;KR;2002;p99.9p100;;;447613085.102;;;;;;7221766571.2;;674091766.377;;;2.0791976452;2.884645462;2.0791976452;;;;0.0274254392;0.0910409657;0.0274254392;215281632.0;2503519744.0;324207648.0
;KR;2002;p99.99p100;;;1719435371.62;;;;;;;;2589417658.7;;;2.4093673229;;2.4093673229;;;;0.0105350518;;0.0105350518;713646016.0;;1074729344.0
;KR;2002;p90p100;;;61614564.0708;;;;;;505089172.082;;92789669.7201;;;1.5205687284;2.4824743271;1.5205687284;;;;0.3775149867;0.6367390239;0.3775149867;40520736.0;203462000.0;61023004.0
;KR;2002;p90p95;;;44417340.978;;;;;;;;66891171.9389;;;;;;;;;0.1360734442;;0.1360734442;40520736.0;;61023004.0
;KR;2002;p95p99;;;61443315.8162;;;;;;;;92531775.0287;;;;;;;;;0.1505862966;;0.1505862966;48901864.0;;73644728.0
;KR;2002;p99.5p99.9;;;140019834.041;;;;;;;;210865634.625;;;;;;;;;0.034316293;;0.034316293;104553552.0;;157454480.0
;KR;2002;p99.95p99.99;;;398868688.424;;;;;;;;600684179.442;;;;;;;;;0.0097755399;;0.0097755399;263550832.0;;396899584.0
;KR;2002;p99.9p99.95;;;232244145.141;;;;;;;;349752657.461;;;;;;;;;0.0071148475;;0.0071148475;215281632.0;;324207648.0
;KR;2002;p99p99.5;;;95032860.8532;;;;;;;;143116613.809;;;;;;;;;0.0291135138;;0.0291135138;90111864.0;;135705744.0
;KR;2002;p50p100;;;;;;;;;155025646.082;;;;;;15.8982772827;;;;;;0.9771628855;;;9751097.0;
;KR;2002;p95p100;;;78811787.1636;;;;;;749535266.199;;118688167.501;;;1.6116315126;2.1065924168;1.6116315126;;;;0.2414415425;0.4724495992;0.2414415425;48901864.0;355804608.0;73644728.0
;KR;2002;p0p90;;;11288482.7482;;;;;;;;17000113.555;;;;;;;;;0.6224850133;;0.6224850133;;;
;KR;2002;p99.5p100;;;201538484.253;;;;;;2570667899.75;;303510860.975;;;1.9276101589;2.3877739906;1.9276101589;;;;0.0617417321;0.1620352068;0.0617417321;104553552.0;1076595968.0;157454480.0
;KR;2002;p99.95p100;;;662982025.063;;;;;;;;998430875.293;;;2.5155756474;;2.5155754089;;;;0.0203105917;;0.0203105917;263550832.0;;396899584.0
;KR;2001;p0p100;;;16113319.0352;16180011.9418;11532084.0433;;;;73398144.0;52530052.0;23057706.0;23153141.6721;16502087.674;;;;5.46276713303e+14;2.48835721388e+15;7.8170660076e+14;;;;;;
;KR;2001;p0p50;;;;;;;;;3968461.98588;;;;;;;;;;;;0.0270338044;;;;
;KR;2001;p99p100;;;139337478.632;;;;;;1770943325.94;;199388010.01;;;1.627141118;2.0977611542;1.6271409988;;;;0.0864734773;0.241279043;0.0864734773;85633312.0;844206336.0;122538864.0
;KR;2001;p99.9p100;;;413095481.75;;;;;;6399990937.71;;591128007.042;;;2.0067927837;2.3614878654;2.0067930222;;;;0.0256368948;0.0871955452;0.0256368948;205848592.0;2710151936.0;294563520.0
;KR;2001;p99.99p100;;;1526659689.57;;;;;;;;2184607045.1;;;2.4626882076;;2.4626882076;;;;0.0094745199;;0.0094745199;619915968.0;;887082240.0
;KR;2001;p90p100;;;59304957.1277;;;;;;475784061.768;;84863724.4012;;;1.4562646151;2.6525816917;1.4562646151;;;;0.3680492799;0.6482235846;0.3680492799;40724024.0;179366416.0;58274932.0
;KR;2001;p90p95;;;44243246.8859;;;;;;;;63310840.9851;;;;;;;;;0.1372878082;;0.1372878082;40724024.0;;58274932.0
;KR;2001;p95p99;;;58123964.5539;;;;;;;;83173757.2693;;;;;;;;;0.1442879943;;0.1442879943;47947296.0;;68611232.0
;KR;2001;p99.5p99.9;;;129844428.268;;;;;;;;185803722.138;;;;;;;;;0.0322328187;;0.0322328187;98969232.0;;141622176.0
;KR;2001;p99.95p99.99;;;368034986.989;;;;;;;;526647707.35;;;;;;;;;0.0091361679;;0.0091361679;251734832.0;;360225472.0
;KR;2001;p99.9p99.95;;;226431035.995;;;;;;;;324016439.185;;;;;;;;;0.0070262069;;0.0070262069;205848592.0;;294563520.0
;KR;2001;p99p99.5;;;92180318.3;;;;;;;;131907440.9;;;;;;;;;0.0286037638;;0.0286037638;85633312.0;;122538864.0
;KR;2001;p50p100;;;;;;;;;142827820.359;;;;;;13.4143972397;;;;;;0.9729661956;;;10647353.0;
;KR;2001;p95p100;;;74366667.3695;;;;;;732149182.822;;106416607.817;;;1.5510085821;2.4041347504;1.5510085821;;;;0.2307614717;0.4987518561;0.2307614717;47947296.0;304537504.0;68611232.0
;KR;2001;p0p90;;;11314248.8778;;;;;;;;16190371.6836;;;;;;;;;0.6319507201;;0.6319507201;;;
;KR;2001;p99.5p100;;;186494638.964;;;;;;2565986616.79;;266868579.119;;;1.8843698502;2.1794543266;1.8843699694;;;;0.0578697135;0.1747991554;0.0578697135;98969232.0;1177352832.0;141622176.0
;KR;2001;p99.95p100;;;599759927.506;;;;;;;;858239574.899;;;2.382506609;;2.382506609;;;;0.0186106879;;0.0186106879;251734832.0;;360225472.0
;KR;2000;p0p100;;;16086985.4789;16185944.0294;11380246.2081;;;;89685680.0;63445388.0;22556998.0;22695756.6152;15957258.8223;;;;5.34963870998e+14;2.9824478788e+15;7.50120585613e+14;;;;;;
;KR;2000;p0p50;;;;;;;;;4707739.35764;;;;;;;;;;;;0.0262457702;;;;
;KR;2000;p99p100;;;133434437.544;;;;;;1982712637.19;;187100333.046;;;1.6246367693;2.104906559;1.6246368885;;;;0.0829455795;0.2210734971;0.0829455795;82131856.0;941948032.0;115164400.0
;KR;2000;p99.9p100;;;377535835.827;;;;;;8170413327.57;;529376688.06;;;1.9722592831;2.9623363018;1.9722592831;;;;0.0234684009;0.0911005364;0.0234684009;191423024.0;2758097920.0;268411312.0
;KR;2000;p99.99p100;;;1342962162.36;;;;;;;;1883087098.59;;;2.4383871555;;2.4383871555;;;;0.0083481279;;0.0083481279;550758400.0;;772267456.0
;KR;2000;p90p100;;;57854274.355;;;;;;573949732.121;;81122641.1953;;;1.4019985199;2.6552362442;1.4019984007;;;;0.3596340198;0.6399569563;0.3596340198;41265576.0;216157696.0;57862148.0
;KR;2000;p90p95;;;44581932.6483;;;;;;;;62512306.4172;;;;;;;;;0.1385652126;;0.1385652126;41265576.0;;57862148.0
;KR;2000;p95p99;;;55549660.6913;;;;;;;;77891136.7054;;;;;;;;;0.1381232277;;0.1381232277;47620032.0;;66772300.0
;KR;2000;p99.5p99.9;;;125178258.873;;;;;;;;175523608.121;;;;;;;;;0.0311253479;;0.0311253479;98910008.0;;138690544.0
;KR;2000;p99.95p99.99;;;333875202.404;;;;;;;;468156217.506;;;;;;;;;0.0083017466;;0.0083017466;243816848.0;;341877376.0
;KR;2000;p99.9p99.95;;;219379077.26;;;;;;;;307610982.398;;;;;;;;;0.0068185264;;0.0068185264;191423024.0;;268411312.0
;KR;2000;p99p99.5;;;91219100.8233;;;;;;;;127906441.983;;;;;;;;;0.0283518308;;0.0283518308;82131856.0;;115164400.0
;KR;2000;p50p100;;;;;;;;;174663615.682;;;;;;13.8237218857;;;;;;0.9737542298;;;12635064.0;
;KR;2000;p95p100;;;71126616.0617;;;;;;862255744.506;;99732975.9735;;;1.4936280251;2.1688115597;1.4936280251;;;;0.2210688072;0.4807098348;0.2210688072;47620032.0;397570624.0;66772300.0
;KR;2000;p0p90;;;11446176.1631;;;;;;;;16049705.0959;;;;;;;;;0.6403659802;;0.6403659802;;;
;KR;2000;p99.5p100;;;175649774.264;;;;;;2897651802.16;;246294224.109;;;1.7758544683;2.3228933811;1.7758544683;;;;0.0545937488;0.1615448465;0.0545937488;98910008.0;1247432064.0;138690544.0
;KR;2000;p99.95p100;;;535692594.395;;;;;;;;751142393.723;;;2.1971106529;;2.1971106529;;;;0.0166498745;;0.0166498745;243816848.0;;341877376.0
;KR;1999;p0p100;;;15080618.0826;15516573.2077;10560622.9722;;;;;;20948210.0;21553787.2689;14669567.6889;;;;4.92301164952e+14;;6.83846519432e+14;;;;;;
;KR;1999;p99p100;;;118057680.697;;;;;;;;163991759.078;;;1.6960452795;;1.6960451603;;;;0.0782843784;;0.0782843784;69607624.0;;96690680.0
;KR;1999;p99.9p100;;;323367012.277;;;;;;;;449183186.203;;;2.051160574;;2.051160574;;;;0.0214425571;;0.0214425571;157650752.0;;218989776.0
;KR;1999;p99.99p100;;;1108644148.42;;;;;;;;1539997254.03;;;2.2206838131;;2.2206835747;;;;0.0073514504;;0.0073514504;499235488.0;;693478912.0
;KR;1999;p90p100;;;53008044.6143;;;;;;;;73632502.6062;;;1.3518588543;;1.3518588543;;;;0.3514978271;;0.3514978271;39211228.0;;54467596.0
;KR;1999;p90p95;;;42440190.6612;;;;;;;;58952890.4944;;;;;;;;;0.1407110459;;0.1407110459;39211228.0;;54467596.0
;KR;1999;p95p99;;;49955453.035;;;;;;;;69392203.6279;;;;;;;;;0.1325024028;;0.1325024028;45379492.0;;63035816.0
;KR;1999;p99.5p99.9;;;112955247.011;;;;;;;;156904062.024;;;;;;;;;0.0299603761;;0.0299603761;93880056.0;;130407064.0
;KR;1999;p99.95p99.99;;;291435436.121;;;;;;;;404827619.39;;;;;;;;;0.0077300661;;0.0077300661;229987424.0;;319471296.0
;KR;1999;p99.9p99.95;;;191856845.973;;;;;;;;266504826.087;;;;;;;;;0.0063610406;;0.0063610406;157650752.0;;218989776.0
;KR;1999;p99p99.5;;;81077761.3291;;;;;;;;112623631.296;;;;;;;;;0.0268814452;;0.0268814452;69607624.0;;96690680.0
;KR;1999;p95p100;;;63575898.5673;;;;;;;;88312114.7179;;;1.4009830952;;1.4009830952;;;;0.2107867812;;0.2107867812;45379492.0;;63035816.0
;KR;1999;p0p90;;;10866459.4986;;;;;;;;15094399.5987;;;;;;;;;0.6485021729;;0.6485021729;;;
;KR;1999;p99.5p100;;;155037600.064;;;;;;;;215359886.86;;;1.6514433622;;1.6514433622;;;;0.0514029332;;0.0514029332;93880056.0;;130407064.0
;KR;1999;p99.95p100;;;454877178.58;;;;;;;;631861546.319;;;1.9778350592;;1.9778350592;;;;0.0150815165;;0.0150815165;229987424.0;;319471296.0
;KR;1998;p0p100;;;14526570.63;15125254.1177;10085058.4566;;;;;;18895036.0;19673757.0306;13117861.5691;;;;4.66802083352e+14;;6.07179932171e+14;;;;;;
;KR;1998;p99p100;;;102853414.352;;;;;;;;133783741.284;;;1.6126371622;;1.6126372814;;;;0.0708036439;;0.0708036439;63779636.0;;82959600.0
;KR;1998;p99.9p100;;;264698146.793;;;;;;;;344298812.167;;;1.7967509031;;1.7967509031;;;;0.018221654;;0.018221654;147320448.0;;191623008.0
;KR;1998;p99.99p100;;;837594593.285;;;;;;;;1089478060.35;;;1.8493676186;;1.8493676186;;;;0.0057659485;;0.0057659485;452908640.0;;589108416.0
;KR;1998;p90p100;;;49124362.8129;;;;;;;;63897159.7265;;;1.3274793625;;1.3274793625;;;;0.3381690258;;0.3381690258;37005744.0;;48134204.0
;KR;1998;p90p95;;;39827190.8033;;;;;;;;51804119.7178;;;;;;;;;0.137083939;;0.137083939;37005744.0;;48134204.0
;KR;1998;p95p99;;;47313564.9399;;;;;;;;61541814.348;;;;;;;;;0.1302814428;;0.1302814428;42550072.0;;55345832.0
;KR;1998;p99.5p99.9;;;99588040.1903;;;;;;;;129536395.925;;;;;;;;;0.0274223124;;0.0274223124;84781936.0;;110277760.0
;KR;1998;p99.95p99.99;;;249312842.403;;;;;;;;324286801.919;;;;;;;;;0.0068650157;;0.0068650157;198667504.0;;258411280.0
;KR;1998;p99.9p99.95;;;162427101.006;;;;;;;;211272570.729;;;;;;;;;0.0055906898;;0.0055906898;147320448.0;;191623008.0
;KR;1998;p99p99.5;;;73096767.194;;;;;;;;95078603.3944;;;;;;;;;0.0251596775;;0.0251596775;63779636.0;;82959600.0
;KR;1998;p95p100;;;58421534.8224;;;;;;;;75990199.7352;;;1.3730067015;;1.3730067015;;;;0.2010850868;;0.2010850868;42550072.0;;55345832.0
;KR;1998;p0p90;;;10682371.6407;;;;;;;;13894800.2152;;;;;;;;;0.6618309742;;0.6618309742;;;
;KR;1998;p99.5p100;;;132610061.511;;;;;;;;172488879.173;;;1.5641311407;;1.5641311407;;;;0.0456439664;;0.0456439664;84781936.0;;110277760.0
;KR;1998;p99.95p100;;;366969192.58;;;;;;;;477325053.605;;;1.8471525908;;1.8471525908;;;;0.0126309643;;0.0126309643;198667504.0;;258411280.0
;KR;1997;p0p100;;;15090826.3663;15577656.5817;10406346.3893;;;;;;21103538.0;21784338.3552;14552597.7927;;;;4.78208864465e+14;;6.68743957304e+14;;;;;;
;KR;1997;p99p100;;;121119339.972;;;;;;;;169377509.991;;;1.612118125;;1.6121182442;;;;0.0802602412;;0.0802602412;75130560.0;;105065192.0
;KR;1997;p99.9p100;;;333385908.514;;;;;;;;466218483.88;;;1.9971915483;;1.9971915483;;;;0.0220919578;;0.0220919578;166927360.0;;233437040.0
;KR;1997;p99.99p100;;;1135272191.97;;;;;;;;1587604234.66;;;2.0567109585;;2.0567109585;;;;0.007522929;;0.007522929;551984320.0;;771914112.0
;KR;1997;p90p100;;;53848227.6888;;;;;;;;75303239.9738;;;1.3770852089;;1.3770850897;;;;0.3568275508;;0.3568275508;39103048.0;;54683068.0
