Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;2003;p99.91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;10614119.1188;2.3751672613;;;;;;;;;;;;;;;;;0.0295562076;4468788.06891
;CZ;2003;p99.91p99.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;4616842.44423;;;;;;;;;;;;;;;;;;0.0014284574;4468788.06891
;CZ;2003;p99.92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;11363778.7032;2.3801241621;;;;;;;;;;;;;;;;;0.0281277502;4774447.85608
;CZ;2003;p99.92p99.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;4954497.71988;;;;;;;;;;;;;;;;;;0.0015329284;4774447.85608
;CZ;2003;p99.93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;12279390.2722;2.38537983;;;;;;;;;;;;;;;;;0.0265948218;5147771.48613
;CZ;2003;p99.93p99.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;5372844.75385;;;;;;;;;;;;;;;;;;0.0016623656;5147771.48613
;CZ;2003;p99.94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;13430481.1919;2.3909959539;;;;;;;;;;;;;;;;;0.0249324562;5617107.4526
;CZ;2003;p99.94p99.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;5908956.49526;;;;;;;;;;;;;;;;;;0.0018282393;5617107.4526
;CZ;2003;p99.95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;14934786.1313;2.3970599945;;;;;;;;;;;;;;;;;0.023104217;6230459.88243
;CZ;2003;p99.95p99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;6628748.58412;;;;;;;;;;;;;;;;;;0.0020509439;6230459.88243
;CZ;2003;p99.96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;17011295.5181;2.4037037922;;;;;;;;;;;;;;;;;0.021053273;7077118.05967
;CZ;2003;p99.96p99.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;7663917.2697;;;;;;;;;;;;;;;;;;0.0023712266;7077118.05967
;CZ;2003;p99.97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;20127088.2675;2.4111444864;;;;;;;;;;;;;;;;;0.0186820465;8347524.74634
;CZ;2003;p99.97p99.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;9330105.75539;;;;;;;;;;;;;;;;;;0.0028867476;8347524.74634
;CZ;2003;p99.98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;25525579.5236;2.4197936969;;;;;;;;;;;;;;;;;0.0157952989;10548659.3985
;CZ;2003;p99.98p99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;12689312.8062;;;;;;;;;;;;;;;;;;0.0039260909;10548659.3985
;CZ;2003;p99.991p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;40816621.9884;2.4319785855;;;;;;;;;;;;;;;;;0.0113658471;16783298.2706
;CZ;2003;p99.991p99.992;;;;;;;;;;;;;;;;;;;;;;;;;;;;17362313.25;;;;;;;;;;;;;;;;;;0.0005371924;16783298.2706
;CZ;2003;p99.992p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;43748410.5806;2.4333493302;;;;;;;;;;;;;;;;;0.0108286548;17978680.676
;CZ;2003;p99.992p99.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;18682824.4603;;;;;;;;;;;;;;;;;;0.0005780492;17978680.676
;CZ;2003;p99.993p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;47329208.5978;2.4347948172;;;;;;;;;;;;;;;;;0.0102506056;19438684.6334
;CZ;2003;p99.993p99.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;20318907.1407;;;;;;;;;;;;;;;;;;0.0006286698;19438684.6334
;CZ;2003;p99.994p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;51830925.5074;2.4363305568;;;;;;;;;;;;;;;;;0.0096219358;21274176.1835
;CZ;2003;p99.994p99.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;22415547.1626;;;;;;;;;;;;;;;;;;0.0006935401;21274176.1835
;CZ;2003;p99.995p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;57714001.1763;2.4379785653;;;;;;;;;;;;;;;;;0.0089283957;23672891.1395
;CZ;2003;p99.995p99.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;25230529.1613;;;;;;;;;;;;;;;;;;0.000780636;23672891.1395
;CZ;2003;p99.996p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;65834869.1801;2.4397720739;;;;;;;;;;;;;;;;;0.0081477597;26984024.4025
;CZ;2003;p99.996p99.997;;;;;;;;;;;;;;;;;;;;;;;;;;;;29278894.3224;;;;;;;;;;;;;;;;;;0.000905893;26984024.4025
;CZ;2003;p99.997p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;78020194.1326;2.4417658962;;;;;;;;;;;;;;;;;0.0072418666;31952364.579
;CZ;2003;p99.997p99.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;35795068.4589;;;;;;;;;;;;;;;;;;0.0011075043;31952364.579
;CZ;2003;p99.998p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;99132756.9695;2.4440641205;;;;;;;;;;;;;;;;;0.0061343623;40560620.377
;CZ;2003;p99.998p99.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;48932344.5206;;;;;;;;;;;;;;;;;;0.0015139735;40560620.377
;CZ;2003;p99.99p99.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;16268864.5141;;;;;;;;;;;;;;;;;;0.0005033609;15782409.0028
;CZ;2003;p99.9p99.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;4337247.13959;;;;;;;;;;;;;;;;;;0.0013419502;4212860.25936
;CZ;2003;p99p99.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1286327.52526;;;;;;;;;;;;;;;;;;0.0039799151;1254521.74732
;CZ;2002;p0p100;;25932.4396168;20104.4279868;110344.429027;85545.8128851;52612.5534244;40788.4991598;398649.158331;309057.435941;868867.834239;673599.979856;118090.189149;91550.8042735;336179.903762;260627.413605;187202.35871;145130.824376;474956.054875;368215.252526;76306.8965438;59157.8165854;585300.483902;453761.065412;84411.98941;65441.3848983;30887.3559023;23945.7849557;312218.250372;;;2.05080726293e+11;8.72633503888e+11;4.16074261729e+11;3.15262505705e+12;6.87124116092e+12;9.33889063912e+11;2.65860134439e+12;1.48044673989e+12;3.75608057438e+12;6.03455517321e+11;4.62871407826e+12;6.67552777595e+11;2.44265540586e+11;;;1.0;0.0
;CZ;2002;p0p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;191145.822238;;;;;;;;;;;;;;;;;;0.3061093034;0.0
;CZ;2002;p50p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;334508.046284;;;;;;;;;;;;;;;;;;0.4285566854;249749.657024
;CZ;2002;p90p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;636283.092997;;;;;;;;;;;;;;;;;;0.1834148974;473970.130992
;CZ;2002;p99p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2557664.23697;2.1527253648;;;;;;;;;;;;;;;;;0.0819191138;1188105.21714
;CZ;2002;p99.9p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;9239264.4529;2.3405696053;;;;;;;;;;;;;;;;;0.0295923267;3947442.72159
;CZ;2002;p99.99p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;35056214.8075;2.3995965699;;;;;;;;;;;;;;;;;0.011228112;14609211.9179
;CZ;2002;p99.999p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;134810001.935;2.4157296375;;;;;;;;;;;;;;;;;0.004317813;55805086.7282
;CZ;2002;p0p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;135651.476236;;;;;;;;;;;;;;;;;;0.0434476447;0.0
;CZ;2002;p10p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;175206.414648;;;;;;;;;;;;;;;;;;0.0561166474;162973.069475
;CZ;2002;p20p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;194156.70381;;;;;;;;;;;;;;;;;;0.0621862122;185948.549849
;CZ;2002;p30p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;213433.069094;;;;;;;;;;;;;;;;;;0.0683602156;202840.278998
;CZ;2002;p40p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;237281.4474;;;;;;;;;;;;;;;;;;0.0759985834;224416.567856
;CZ;2002;p50p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;265953.735334;;;;;;;;;;;;;;;;;;0.0851819953;249749.657024
;CZ;2002;p60p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;302737.586984;;;;;;;;;;;;;;;;;;0.09696345;283090.100012
;CZ;2002;p70p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;349458.132199;;;;;;;;;;;;;;;;;;0.111927516;323591.891765
;CZ;2002;p80p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;419882.730619;;;;;;;;;;;;;;;;;;0.1344837242;377898.693185
;CZ;2002;p90p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;828421.207394;1.7478342056;;;;;;;;;;;;;;;;;0.2653340112;473970.130992
;CZ;2002;p0p1;;;;;;;;;;;;;;;;;;;;;;;;;;;;40457.9946494;;;;;;;;;;;;;;;;;;0.0012958241;0.0
;CZ;2002;p1p2;;;;;;;;;;;;;;;;;;;;;;;;;;;;117310.423935;;;;;;;;;;;;;;;;;;0.0037573212;80915.9892988
;CZ;2002;p2p3;;;;;;;;;;;;;;;;;;;;;;;;;;;;138354.738533;;;;;;;;;;;;;;;;;;0.0044313469;136713.51647
;CZ;2002;p3p4;;;;;;;;;;;;;;;;;;;;;;;;;;;;141637.182658;;;;;;;;;;;;;;;;;;0.0045364799;139995.960596
;CZ;2002;p4p5;;;;;;;;;;;;;;;;;;;;;;;;;;;;144919.626784;;;;;;;;;;;;;;;;;;0.0046416129;143278.404721
;CZ;2002;p5p6;;;;;;;;;;;;;;;;;;;;;;;;;;;;148202.07091;;;;;;;;;;;;;;;;;;0.0047467459;146560.848847
;CZ;2002;p6p7;;;;;;;;;;;;;;;;;;;;;;;;;;;;151484.515035;;;;;;;;;;;;;;;;;;0.0048518789;149843.292972
;CZ;2002;p7p8;;;;;;;;;;;;;;;;;;;;;;;;;;;;154766.959161;;;;;;;;;;;;;;;;;;0.0049570119;153125.737098
;CZ;2002;p8p9;;;;;;;;;;;;;;;;;;;;;;;;;;;;158049.403286;;;;;;;;;;;;;;;;;;0.0050621449;156408.181224
;CZ;2002;p9p10;;;;;;;;;;;;;;;;;;;;;;;;;;;;161331.847412;;;;;;;;;;;;;;;;;;0.0051672779;159690.625349
;CZ;2002;p10p11;;;;;;;;;;;;;;;;;;;;;;;;;;;;163248.400396;;;;;;;;;;;;;;;;;;0.005228663;162973.069475
;CZ;2002;p11p12;;;;;;;;;;;;;;;;;;;;;;;;;;;;164746.723606;;;;;;;;;;;;;;;;;;0.0052766526;163779.659467
;CZ;2002;p12p13;;;;;;;;;;;;;;;;;;;;;;;;;;;;167332.1194;;;;;;;;;;;;;;;;;;0.0053594599;165894.501085
;CZ;2002;p13p14;;;;;;;;;;;;;;;;;;;;;;;;;;;;170581.935604;;;;;;;;;;;;;;;;;;0.0054635479;168879.899682
;CZ;2002;p14p15;;;;;;;;;;;;;;;;;;;;;;;;;;;;174108.167326;;;;;;;;;;;;;;;;;;0.0055764891;172329.337845
;CZ;2002;p15p16;;;;;;;;;;;;;;;;;;;;;;;;;;;;177565.130456;;;;;;;;;;;;;;;;;;0.0056872118;175874.604029
;CZ;2002;p16p17;;;;;;;;;;;;;;;;;;;;;;;;;;;;180658.158687;;;;;;;;;;;;;;;;;;0.005786278;179193.991952
;CZ;2002;p17p18;;;;;;;;;;;;;;;;;;;;;;;;;;;;183153.272899;;;;;;;;;;;;;;;;;;0.0058661937;182021.486459
;CZ;2002;p18p19;;;;;;;;;;;;;;;;;;;;;;;;;;;;184887.847912;;;;;;;;;;;;;;;;;;0.0059217502;184156.920383
;CZ;2002;p19p20;;;;;;;;;;;;;;;;;;;;;;;;;;;;185782.390195;;;;;;;;;;;;;;;;;;0.0059504014;185477.169992
;CZ;2002;p20p21;;;;;;;;;;;;;;;;;;;;;;;;;;;;186164.791422;;;;;;;;;;;;;;;;;;0.0059626492;185948.549849
;CZ;2002;p21p22;;;;;;;;;;;;;;;;;;;;;;;;;;;;187219.61551;;;;;;;;;;;;;;;;;;0.0059964341;186551.155096
;CZ;2002;p22p23;;;;;;;;;;;;;;;;;;;;;;;;;;;;188957.142248;;;;;;;;;;;;;;;;;;0.0060520851;188001.215872
;CZ;2002;p23p24;;;;;;;;;;;;;;;;;;;;;;;;;;;;191074.989513;;;;;;;;;;;;;;;;;;0.0061199174;189975.67392
;CZ;2002;p24p25;;;;;;;;;;;;;;;;;;;;;;;;;;;;193317.844184;;;;;;;;;;;;;;;;;;0.0061917535;192194.199387
;CZ;2002;p25p26;;;;;;;;;;;;;;;;;;;;;;;;;;;;195486.997235;;;;;;;;;;;;;;;;;;0.006261229;194428.084425
;CZ;2002;p26p27;;;;;;;;;;;;;;;;;;;;;;;;;;;;197451.199466;;;;;;;;;;;;;;;;;;0.0063241402;196510.426278
;CZ;2002;p27p28;;;;;;;;;;;;;;;;;;;;;;;;;;;;199158.948814;;;;;;;;;;;;;;;;;;0.0063788375;198347.674079
;CZ;2002;p28p29;;;;;;;;;;;;;;;;;;;;;;;;;;;;200652.394955;;;;;;;;;;;;;;;;;;0.0064266709;199932.687722
;CZ;2002;p29p30;;;;;;;;;;;;;;;;;;;;;;;;;;;;202083.114756;;;;;;;;;;;;;;;;;;0.0064724953;201359.530846
;CZ;2002;p30p31;;;;;;;;;;;;;;;;;;;;;;;;;;;;203705.948205;;;;;;;;;;;;;;;;;;0.0065244728;202840.278998
;CZ;2002;p31p32;;;;;;;;;;;;;;;;;;;;;;;;;;;;205637.078129;;;;;;;;;;;;;;;;;;0.0065863247;204626.421347
;CZ;2002;p32p33;;;;;;;;;;;;;;;;;;;;;;;;;;;;207784.37087;;;;;;;;;;;;;;;;;;0.0066551001;206683.528818
;CZ;2002;p33p34;;;;;;;;;;;;;;;;;;;;;;;;;;;;210048.132282;;;;;;;;;;;;;;;;;;0.0067276058;208904.332722
;CZ;2002;p34p35;;;;;;;;;;;;;;;;;;;;;;;;;;;;212346.247181;;;;;;;;;;;;;;;;;;0.0068012119;211197.297997
;CZ;2002;p35p36;;;;;;;;;;;;;;;;;;;;;;;;;;;;214618.256224;;;;;;;;;;;;;;;;;;0.0068739818;213490.407643
;CZ;2002;p36p37;;;;;;;;;;;;;;;;;;;;;;;;;;;;216830.068074;;;;;;;;;;;;;;;;;;0.0069448236;215735.543821
;CZ;2002;p37p38;;;;;;;;;;;;;;;;;;;;;;;;;;;;218979.397893;;;;;;;;;;;;;;;;;;0.0070136642;217913.546228
;CZ;2002;p38p39;;;;;;;;;;;;;;;;;;;;;;;;;;;;221102.045243;;;;;;;;;;;;;;;;;;0.0070816503;220040.049544
;CZ;2002;p39p40;;;;;;;;;;;;;;;;;;;;;;;;;;;;223279.146837;;;;;;;;;;;;;;;;;;0.0071513804;222172.224409
;CZ;2002;p40p41;;;;;;;;;;;;;;;;;;;;;;;;;;;;225632.228701;;;;;;;;;;;;;;;;;;0.0072267469;224416.567856
;CZ;2002;p41p42;;;;;;;;;;;;;;;;;;;;;;;;;;;;228191.024369;;;;;;;;;;;;;;;;;;0.0073087023;226884.062338
;CZ;2002;p42p43;;;;;;;;;;;;;;;;;;;;;;;;;;;;230867.237531;;;;;;;;;;;;;;;;;;0.0073944184;229517.331642
;CZ;2002;p43p44;;;;;;;;;;;;;;;;;;;;;;;;;;;;233573.791843;;;;;;;;;;;;;;;;;;0.0074811063;232221.909075
;CZ;2002;p44p45;;;;;;;;;;;;;;;;;;;;;;;;;;;;236241.188486;;;;;;;;;;;;;;;;;;0.00756654;234918.777965
;CZ;2002;p45p46;;;;;;;;;;;;;;;;;;;;;;;;;;;;238822.273768;;;;;;;;;;;;;;;;;;0.0076492093;237548.749872
;CZ;2002;p46p47;;;;;;;;;;;;;;;;;;;;;;;;;;;;241297.874015;;;;;;;;;;;;;;;;;;0.0077285;240077.642375
;CZ;2002;p47p48;;;;;;;;;;;;;;;;;;;;;;;;;;;;243683.456078;;;;;;;;;;;;;;;;;;0.0078049075;242502.397365
;CZ;2002;p48p49;;;;;;;;;;;;;;;;;;;;;;;;;;;;246037.009792;;;;;;;;;;;;;;;;;;0.0078802892;244858.316444
;CZ;2002;p49p50;;;;;;;;;;;;;;;;;;;;;;;;;;;;248468.389419;;;;;;;;;;;;;;;;;;0.0079581635;247227.629964
;CZ;2002;p50p51;;;;;;;;;;;;;;;;;;;;;;;;;;;;251135.88725;;;;;;;;;;;;;;;;;;0.0080436005;249749.657024
;CZ;2002;p51p52;;;;;;;;;;;;;;;;;;;;;;;;;;;;254102.601132;;;;;;;;;;;;;;;;;;0.008138621;252574.126464
;CZ;2002;p52p53;;;;;;;;;;;;;;;;;;;;;;;;;;;;257300.064568;;;;;;;;;;;;;;;;;;0.0082410322;255669.443415
;CZ;2002;p53p54;;;;;;;;;;;;;;;;;;;;;;;;;;;;260652.176715;;;;;;;;;;;;;;;;;;0.0083483966;258956.32255
;CZ;2002;p54p55;;;;;;;;;;;;;;;;;;;;;;;;;;;;264091.213421;;;;;;;;;;;;;;;;;;0.008458545;262362.321436
;CZ;2002;p55p56;;;;;;;;;;;;;;;;;;;;;;;;;;;;267561.382453;;;;;;;;;;;;;;;;;;0.0085696907;265825.024362
;CZ;2002;p56p57;;;;;;;;;;;;;;;;;;;;;;;;;;;;271023.223033;;;;;;;;;;;;;;;;;;0.0086805695;269295.992806
;CZ;2002;p57p58;;;;;;;;;;;;;;;;;;;;;;;;;;;;274459.032673;;;;;;;;;;;;;;;;;;0.0087906147;272745.644355
;CZ;2002;p58p59;;;;;;;;;;;;;;;;;;;;;;;;;;;;277879.554174;;;;;;;;;;;;;;;;;;0.0089001701;276169.266057
;CZ;2002;p59p60;;;;;;;;;;;;;;;;;;;;;;;;;;;;281332.217926;;;;;;;;;;;;;;;;;;0.0090107551;279594.424042
;CZ;2002;p60p61;;;;;;;;;;;;;;;;;;;;;;;;;;;;284902.842692;;;;;;;;;;;;;;;;;;0.0091251182;283090.100012
;CZ;2002;p61p62;;;;;;;;;;;;;;;;;;;;;;;;;;;;288633.789212;;;;;;;;;;;;;;;;;;0.0092446162;286743.512445
;CZ;2002;p62p63;;;;;;;;;;;;;;;;;;;;;;;;;;;;292495.512123;;;;;;;;;;;;;;;;;;0.0093683028;290545.814343
;CZ;2002;p63p64;;;;;;;;;;;;;;;;;;;;;;;;;;;;296454.019627;;;;;;;;;;;;;;;;;;0.0094950894;294461.259988
;CZ;2002;p64p65;;;;;;;;;;;;;;;;;;;;;;;;;;;;300480.248658;;;;;;;;;;;;;;;;;;0.009624045;298457.942254
;CZ;2002;p65p66;;;;;;;;;;;;;;;;;;;;;;;;;;;;304552.685265;;;;;;;;;;;;;;;;;;0.0097544806;302510.075915
;CZ;2002;p66p67;;;;;;;;;;;;;;;;;;;;;;;;;;;;308660.786567;;;;;;;;;;;;;;;;;;0.0098860584;306600.984722
;CZ;2002;p67p68;;;;;;;;;;;;;;;;;;;;;;;;;;;;312809.440979;;;;;;;;;;;;;;;;;;0.0100189352;310726.997359
;CZ;2002;p68p69;;;;;;;;;;;;;;;;;;;;;;;;;;;;317024.780716;;;;;;;;;;;;;;;;;;0.0101539478;314902.523849
;CZ;2002;p69p70;;;;;;;;;;;;;;;;;;;;;;;;;;;;321361.764003;;;;;;;;;;;;;;;;;;0.0102928565;319166.673154
;CZ;2002;p70p71;;;;;;;;;;;;;;;;;;;;;;;;;;;;325906.0332;;;;;;;;;;;;;;;;;;0.0104384043;323591.891765
;CZ;2002;p71p72;;;;;;;;;;;;;;;;;;;;;;;;;;;;330697.229722;;;;;;;;;;;;;;;;;;0.010591861;328262.518054
;CZ;2002;p72p73;;;;;;;;;;;;;;;;;;;;;;;;;;;;335703.77887;;;;;;;;;;;;;;;;;;0.0107522151;333167.819917
;CZ;2002;p73p74;;;;;;;;;;;;;;;;;;;;;;;;;;;;340888.002777;;;;;;;;;;;;;;;;;;0.01091826;338269.293475
;CZ;2002;p74p75;;;;;;;;;;;;;;;;;;;;;;;;;;;;346215.810535;;;;;;;;;;;;;;;;;;0.0110889037;343530.521796
;CZ;2002;p75p76;;;;;;;;;;;;;;;;;;;;;;;;;;;;351660.621686;;;;;;;;;;;;;;;;;;0.0112632949;348920.384963
;CZ;2002;p76p77;;;;;;;;;;;;;;;;;;;;;;;;;;;;357209.115169;;;;;;;;;;;;;;;;;;0.0114410069;354417.787035
;CZ;2002;p77p78;;;;;;;;;;;;;;;;;;;;;;;;;;;;362869.608067;;;;;;;;;;;;;;;;;;0.0116223061;360018.55889
;CZ;2002;p78p79;;;;;;;;;;;;;;;;;;;;;;;;;;;;368684.256586;;;;;;;;;;;;;;;;;;0.0118085428;365745.50828
;CZ;2002;p79p80;;;;;;;;;;;;;;;;;;;;;;;;;;;;374746.865378;;;;;;;;;;;;;;;;;;0.0120027213;371663.064239
;CZ;2002;p80p81;;;;;;;;;;;;;;;;;;;;;;;;;;;;381216.631694;;;;;;;;;;;;;;;;;;0.0122099407;377898.693185
;CZ;2002;p81p82;;;;;;;;;;;;;;;;;;;;;;;;;;;;388210.515124;;;;;;;;;;;;;;;;;;0.0124339469;384623.590176
;CZ;2002;p82p83;;;;;;;;;;;;;;;;;;;;;;;;;;;;395750.588198;;;;;;;;;;;;;;;;;;0.012675447;391888.43296
;CZ;2002;p83p84;;;;;;;;;;;;;;;;;;;;;;;;;;;;403851.364371;;;;;;;;;;;;;;;;;;0.0129349058;399706.10605
;CZ;2002;p84p85;;;;;;;;;;;;;;;;;;;;;;;;;;;;412532.974956;;;;;;;;;;;;;;;;;;0.013212968;408093.250932
;CZ;2002;p85p86;;;;;;;;;;;;;;;;;;;;;;;;;;;;421826.810527;;;;;;;;;;;;;;;;;;0.0135106391;417074.39769
;CZ;2002;p86p87;;;;;;;;;;;;;;;;;;;;;;;;;;;;431785.687639;;;;;;;;;;;;;;;;;;0.0138296108;426689.434206
;CZ;2002;p87p88;;;;;;;;;;;;;;;;;;;;;;;;;;;;442502.213557;;;;;;;;;;;;;;;;;;0.0141728491;437007.057153
;CZ;2002;p88p89;;;;;;;;;;;;;;;;;;;;;;;;;;;;454142.363271;;;;;;;;;;;;;;;;;;0.01454567;448149.165796
;CZ;2002;p89p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;467008.156853;;;;;;;;;;;;;;;;;;0.0149577469;460335.817991
;CZ;2002;p90p91;;;;;;;;;;;;;;;;;;;;;;;;;;;;481703.279289;;;;;;;;;;;;;;;;;;0.0154284152;473970.130992
;CZ;2002;p91p92;;;;;;;;;;;;;;;;;;;;;;;;;;;;499078.964265;;;;;;;;;;;;;;;;;;0.0159849389;489879.689441
;CZ;2002;p92p93;;;;;;;;;;;;;;;;;;;;;;;;;;;;520049.750579;;;;;;;;;;;;;;;;;;0.0166566096;508869.670876
;CZ;2002;p93p94;;;;;;;;;;;;;;;;;;;;;;;;;;;;546013.648555;;;;;;;;;;;;;;;;;;0.0174882041;532048.158156
;CZ;2002;p94p95;;;;;;;;;;;;;;;;;;;;;;;;;;;;579259.040733;;;;;;;;;;;;;;;;;;0.0185530167;561165.732034
;CZ;2002;p95p96;;;;;;;;;;;;;;;;;;;;;;;;;;;;623851.144222;;;;;;;;;;;;;;;;;;0.0199812517;599184.428659
;CZ;2002;p96p97;;;;;;;;;;;;;;;;;;;;;;;;;;;;687903.491462;;;;;;;;;;;;;;;;;;0.0220327765;651608.611514
;CZ;2002;p97p98;;;;;;;;;;;;;;;;;;;;;;;;;;;;790835.590044;;;;;;;;;;;;;;;;;;0.025329576;730164.898558
