Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;1994;p0p100;260278.209495;0.0;0.0;0.0;0.0;101962.390625;73262.2734375;519627.71875;;373364.25;;;27761.59375;19947.3320312;27761.59375;19947.3320312;373303.5625;268227.03125;101962.390625;73262.2734375;17928.2363281;12881.8427734;0.0;0.0;339875.071727;;;-494.780639648;0.0;0.0;1.08688910628e+13;5.5390788456e+13;;2.95930438089e+12;2.95930438089e+12;3.97930642888e+13;1.08688910628e+13;1.91109730845e+12;0.0;1.0;;1.0;0.0;;-686.920715332
;RU;1994;p0p50;80360.5850802;;;;;;;;;;;;;;;;;;;;;;;;105669.022662;;;;;;;;;;;;;;;0.1543744004;;0.1529147747;0.0;;-698.321716309
;RU;1994;p50p90;288736.48896;;;;;;;;;;;;;;;;;;;;;;;;381188.490435;;;;;;;;;;;;;;;0.4437351702;;0.4412975586;163665.671875;;215196.15625
;RU;1994;p90p99;830557.545839;;;;;;;;;;;;;;;;;;;;;;;;1103667.81566;;;;;;;;;;;;;;;0.2871933877;;0.2874833047;536427.25;;710590.5
;RU;1994;p99p100;2985313.91603;;;;;;;;;;;;;;;;;;;;;;;;4087607.06543;1.76637816429;;1.8089247942;;;;;;;;;;;;0.114697036;;0.1183043996;1690076.375;;2259688.75
;RU;1994;p99.9p100;7914277.45982;;;;;;;;;;;;;;;;;;;;;;;;11319646.9455;1.71221578121;;1.78853678703;;;;;;;;;;;;0.0304069921;;0.0327615648;4622243.0;;6328998.5
;RU;1994;p99.99p100;20441954.1205;;;;;;;;;;;;;;;;;;;;;;;;31319954.7376;1.6929475069;;1.79519927502;;;;;;;;;;;;0.0078538861;;0.0090646884;12074771.0;;17446506.0
;RU;1994;p99.999p100;52162507.7218;;;;;;;;;;;;;;;;;;;;;;;;87230124.7427;1.68074381351;;1.81264436245;;;;;;;;;;;;0.0020041058;;0.002524633;31035372.0;;48123132.0
;RU;1994;p0p10;2345.33276839;;;;;;;;;;;;;;;;;;;;;;;;3771.87434522;;;;;;;;;;;;;;;0.0009010869;;0.001091664;0.0;;-698.321716309
;RU;1994;p10p20;45550.0186326;;;;;;;;;;;;;;;;;;;;;;;;60151.7397308;;;;;;;;;;;;;;;0.0175005117;;0.0174092454;4700.56445312;;9472.69042969
;RU;1994;p20p30;89594.8188898;;;;;;;;;;;;;;;;;;;;;;;;117340.63512;;;;;;;;;;;;;;;0.0344227122;;0.033960978;71271.6640625;;93629.828125
;RU;1994;p30p40;118362.241895;;;;;;;;;;;;;;;;;;;;;;;;155193.711866;;;;;;;;;;;;;;;0.045475279;;0.0449164966;105962.554688;;138723.625
;RU;1994;p40p50;145950.513216;;;;;;;;;;;;;;;;;;;;;;;;191887.152247;;;;;;;;;;;;;;;0.0560748107;;0.0555363907;130664.71875;;171619.296875
;RU;1994;p50p60;181486.761061;;;;;;;;;;;;;;;;;;;;;;;;238978.250157;;;;;;;;;;;;;;;0.0697279889;;0.0691655972;163665.671875;;215196.15625
;RU;1994;p60p70;231354.855567;;;;;;;;;;;;;;;;;;;;;;;;305047.125374;;;;;;;;;;;;;;;0.0888875239;;0.0882873926;200651.3125;;264772.40625
;RU;1994;p70p80;307893.892189;;;;;;;;;;;;;;;;;;;;;;;;406391.033226;;;;;;;;;;;;;;;0.1182941487;;0.1176185636;262611.75;;346634.34375
;RU;1994;p80p90;434210.447022;;;;;;;;;;;;;;;;;;;;;;;;574337.552984;;;;;;;;;;;;;;;0.1668255087;;0.1662260052;359732.9375;;475086.28125
;RU;1994;p90p100;1046033.21846;;;;;;;;;;;;;;;;;;;;;;;;1402061.5785;1.95000016689;;1.97309362888;;;;;;;;;;;;0.401890433;;0.4057876652;536427.25;;710590.5
;RU;1994;p0p1;234.040401053;;;;;;;;;;;;;;;;;;;;;;;;34.6824659523;;;;;;;;;;;;;;;8.9919e-06;;1.0038e-06;0.0;;-698.321716309
;RU;1994;p1p2;702.121250504;;;;;;;;;;;;;;;;;;;;;;;;1001.57998893;;;;;;;;;;;;;;;2.69758e-05;;2.89879e-05;468.080810547;;564.117736816
;RU;1994;p2p3;1170.20205261;;;;;;;;;;;;;;;;;;;;;;;;1825.06713726;;;;;;;;;;;;;;;4.49597e-05;;5.28215e-05;936.161621094;;1424.76843262
;RU;1994;p3p4;1638.28294941;;;;;;;;;;;;;;;;;;;;;;;;2602.11000131;;;;;;;;;;;;;;;6.29435e-05;;7.53108e-05;1404.24243164;;2219.3684082
;RU;1994;p4p5;2106.36365682;;;;;;;;;;;;;;;;;;;;;;;;3356.338299;;;;;;;;;;;;;;;8.09274e-05;;9.71399e-05;1872.32324219;;2982.04614258
;RU;1994;p5p6;2576.38283051;;;;;;;;;;;;;;;;;;;;;;;;4097.60185231;;;;;;;;;;;;;;;9.89857e-05;;0.0001185937;2340.40405273;;3728.52124023
;RU;1994;p6p7;3048.42303898;;;;;;;;;;;;;;;;;;;;;;;;4831.25388817;;;;;;;;;;;;;;;0.0001171217;;0.0001398272;2812.40283203;;4465.08251953
;RU;1994;p7p8;3520.46343682;;;;;;;;;;;;;;;;;;;;;;;;5563.60067587;;;;;;;;;;;;;;;0.0001352577;;0.0001610229;3284.44311523;;5194.56982422
;RU;1994;p8p9;3992.50383466;;;;;;;;;;;;;;;;;;;;;;;;6420.23816102;;;;;;;;;;;;;;;0.0001533937;;0.0001858159;3756.48364258;;5946.30615234
;RU;1994;p9p10;4464.54423251;;;;;;;;;;;;;;;;;;;;;;;;7986.27098238;;;;;;;;;;;;;;;0.0001715297;;0.0002311404;4228.52392578;;6999.83251953
;RU;1994;p10p11;7858.28848558;;;;;;;;;;;;;;;;;;;;;;;;12616.0249232;;;;;;;;;;;;;;;0.0003019188;;0.0003651357;4700.56445312;;9472.69042969
;RU;1994;p11p12;16104.2126541;;;;;;;;;;;;;;;;;;;;;;;;22372.2853163;;;;;;;;;;;;;;;0.0006187307;;0.0006475035;11561.4541016;;16692.9667969
;RU;1994;p12p13;26158.989464;;;;;;;;;;;;;;;;;;;;;;;;35182.3950097;;;;;;;;;;;;;;;0.0010050396;;0.0010182564;20945.765625;;28503.5996094
;RU;1994;p13p14;36708.7607183;;;;;;;;;;;;;;;;;;;;;;;;48706.6725414;;;;;;;;;;;;;;;0.0014103663;;0.001409679;31451.2246094;;41971.859375
;RU;1994;p14p15;46649.6520669;;;;;;;;;;;;;;;;;;;;;;;;61456.1797035;;;;;;;;;;;;;;;0.0017922996;;0.0017786779;41860.4335938;;55301.0859375
;RU;1994;p15p16;55141.3433063;;;;;;;;;;;;;;;;;;;;;;;;72344.3506982;;;;;;;;;;;;;;;0.002118554;;0.0020938057;51191.9882812;;67272.1875
;RU;1994;p16p17;61664.9526944;;;;;;;;;;;;;;;;;;;;;;;;80692.3881021;;;;;;;;;;;;;;;0.0023691938;;0.0023354164;58756.3007812;;76979.25
;RU;1994;p17p18;66085.316334;;;;;;;;;;;;;;;;;;;;;;;;86290.7724347;;;;;;;;;;;;;;;0.0025390261;;0.002497446;64215.5585938;;83934.3671875
;RU;1994;p18p19;68718.8913051;;;;;;;;;;;;;;;;;;;;;;;;89636.6966534;;;;;;;;;;;;;;;0.0026402092;;0.0025942845;67648.5078125;;88241.984375
;RU;1994;p19p20;70409.7792977;;;;;;;;;;;;;;;;;;;;;;;;92219.6319257;;;;;;;;;;;;;;;0.0027051738;;0.0026690403;69621.9609375;;90915.90625
;RU;1994;p20p21;72501.4927249;;;;;;;;;;;;;;;;;;;;;;;;95337.5138047;;;;;;;;;;;;;;;0.0027855383;;0.0027592788;71271.6640625;;93629.828125
;RU;1994;p21p22;75682.9347736;;;;;;;;;;;;;;;;;;;;;;;;99444.6330078;;;;;;;;;;;;;;;0.0029077707;;0.0028781479;73929.5234375;;97208.640625
;RU;1994;p22p23;79637.4968618;;;;;;;;;;;;;;;;;;;;;;;;104487.114361;;;;;;;;;;;;;;;0.0030597067;;0.0030240885;77564.59375;;101843.695312
;RU;1994;p23p24;83983.3640079;;;;;;;;;;;;;;;;;;;;;;;;110059.27306;;;;;;;;;;;;;;;0.0032266767;;0.0031853591;81774.8203125;;107214.445312
;RU;1994;p24p25;88387.0321427;;;;;;;;;;;;;;;;;;;;;;;;115727.155321;;;;;;;;;;;;;;;0.0033958675;;0.0033494001;86200.515625;;112906.851562
;RU;1994;p25p26;92576.5069513;;;;;;;;;;;;;;;;;;;;;;;;121128.686511;;;;;;;;;;;;;;;0.0035568289;;0.0035057324;90536.578125;;118493.554688
;RU;1994;p26p27;96356.3146767;;;;;;;;;;;;;;;;;;;;;;;;126004.989058;;;;;;;;;;;;;;;0.0037020508;;0.0036468634;94546.6015625;;123678.1875
;RU;1994;p27p28;99624.5733499;;;;;;;;;;;;;;;;;;;;;;;;130232.553102;;;;;;;;;;;;;;;0.0038276187;;0.0037692185;98078.8828125;;128231.265625
;RU;1994;p28p29;102392.409267;;;;;;;;;;;;;;;;;;;;;;;;133857.418305;;;;;;;;;;;;;;;0.0039339601;;0.0038741301;101084.609375;;132132.109375
;RU;1994;p29p30;104806.064142;;;;;;;;;;;;;;;;;;;;;;;;137127.014669;;;;;;;;;;;;;;;0.0040266938;;0.0039687594;103638.515625;;135520.328125
;RU;1994;p30p31;107147.834415;;;;;;;;;;;;;;;;;;;;;;;;140329.936784;;;;;;;;;;;;;;;0.0041166656;;0.0040614591;105962.554688;;138723.625
;RU;1994;p31p32;109591.813902;;;;;;;;;;;;;;;;;;;;;;;;143589.799093;;;;;;;;;;;;;;;0.0042105643;;0.0041558067;108353.578125;;141950.75
;RU;1994;p32p33;112109.483892;;;;;;;;;;;;;;;;;;;;;;;;146916.110399;;;;;;;;;;;;;;;0.0043072943;;0.0042520775;110842.234375;;145249.9375
;RU;1994;p33p34;114657.248211;;;;;;;;;;;;;;;;;;;;;;;;150274.101627;;;;;;;;;;;;;;;0.0044051805;;0.0043492652;113381.625;;148593.359375
;RU;1994;p34p35;117199.35242;;;;;;;;;;;;;;;;;;;;;;;;153625.801921;;;;;;;;;;;;;;;0.0045028492;;0.0044462709;115931.757812;;151955.40625
;RU;1994;p35p36;119710.065445;;;;;;;;;;;;;;;;;;;;;;;;156941.445991;;;;;;;;;;;;;;;0.0045993119;;0.004542233;118461.507812;;155295.75
;RU;1994;p36p37;122176.188443;;;;;;;;;;;;;;;;;;;;;;;;160211.010176;;;;;;;;;;;;;;;0.0046940614;;0.0046368614;120950.945312;;158584.953125
;RU;1994;p37p38;124599.951521;;;;;;;;;;;;;;;;;;;;;;;;163441.219821;;;;;;;;;;;;;;;0.0047871834;;0.0047303508;123394.054688;;161828.625
;RU;1994;p38p39;127002.50434;;;;;;;;;;;;;;;;;;;;;;;;166665.910821;;;;;;;;;;;;;;;0.0048794905;;0.0048236805;125801.921875;;165050.140625
;RU;1994;p39p40;129427.976359;;;;;;;;;;;;;;;;;;;;;;;;169941.782029;;;;;;;;;;;;;;;0.0049726781;;0.0049184915;128206.453125;;168292.03125
;RU;1994;p40p41;131944.337373;;;;;;;;;;;;;;;;;;;;;;;;173334.10792;;;;;;;;;;;;;;;0.0050693578;;0.0050166729;130664.71875;;171619.296875
;RU;1994;p41p42;134605.619004;;;;;;;;;;;;;;;;;;;;;;;;176896.385569;;;;;;;;;;;;;;;0.0051716054;;0.0051197731;133248.703125;;175083.171875
;RU;1994;p42p43;137432.437625;;;;;;;;;;;;;;;;;;;;;;;;180657.897584;;;;;;;;;;;;;;;0.005280213;;0.0052286396;135990.21875;;178739.640625
;RU;1994;p43p44;140436.973984;;;;;;;;;;;;;;;;;;;;;;;;184644.563901;;;;;;;;;;;;;;;0.0053956485;;0.0053440225;138904.375;;182614.546875
;RU;1994;p44p45;143624.68215;;;;;;;;;;;;;;;;;;;;;;;;188858.12217;;;;;;;;;;;;;;;0.0055181216;;0.0054659722;142000.25;;186715.03125
;RU;1994;p45p46;146992.410883;;;;;;;;;;;;;;;;;;;;;;;;193300.599648;;;;;;;;;;;;;;;0.0056475112;;0.0055945474;145279.296875;;191043.5
;RU;1994;p46p47;150526.415934;;;;;;;;;;;;;;;;;;;;;;;;197951.45024;;;;;;;;;;;;;;;0.0057832892;;0.0057291533;148733.453125;;195592.171875
;RU;1994;p47p48;154199.778455;;;;;;;;;;;;;;;;;;;;;;;;202781.310891;;;;;;;;;;;;;;;0.0059244214;;0.0058689401;152342.859375;;200340.3125
;RU;1994;p48p49;157969.508277;;;;;;;;;;;;;;;;;;;;;;;;207730.924542;;;;;;;;;;;;;;;0.006069256;;0.0060121929;156073.078125;;205237.765625
;RU;1994;p49p50;161772.968472;;;;;;;;;;;;;;;;;;;;;;;;212716.160004;;;;;;;;;;;;;;;0.0062153866;;0.0061564767;159871.9375;;210233.734375
;RU;1994;p50p51;165528.49348;;;;;;;;;;;;;;;;;;;;;;;;217648.316714;;;;;;;;;;;;;;;0.0063596754;;0.0062992242;163665.671875;;215196.15625
;RU;1994;p51p52;169183.91818;;;;;;;;;;;;;;;;;;;;;;;;222475.36173;;;;;;;;;;;;;;;0.0065001184;;0.0064389296;167373.78125;;220073.96875
;RU;1994;p52p53;172736.673102;;;;;;;;;;;;;;;;;;;;;;;;227190.070935;;;;;;;;;;;;;;;0.0066366168;;0.0065753837;170976.734375;;224847.484375
;RU;1994;p53p54;176199.944966;;;;;;;;;;;;;;;;;;;;;;;;231806.216809;;;;;;;;;;;;;;;0.0067696772;;0.0067089852;174481.4375;;229511.15625
;RU;1994;p54p55;179601.694956;;;;;;;;;;;;;;;;;;;;;;;;236363.314785;;;;;;;;;;;;;;;0.0069003738;;0.0068408777;177907.890625;;234095.59375
;RU;1994;p55p56;182988.464442;;;;;;;;;;;;;;;;;;;;;;;;240928.103468;;;;;;;;;;;;;;;0.007030495;;0.0069729928;181292.625;;238641.359375
;RU;1994;p56p57;186430.113961;;;;;;;;;;;;;;;;;;;;;;;;245587.996273;;;;;;;;;;;;;;;0.0071627246;;0.0071078604;184692.984375;;243236.828125
;RU;1994;p57p58;190025.556046;;;;;;;;;;;;;;;;;;;;;;;;250468.715345;;;;;;;;;;;;;;;0.007300863;;0.0072491192;188192.28125;;247977.109375
;RU;1994;p58p59;193909.857633;;;;;;;;;;;;;;;;;;;;;;;;255729.255599;;;;;;;;;;;;;;;0.0074500996;;0.0074013709;191906.234375;;253017.140625
;RU;1994;p59p60;198262.893847;;;;;;;;;;;;;;;;;;;;;;;;261585.149908;;;;;;;;;;;;;;;0.0076173451;;0.0075708535;195990.6875;;258541.640625
;RU;1994;p60p61;203297.288455;;;;;;;;;;;;;;;;;;;;;;;;268238.673524;;;;;;;;;;;;;;;0.0078107687;;0.0077634212;200651.3125;;264772.40625
;RU;1994;p61p62;209032.906382;;;;;;;;;;;;;;;;;;;;;;;;275714.909738;;;;;;;;;;;;;;;0.0080311336;;0.0079798;206063.703125;;271846.09375
;RU;1994;p62p63;215263.850541;;;;;;;;;;;;;;;;;;;;;;;;283839.804008;;;;;;;;;;;;;;;0.0082705291;;0.0082149524;212084.53125;;279685.09375
;RU;1994;p63p64;221770.843206;;;;;;;;;;;;;;;;;;;;;;;;292340.963713;;;;;;;;;;;;;;;0.0085205305;;0.0084609948;218488.859375;;288041.8125
;RU;1994;p64p65;228354.289768;;;;;;;;;;;;;;;;;;;;;;;;300960.283573;;;;;;;;;;;;;;;0.0087734694;;0.008710457;225064.96875;;296653.84375
;RU;1994;p65p66;234850.47126;;;;;;;;;;;;;;;;;;;;;;;;309488.537737;;;;;;;;;;;;;;;0.0090230554;;0.0089572836;231628.125;;305260.75
;RU;1994;p66p67;241152.875815;;;;;;;;;;;;;;;;;;;;;;;;317804.669969;;;;;;;;;;;;;;;0.0092651965;;0.0091979709;238039.09375;;313681.6875
;RU;1994;p67p68;247241.093105;;;;;;;;;;;;;;;;;;;;;;;;325899.992022;;;;;;;;;;;;;;;0.0094991084;;0.0094322674;244228.921875;;321888.46875
;RU;1994;p68p69;253218.968562;;;;;;;;;;;;;;;;;;;;;;;;333927.030892;;;;;;;;;;;;;;;0.0097287809;;0.0096645877;250231.984375;;329904.125
;RU;1994;p69p70;259365.968572;;;;;;;;;;;;;;;;;;;;;;;;342256.388565;;;;;;;;;;;;;;;0.0099649513;;0.0099056577;256230.125;;338007.0
;RU;1994;p70p71;266162.196463;;;;;;;;;;;;;;;;;;;;;;;;351365.564641;;;;;;;;;;;;;;;0.0102260653;;0.0101692975;262611.75;;346634.34375
;RU;1994;p71p72;273883.482576;;;;;;;;;;;;;;;;;;;;;;;;361552.437263;;;;;;;;;;;;;;;0.0105227204;;0.0104641281;269873.1875;;356271.40625
;RU;1994;p72p73;282433.156607;;;;;;;;;;;;;;;;;;;;;;;;372797.280892;;;;;;;;;;;;;;;0.0108512025;;0.0107895788;278032.03125;;367016.1875
;RU;1994;p73p74;291665.801011;;;;;;;;;;;;;;;;;;;;;;;;384939.974363;;;;;;;;;;;;;;;0.0112059247;;0.0111410152;286948.21875;;378732.59375
;RU;1994;p74p75;301429.235204;;;;;;;;;;;;;;;;;;;;;;;;397793.591658;;;;;;;;;;;;;;;0.01158104;;0.0115130274;296471.8125;;391275.1875
;RU;1994;p75p76;311573.532946;;;;;;;;;;;;;;;;;;;;;;;;411160.169469;;;;;;;;;;;;;;;0.0119707882;;0.0118998857;306449.875;;404402.0
;RU;1994;p76p77;321965.518046;;;;;;;;;;;;;;;;;;;;;;;;424873.858822;;;;;;;;;;;;;;;0.0123700527;;0.0122967903;316737.84375;;417977.1875
;RU;1994;p77p78;332511.647196;;;;;;;;;;;;;;;;;;;;;;;;438830.368578;;;;;;;;;;;;;;;0.0127752395;;0.0127007226;327217.6875;;431817.25
;RU;1994;p78p79;343193.376568;;;;;;;;;;;;;;;;;;;;;;;;453015.443578;;;;;;;;;;;;;;;0.0131856361;;0.01311127;337826.15625;;445880.5625
;RU;1994;p79p80;354120.975275;;;;;;;;;;;;;;;;;;;;;;;;467581.642996;;;;;;;;;;;;;;;0.0136054792;;0.0135328481;348598.15625;;460206.65625
;RU;1994;p80p81;365588.211478;;;;;;;;;;;;;;;;;;;;;;;;482876.625411;;;;;;;;;;;;;;;0.0140460553;;0.0139755188;359732.9375;;475086.28125
;RU;1994;p81p82;377850.383989;;;;;;;;;;;;;;;;;;;;;;;;499195.501601;;;;;;;;;;;;;;;0.0145171732;;0.0144478232;371579.34375;;490852.3125
;RU;1994;p82p83;390981.401473;;;;;;;;;;;;;;;;;;;;;;;;516667.694262;;;;;;;;;;;;;;;0.0150216725;;0.0149535071;384265.9375;;507711.09375
;RU;1994;p83p84;405052.772806;;;;;;;;;;;;;;;;;;;;;;;;535401.967368;;;;;;;;;;;;;;;0.0155623006;;0.0154957185;397853.09375;;525821.3125
;RU;1994;p84p85;420168.07678;;;;;;;;;;;;;;;;;;;;;;;;555546.182007;;;;;;;;;;;;;;;0.016143037;;0.0160787366;412425.59375;;545211.125
;RU;1994;p85p86;436484.608683;;;;;;;;;;;;;;;;;;;;;;;;577306.507053;;;;;;;;;;;;;;;0.0167699251;;0.0167085286;428109.3125;;566140.0625
;RU;1994;p86p87;454250.516436;;;;;;;;;;;;;;;;;;;;;;;;601025.227243;;;;;;;;;;;;;;;0.0174524989;;0.0173950009;445098.96875;;588810.625
;RU;1994;p87p88;473869.546432;;;;;;;;;;;;;;;;;;;;;;;;627241.335656;;;;;;;;;;;;;;;0.0182062704;;0.0181537531;463706.59375;;613658.8125
;RU;1994;p88p89;496015.724373;;;;;;;;;;;;;;;;;;;;;;;;656826.424319;;;;;;;;;;;;;;;0.019057136;;0.0190100111;484446.0625;;641377.1875
;RU;1994;p89p90;521843.227773;;;;;;;;;;;;;;;;;;;;;;;;691288.064914;;;;;;;;;;;;;;;0.0200494397;;0.0200074073;508185.1875;;673017.5625
;RU;1994;p90p91;552340.915315;;;;;;;;;;;;;;;;;;;;;;;;731802.388604;;;;;;;;;;;;;;;0.0212211739;;0.0211799815;536427.25;;710590.5
;RU;1994;p91p92;587616.850245;;;;;;;;;;;;;;;;;;;;;;;;778797.629411;;;;;;;;;;;;;;;0.0225764904;;0.0225401279;569059.5;;754125.6875
;RU;1994;p92p93;629280.685259;;;;;;;;;;;;;;;;;;;;;;;;834321.639241;;;;;;;;;;;;;;;0.0241772328;;0.0241471156;607226.6875;;804890.75
;RU;1994;p93p94;679611.880947;;;;;;;;;;;;;;;;;;;;;;;;901429.656105;;;;;;;;;;;;;;;0.0261109788;;0.0260893703;652758.0;;865650.3125
;RU;1994;p94p95;742247.645425;;;;;;;;;;;;;;;;;;;;;;;;985001.707236;;;;;;;;;;;;;;;0.0285174716;;0.0285081305;708476.25;;939950.9375
;RU;1994;p95p96;823458.410297;;;;;;;;;;;;;;;;;;;;;;;;1093488.43179;;;;;;;;;;;;;;;0.0316376239;;0.0316479765;779029.5;;1034124.1875
;RU;1994;p96p97;935309.638062;;;;;;;;;;;;;;;;;;;;;;;;1243067.08755;;;;;;;;;;;;;;;0.0359349959;;0.035977114;872781.6875;;1159339.25
;RU;1994;p97p98;1105345.04516;;;;;;;;;;;;;;;;;;;;;;;;1470992.74727;;;;;;;;;;;;;;;0.0424678288;;0.0425737873;1006855.75;;1338799.0
;RU;1994;p98p99;1419807.24585;;;;;;;;;;;;;;;;;;;;;;;;1894107.39705;;;;;;;;;;;;;;;0.0545496009;;0.0548196621;1224428.125;;1631198.875
;RU;1994;p1p100;262904.918274;;;;;;;;;;;;;;;;;;;;;;;;349005.776465;561.665649414;;618.675415039;;;;;;;;;;;;0.9999910081;;0.9999989962;468.080810547;;564.117736816
;RU;1994;p2p100;265580.457019;;;;;;;;;;;;;;;;;;;;;;;;352556.839695;283.690826416;;247.448516846;;;;;;;;;;;;0.9999640323;;0.9999700083;936.161621094;;1424.76843262
;RU;1994;p3p100;268306.335936;;;;;;;;;;;;;;;;;;;;;;;;356172.631164;191.068389893;;160.483779907;;;;;;;;;;;;0.9999190726;;0.9999171868;1404.24243164;;2219.3684082
;RU;1994;p4p100;271084.128155;;;;;;;;;;;;;;;;;;;;;;;;359855.657425;144.784896851;;120.674072266;;;;;;;;;;;;0.9998561291;;0.999841876;1872.32324219;;2982.04614258
;RU;1994;p5p100;273915.473044;;;;;;;;;;;;;;;;;;;;;;;;363608.281837;117.03768158;;97.5207748413;;;;;;;;;;;;0.9997752017;;0.9997447361;2340.40405273;;3728.52124023
;RU;1994;p6p100;276802.059111;;;;;;;;;;;;;;;;;;;;;;;;367432.86354;98.421913147;;82.2902755737;;;;;;;;;;;;0.999676216;;0.9996261424;2812.40283203;;4465.08251953
;RU;1994;p7p100;279745.646596;;;;;;;;;;;;;;;;;;;;;;;;371331.805582;85.1729278564;;71.4846115112;;;;;;;;;;;;0.9995590942;;0.9994863152;3284.44311523;;5194.56982422
;RU;1994;p8p100;282748.09424;;;;;;;;;;;;;;;;;;;;;;;;375307.546941;75.2693557739;;63.1160812378;;;;;;;;;;;;0.9994238365;;0.9993252923;3756.48364258;;5946.30615234
;RU;1994;p9p100;285811.342487;;;;;;;;;;;;;;;;;;;;;;;;379361.253629;67.5912780762;;54.1957626343;;;;;;;;;;;;0.9992704428;;0.9991394764;4228.52392578;;6999.83251953
;RU;1994;p10p100;288937.418024;;;;;;;;;;;;;;;;;;;;;;;;383487.642328;61.4686660767;;40.4834976196;;;;;;;;;;;;0.9990989131;;0.9989083361;4700.56445312;;9472.69042969
;RU;1994;p11p100;292095.610488;;;;;;;;;;;;;;;;;;;;;;;;387654.739148;25.2646083832;;23.2226390839;;;;;;;;;;;;0.9987969943;;0.9985432003;11561.4541016;;16692.9667969
;RU;1994;p12p100;295231.876379;;;;;;;;;;;;;;;;;;;;;;;;391805.676119;14.0950622559;;13.7458314896;;;;;;;;;;;;0.9981782636;;0.9978956969;20945.765625;;28503.5996094
;RU;1994;p13p100;298324.668198;;;;;;;;;;;;;;;;;;;;;;;;395904.794312;9.48531150818;;9.43262481689;;;;;;;;;;;;0.9971732241;;0.9968774405;31451.2246094;;41971.859375
;RU;1994;p14p100;301366.71363;;;;;;;;;;;;;;;;;;;;;;;;399941.98177;7.19932126999;;7.23208189011;;;;;;;;;;;;0.9957628578;;0.9954677615;41860.4335938;;55301.0859375
;RU;1994;p15p100;304363.384932;;;;;;;;;;;;;;;;;;;;;;;;403924.167697;5.94552755356;;6.00432634354;;;;;;;;;;;;0.9939705582;;0.9936890837;51191.9882812;;67272.1875
;RU;1994;p16p100;307330.314015;;;;;;;;;;;;;;;;;;;;;;;;407871.546485;5.2305932045;;5.29846096039;;;;;;;;;;;;0.9918520043;;0.991595278;58756.3007812;;76979.25
;RU;1994;p17p100;310290.137633;;;;;;;;;;;;;;;;;;;;;;;;411813.464033;4.83200883865;;4.90637493134;;;;;;;;;;;;0.9894828105;;0.9892598616;64215.5585938;;83934.3671875
