Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;SM;1995;p0p100;10890.2128906;48711.4921875;37821.28125;37821.28125;25877.0;281806048.0;1260507264.0;978701248.0;978701248.0;0.680583179;0.8788233399;;0.7396376133;;0.3075039089;
;SM;1994;p0p100;10411.3037109;45200.671875;34789.3671875;34789.3671875;25516.0;265654816.0;1153340288.0;887685504.0;887685504.0;0.6461428404;;;0.7167108655;;0.3496260345;
;SM;1993;p0p100;9997.72265625;42880.8164062;32883.0976562;32883.0976562;25141.0;251352736.0;1078066688.0;826713920.0;826713920.0;0.6220616102;;;0.7051360011;;0.4264372289;
;SM;1992;p0p100;9692.16601562;40054.5585938;30362.3945312;30362.3945312;24749.0;239871424.0;991310336.0;751438912.0;751438912.0;0.5966425538;;;0.6934304833;;0.5189737678;
;SM;1991;p0p100;9498.81835938;40314.484375;30815.6660156;30815.6660156;24386.0;231638192.0;983109056.0;751470848.0;751470848.0;0.5716712475;;;0.6817322969;;0.5447157621;
;SM;1990;p0p100;9380.07421875;40270.0625;30889.9882812;30889.9882812;24043.0;225525120.0;968213120.0;742688000.0;742688000.0;0.5313853025;;;0.6563631892;;0.5250541568;
;SM;1989;p0p100;9275.92089844;39989.90625;30713.9863281;30713.9863281;23740.0;220210352.0;949360384.0;729150016.0;729150016.0;0.4878939986;;;0.626762569;;0.5462232828;
;SM;1988;p0p100;9155.27539062;39130.9804688;29975.703125;29975.703125;23466.0;214837696.0;918247552.0;703409856.0;703409856.0;0.4594219327;;;0.6145468354;;0.6096174121;
;SM;1987;p0p100;9015.734375;37969.9648438;28954.2324219;28954.2324219;23210.0;209255184.0;881282880.0;672027712.0;672027712.0;0.4307737052;;;0.5969625115;;0.6608282328;
;SM;1986;p0p100;8874.49316406;37194.5117188;28320.0175781;28320.0175781;22961.0;203767232.0;854023168.0;650255936.0;650255936.0;0.4063546658;;;0.5777916908;;0.666937232;
;SM;1985;p0p100;8748.81347656;36563.2421875;27814.4296875;27814.4296875;22708.0;198668048.0;830278144.0;631610048.0;631610048.0;0.3780450821;;;0.5485587716;;0.6547350883;
;SM;1984;p0p100;8646.30371094;35968.7460938;27322.4414062;27322.4414062;22455.0;194152752.0;807678208.0;613525440.0;613525440.0;0.346275568;;;0.5200382471;;0.613786459;
;SM;1983;p0p100;8568.94824219;35229.0390625;26660.0917969;26660.0917969;22210.0;190316336.0;782436928.0;592120640.0;592120640.0;0.312630713;;;0.4877870083;;0.5470275879;
;SM;1982;p0p100;8527.48632812;35245.6601562;26718.1757812;26718.1757812;21943.0;187118640.0;773395584.0;586276928.0;586276928.0;0.2716242969;;;0.4425177276;;0.4804623127;
