Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;SG;2000;p90p95;79348.1640625;;;;;;;;;;;;;;;;;;113075.882812;;;;;;;;;;;;;;0.0977739915;0.0977739915;;
;SG;2000;p95p99;152353.6875;;;;;;;;;;;;;;;;;;217113.125;;;;;;;;;;;;;;0.1501860321;0.1501860321;;
;SG;2000;p99.5p99.9;503544.96875;;;;;;;;;;;;;;;;;;717581.75;;;;;;;;;;;;;;0.0496381372;0.0496381372;;
;SG;2000;p99p99.5;314255.21875;;;;;;;;;;;;;;;;;;447832.5;;;;;;;;;;;;;;0.038722951;0.038722951;;
;SG;2000;p95p100;229512.703125;;;;;;;;;;;;;;;;;;327069.34375;;;;;;;;;;;;;;0.2828089893;0.2828089893;;
;SG;2000;p99.5p100;762043.3125;;;;;;;;;;;;;;;;;;1085957.375;;;;;;;;;;;;;;0.0939000025;0.0939000025;;
;SG;1999;p0p100;38874.3554688;38874.3554688;53548.7617188;37093.0195312;225681.296875;156328.5625;33022.6835938;22874.6835938;135651.5;93965.265625;49547.6328125;34321.453125;143578.5625;99456.3125;143578.5625;99456.3125;53081.1875;36769.1328125;54271.0507812;54271.0507812;;;97282105344.0;1.46840993792e+11;6.18861428736e+11;90554531840.0;3.71982467072e+11;1.35869120512e+11;3.9371997184e+11;3.9371997184e+11;1.4555881472e+11;1.35811948544e+11;;;;
;SG;1999;p99p100;496851.9375;;;;;;;;;;;;;;;;;;693636.625;;;;;;;;;;;;;;0.1278095692;0.1278095692;;
;SG;1999;p99.9p100;1648293.875;;;;;;;;;;;;;;;;;;2301122.25;;;;;;;;;;;;;;0.0423999988;0.0423999988;;
;SG;1999;p90p100;141035.0625;;;;;;;;;;;;;;;;;;196893.84375;;;;;;;;;;;;;;0.3627972603;0.3627972603;;
;SG;1999;p90p95;72067.6328125;;;;;;;;;;;;;;;;;;100610.953125;;;;;;;;;;;;;;0.0926930457;0.0926930457;;
;SG;1999;p95p99;138290.25;;;;;;;;;;;;;;;;;;193061.90625;;;;;;;;;;;;;;0.1422946453;0.1422946453;;
;SG;1999;p99.5p99.9;456800.78125;;;;;;;;;;;;;;;;;;637722.6875;;;;;;;;;;;;;;0.0470028818;0.0470028818;;
;SG;1999;p99.9p99.95;1054333.375;;;;;;;;;;;;;;;;;;1471915.875;;;;;;;;;;;;;;0.0135597996;0.0135597996;;
;SG;1999;p99p99.5;298607.3125;;;;;;;;;;;;;;;;;;416874.625;;;;;;;;;;;;;;0.038406685;0.038406685;;
;SG;1999;p95p100;210002.5;;;;;;;;;;;;;;;;;;293176.71875;;;;;;;;;;;;;;0.2701042295;0.2701042295;;
;SG;1999;p99.5p100;695096.5625;;;;;;;;;;;;;;;;;;970398.625;;;;;;;;;;;;;;0.0894028842;0.0894028842;;
;SG;1999;p99.95p100;2242183.75;;;;;;;;;;;;;;;;;;3130229.75;;;;;;;;;;;;;;0.028840201;0.028840201;;
;SG;1998;p0p100;39002.0625;39002.0625;47576.875;32326.4609375;215256.9375;146257.921875;26919.6347656;18290.7460938;121543.65625;82583.734375;45962.4453125;31229.5234375;141290.171875;96000.6484375;141290.171875;96000.6484375;48661.5742188;33063.46875;52389.4023438;52389.4023438;;;95629156352.0;1.2695289856e+11;5.7438601216e+11;71831650304.0;3.24323934208e+11;1.22644996096e+11;3.7701500928e+11;3.7701500928e+11;1.29847279616e+11;1.28453582848e+11;;;;
;SG;1998;p99p100;433007.625;;;;;;;;;;;;;;;;;;581636.1875;;;;;;;;;;;;;;0.1110216156;0.1110216156;;
;SG;1998;p99.9p100;1376790.5;;;;;;;;;;;;;;;;;;1849369.75;;;;;;;;;;;;;;0.0353000015;0.0353000015;;
;SG;1998;p90p100;127314.203125;;;;;;;;;;;;;;;;;;171014.421875;;;;;;;;;;;;;;0.3264294863;0.3264294863;;
;SG;1998;p90p95;66586.140625;;;;;;;;;;;;;;;;;;89441.6328125;;;;;;;;;;;;;;0.0853623524;0.0853623524;;
;SG;1998;p95p99;126801.015625;;;;;;;;;;;;;;;;;;170325.078125;;;;;;;;;;;;;;0.1300455034;0.1300455034;;
;SG;1998;p99.5p99.9;399175.8125;;;;;;;;;;;;;;;;;;536191.6875;;;;;;;;;;;;;;0.0409390256;0.0409390256;;
;SG;1998;p99.9p99.95;930169.25;;;;;;;;;;;;;;;;;;1249447.125;;;;;;;;;;;;;;0.0119237518;0.0119237518;;
;SG;1998;p99p99.5;271318.84375;;;;;;;;;;;;;;;;;;364448.21875;;;;;;;;;;;;;;0.0347825922;0.0347825922;;
;SG;1998;p95p100;188042.265625;;;;;;;;;;;;;;;;;;252587.203125;;;;;;;;;;;;;;0.2410671264;0.2410671264;;
;SG;1998;p99.5p100;594696.4375;;;;;;;;;;;;;;;;;;798824.1875;;;;;;;;;;;;;;0.0762390271;0.0762390271;;
;SG;1998;p99.95p100;1823358.625;;;;;;;;;;;;;;;;;;2449221.0;;;;;;;;;;;;;;0.0233762488;0.0233762488;;
;SG;1997;p0p100;39515.9726562;39515.9726562;42170.9921875;28885.9863281;237159.765625;162448.0;24993.1816406;17119.6503906;113733.867188;77904.6171875;43296.3632812;29656.8339844;165596.890625;113429.375;165596.890625;113429.375;45444.328125;31128.1308594;55628.09375;55628.09375;;;95573336064.0;1.09652303872e+11;6.16658763776e+11;64986845184.0;2.95728873472e+11;1.12578469888e+11;4.30582202368e+11;4.30582202368e+11;1.18163562496e+11;1.34542114816e+11;;;;
;SG;1997;p99p100;407496.53125;;;;;;;;;;;;;;;;;;573647.9375;;;;;;;;;;;;;;0.1031218842;0.1031218842;;
;SG;1997;p99.9p100;1292188.875;;;;;;;;;;;;;;;;;;1819062.0;;;;;;;;;;;;;;0.0326999985;0.0326999985;;
;SG;1997;p90p100;121650.632812;;;;;;;;;;;;;;;;;;171252.09375;;;;;;;;;;;;;;0.3078518808;0.3078518808;;
;SG;1997;p90p95;64351.46875;;;;;;;;;;;;;;;;;;90589.9375;;;;;;;;;;;;;;0.0814246535;0.0814246535;;
;SG;1997;p95p99;121813.203125;;;;;;;;;;;;;;;;;;171480.9375;;;;;;;;;;;;;;0.1233053505;0.1233053505;;
;SG;1997;p99.5p99.9;373927.21875;;;;;;;;;;;;;;;;;;526391.125;;;;;;;;;;;;;;0.0378508195;0.0378508195;;
;SG;1997;p99.9p99.95;886777.5625;;;;;;;;;;;;;;;;;;1248349.5;;;;;;;;;;;;;;0.0112196822;0.0112196822;;
;SG;1997;p99p99.5;257415.703125;;;;;;;;;;;;;;;;;;362373.59375;;;;;;;;;;;;;;0.0325710662;0.0325710662;;
;SG;1997;p95p100;178949.796875;;;;;;;;;;;;;;;;;;251914.234375;;;;;;;;;;;;;;0.2264272273;0.2264272273;;
;SG;1997;p99.5p100;557577.375;;;;;;;;;;;;;;;;;;784922.25;;;;;;;;;;;;;;0.0705508217;0.0705508217;;
;SG;1997;p99.95p100;1697551.875;;;;;;;;;;;;;;;;;;2389706.5;;;;;;;;;;;;;;0.0214803182;0.0214803182;;
;SG;1996;p0p100;37510.375;37510.375;36952.203125;25549.640625;236354.4375;163421.140625;25206.3105469;17428.2480469;108848.085938;75260.1796875;41263.9609375;28530.8945312;164458.546875;113710.601562;164458.546875;113710.601562;42377.8125;29301.0390625;52403.2382812;52403.2382812;;;88141881344.0;93785169920.0;5.99870603264e+11;63973941248.0;2.76257865728e+11;1.04728469504e+11;4.17397932032e+11;4.17397932032e+11;1.07555438592e+11;1.23137130496e+11;;;;
;SG;1996;p99p100;374604.4375;;;;;;;;;;;;;;;;;;523334.8125;;;;;;;;;;;;;;0.0998667926;0.0998667926;;
;SG;1996;p99.9p100;1159085.5;;;;;;;;;;;;;;;;;;1619280.875;;;;;;;;;;;;;;0.0308999997;0.0308999997;;
;SG;1996;p90p100;115960.273438;;;;;;;;;;;;;;;;;;162000.34375;;;;;;;;;;;;;;0.3091419339;0.3091419339;;
;SG;1996;p90p95;63345.3359375;;;;;;;;;;;;;;;;;;88495.53125;;;;;;;;;;;;;;0.0844371095;0.0844371095;;
;SG;1996;p95p99;117067.992188;;;;;;;;;;;;;;;;;;163547.859375;;;;;;;;;;;;;;0.1248380467;0.1248380467;;
;SG;1996;p99.5p99.9;344012.96875;;;;;;;;;;;;;;;;;;480597.5;;;;;;;;;;;;;;0.0366846398;0.0366846398;;
;SG;1996;p99p99.5;242183.328125;;;;;;;;;;;;;;;;;;338338.15625;;;;;;;;;;;;;;0.0322821476;0.0322821476;;
;SG;1996;p95p100;168575.21875;;;;;;;;;;;;;;;;;;235505.171875;;;;;;;;;;;;;;0.2247048318;0.2247048318;;
;SG;1996;p99.5p100;507025.53125;;;;;;;;;;;;;;;;;;708331.5;;;;;;;;;;;;;;0.0675846413;0.0675846413;;
;SG;1995;p0p100;35818.4570312;35818.4570312;;;;;;;;;;;;;;;;;50271.3398438;50271.3398438;;;82421858304.0;;;;;;;;;1.15679379456e+11;;;;
;SG;1995;p99p100;352314.71875;;;;;;;;;;;;;;;;;;494475.03125;;;;;;;;;;;;;;0.0983611271;0.0983611271;;
;SG;1995;p99.9p100;1121132.125;;;;;;;;;;;;;;;;;;1573513.25;;;;;;;;;;;;;;0.0313000008;0.0313000008;;
;SG;1995;p90p100;108083.25;;;;;;;;;;;;;;;;;;151695.25;;;;;;;;;;;;;;0.3017530143;0.3017530143;;
;SG;1995;p90p95;59055.21875;;;;;;;;;;;;;;;;;;82884.2265625;;;;;;;;;;;;;;0.0824368745;0.0824368745;;
;SG;1995;p95p99;108310.492188;;;;;;;;;;;;;;;;;;152014.171875;;;;;;;;;;;;;;0.1209550127;0.1209550127;;
;SG;1995;p99.5p99.9;317189.59375;;;;;;;;;;;;;;;;;;445176.78125;;;;;;;;;;;;;;0.0354219861;0.0354219861;;
;SG;1995;p99p99.5;226653.265625;;;;;;;;;;;;;;;;;;318108.71875;;;;;;;;;;;;;;0.0316391438;0.0316391438;;
;SG;1995;p95p100;157111.28125;;;;;;;;;;;;;;;;;;220506.265625;;;;;;;;;;;;;;0.2193161398;0.2193161398;;
;SG;1995;p99.5p100;477976.1875;;;;;;;;;;;;;;;;;;670841.375;;;;;;;;;;;;;;0.0667219833;0.0667219833;;
;SG;1994;p0p100;34661.2578125;34661.2578125;;;;;;;;;;;;;;;;;49763.2539062;49763.2539062;;;78171537408.0;;;;;;;;;1.12231063552e+11;;;;
;SG;1994;p99p100;347443.875;;;;;;;;;;;;;;;;;;498826.03125;;;;;;;;;;;;;;0.1002397388;0.1002397388;;
;SG;1994;p99.9p100;1077979.0;;;;;;;;;;;;;;;;;;1547657.125;;;;;;;;;;;;;;0.0310999993;0.0310999993;;
;SG;1994;p90p100;105416.984375;;;;;;;;;;;;;;;;;;151347.421875;;;;;;;;;;;;;;0.3041349947;0.3041349947;;
;SG;1994;p90p95;57236.3984375;;;;;;;;;;;;;;;;;;82174.4375;;;;;;;;;;;;;;0.082565397;0.082565397;;
;SG;1994;p95p99;105136.070312;;;;;;;;;;;;;;;;;;150944.109375;;;;;;;;;;;;;;0.121329844;0.121329844;;
;SG;1994;p99.5p99.9;325952.0;;;;;;;;;;;;;;;;;;467970.0625;;;;;;;;;;;;;;0.037615791;0.037615791;;
;SG;1994;p99.9p99.95;637813.375;;;;;;;;;;;;;;;;;;915710.1875;;;;;;;;;;;;;;0.0092000002;0.0092000002;;
;SG;1994;p99p99.5;218532.15625;;;;;;;;;;;;;;;;;;313747.15625;;;;;;;;;;;;;;0.0315239504;0.0315239504;;
;SG;1994;p95p100;153597.578125;;;;;;;;;;;;;;;;;;220520.40625;;;;;;;;;;;;;;0.2215695828;0.2215695828;;
;SG;1994;p99.5p100;476355.59375;;;;;;;;;;;;;;;;;;683904.875;;;;;;;;;;;;;;0.0687157884;0.0687157884;;
;SG;1994;p99.95p100;1518092.125;;;;;;;;;;;;;;;;;;2179528.5;;;;;;;;;;;;;;0.0219000001;0.0219000001;;
;SG;1993;p0p100;31474.9140625;31474.9140625;;;;;;;;;;;;;;;;;45096.6953125;45096.6953125;;;69584740352.0;;;;;;;;;99699777536.0;;;;
;SG;1993;p99p100;331466.1875;;;;;;;;;;;;;;;;;;474918.8125;;;;;;;;;;;;;;0.1053111181;0.1053111181;;
;SG;1993;p99.9p100;952285.125;;;;;;;;;;;;;;;;;;1364417.125;;;;;;;;;;;;;;0.0302549787;0.0302549787;;
;SG;1993;p90p100;101895.71875;;;;;;;;;;;;;;;;;;145994.375;;;;;;;;;;;;;;0.3237363696;0.3237363696;;
;SG;1993;p90p95;55298.9257812;;;;;;;;;;;;;;;;;;79231.3125;;;;;;;;;;;;;;0.0878460482;0.0878460482;;
;SG;1993;p95p99;102749.171875;;;;;;;;;;;;;;;;;;147217.171875;;;;;;;;;;;;;;0.1305791885;0.1305791885;;
;SG;1993;p99.5p99.9;325251.84375;;;;;;;;;;;;;;;;;;466015.03125;;;;;;;;;;;;;;0.0413348228;0.0413348228;;
;SG;1993;p99.9p99.95;562794.875;;;;;;;;;;;;;;;;;;806362.4375;;;;;;;;;;;;;;0.0089397244;0.0089397244;;
;SG;1993;p99p99.5;212275.34375;;;;;;;;;;;;;;;;;;304144.3125;;;;;;;;;;;;;;0.0337213203;0.0337213203;;
;SG;1993;p95p100;148492.515625;;;;;;;;;;;;;;;;;;212757.421875;;;;;;;;;;;;;;0.235890314;0.235890314;;
;SG;1993;p99.5p100;450657.0;;;;;;;;;;;;;;;;;;645693.3125;;;;;;;;;;;;;;0.0715897977;0.0715897977;;
;SG;1993;p99.95p100;1341729.0;;;;;;;;;;;;;;;;;;1922405.25;;;;;;;;;;;;;;0.0213152543;0.0213152543;;
;SG;1992;p0p100;30627.8984375;30627.8984375;;;;;;;;;;;;;;;;;42995.3476562;42995.3476562;;;66395160576.0;;;;;;;;;93205315584.0;;;;
;SG;1991;p0p100;27914.0332031;27914.0332031;;;;;;;;;;;;;;;;;41127.2148438;41127.2148438;;;59250327552.0;;;;;;;;;87296622592.0;;;;
;SG;1991;p99p100;291143.21875;;;;;;;;;;;;;;;;;;428956.625;;;;;;;;;;;;;;0.1042998508;0.1042998508;;
;SG;1991;p99.9p100;762062.9375;;;;;;;;;;;;;;;;;;1122787.375;;;;;;;;;;;;;;0.0273000002;0.0273000002;;
;SG;1991;p99.99p100;2009276.75;;;;;;;;;;;;;;;;;;2960373.0;;;;;;;;;;;;;;0.0071992823;0.0071992823;;
;SG;1991;p90p100;92375.828125;;;;;;;;;;;;;;;;;;136102.15625;;;;;;;;;;;;;;0.3309297562;0.3309297562;;
;SG;1991;p90p95;50726.578125;;;;;;;;;;;;;;;;;;74738.1328125;;;;;;;;;;;;;;0.0908621624;0.0908621624;;
;SG;1991;p95p99;94745.59375;;;;;;;;;;;;;;;;;;139593.65625;;;;;;;;;;;;;;0.135767743;0.135767743;;
;SG;1991;p99.5p99.9;299902.6875;;;;;;;;;;;;;;;;;;441862.40625;;;;;;;;;;;;;;0.0429752693;0.0429752693;;
;SG;1991;p99.95p99.99;900262.4375;;;;;;;;;;;;;;;;;;1326404.0;;;;;;;;;;;;;;0.0129007176;0.0129007176;;
;SG;1991;p99.9p99.95;401991.21875;;;;;;;;;;;;;;;;;;592274.8125;;;;;;;;;;;;;;0.0071999999;0.0071999999;;
;SG;1991;p99.9p99.99;623456.125;;;;;;;;;;;;;;;;;;918570.6875;;;;;;;;;;;;;;0.0201007184;0.0201007184;;
;SG;1991;p99p99.5;189952.828125;;;;;;;;;;;;;;;;;;279867.5;;;;;;;;;;;;;;0.0340245776;0.0340245776;;
;SG;1991;p95p100;134025.078125;;;;;;;;;;;;;;;;;;197466.1875;;;;;;;;;;;;;;0.2400676012;0.2400676012;;
;SG;1991;p99.5p100;392333.625;;;;;;;;;;;;;;;;;;578045.8125;;;;;;;;;;;;;;0.0702752694;0.0702752694;;
;SG;1991;p99.95p100;1122091.75;;;;;;;;;;;;;;;;;;1653236.75;;;;;;;;;;;;;;0.0200999994;0.0200999994;;
;SG;1990;p0p100;25741.3652344;25741.3652344;;;;;;;;;;;;;;;;;40510.953125;40510.953125;;;52772372480.0;;;;;;;;;83051503616.0;;;;
;SG;1990;p99p100;288901.125;;;;;;;;;;;;;;;;;;454663.53125;;;;;;;;;;;;;;0.1122321337;0.1122321337;;
;SG;1990;p99.9p100;769676.75;;;;;;;;;;;;;;;;;;1211293.125;;;;;;;;;;;;;;0.0298999995;0.0298999995;;
;SG;1990;p99.99p100;2027926.625;;;;;;;;;;;;;;;;;;3191487.25;;;;;;;;;;;;;;0.0078793922;0.0078793922;;
;SG;1990;p90p100;90199.7421875;;;;;;;;;;;;;;;;;;141953.53125;;;;;;;;;;;;;;0.3504078388;0.3504078388;;
;SG;1990;p90p95;49107.7109375;;;;;;;;;;;;;;;;;;77284.171875;;;;;;;;;;;;;;0.0953867808;0.0953867808;;
;SG;1990;p95p99;91889.5;;;;;;;;;;;;;;;;;;144612.8125;;;;;;;;;;;;;;0.1427889168;0.1427889168;;
;SG;1990;p99.5p99.9;299704.5625;;;;;;;;;;;;;;;;;;471665.65625;;;;;;;;;;;;;;0.0465717576;0.0465717576;;
;SG;1990;p99.95p99.99;895823.5;;;;;;;;;;;;;;;;;;1409819.0;;;;;;;;;;;;;;0.013920608;0.013920608;;
;SG;1990;p99.9p99.95;417040.375;;;;;;;;;;;;;;;;;;656325.0625;;;;;;;;;;;;;;0.0081000002;0.0081000002;;
;SG;1990;p99.9p99.99;629843.4375;;;;;;;;;;;;;;;;;;991227.875;;;;;;;;;;;;;;0.0220206082;0.0220206082;;
;SG;1990;p99p99.5;184104.359375;;;;;;;;;;;;;;;;;;289737.65625;;;;;;;;;;;;;;0.0357603729;0.0357603729;;
;SG;1990;p95p100;131291.78125;;;;;;;;;;;;;;;;;;206622.875;;;;;;;;;;;;;;0.2550210655;0.2550210655;;
;SG;1990;p99.5p100;393697.875;;;;;;;;;;;;;;;;;;619589.375;;;;;;;;;;;;;;0.0764717609;0.0764717609;;
;SG;1990;p99.95p100;1122271.125;;;;;;;;;;;;;;;;;;1766195.125;;;;;;;;;;;;;;0.0218000002;0.0218000002;;
;SG;1989;p0p100;24176.4628906;24176.4628906;;;;;;;;;;;;;;;;;38084.9492188;38084.9492188;;;49116905472.0;;;;;;;;;77373382656.0;;;;
;SG;1989;p99p100;273207.75;;;;;;;;;;;;;;;;;;430381.53125;;;;;;;;;;;;;;0.1130055711;0.1130055711;;
;SG;1989;p99.9p100;766230.875;;;;;;;;;;;;;;;;;;1207036.0;;;;;;;;;;;;;;0.0316928476;0.0316928476;;
;SG;1989;p99.99p100;2549478.0;;;;;;;;;;;;;;;;;;4016168.0;;;;;;;;;;;;;;0.0105470391;0.0105470391;;
;SG;1989;p90p100;83823.578125;;;;;;;;;;;;;;;;;;132046.484375;;;;;;;;;;;;;;0.3467157185;0.3467157185;;
;SG;1989;p90p95;45370.3242188;;;;;;;;;;;;;;;;;;71471.4296875;;;;;;;;;;;;;;0.0938316211;0.0938316211;;
;SG;1989;p95p99;84544.1640625;;;;;;;;;;;;;;;;;;133181.609375;;;;;;;;;;;;;;0.1398785412;0.1398785412;;
;SG;1989;p99.5p99.9;279031.9375;;;;;;;;;;;;;;;;;;439556.28125;;;;;;;;;;;;;;0.0461659729;0.0461659729;;
;SG;1989;p99.95p99.99;758702.625;;;;;;;;;;;;;;;;;;1195176.875;;;;;;;;;;;;;;0.0125529608;0.0125529608;;
;SG;1989;p99.9p99.95;415519.5;;;;;;;;;;;;;;;;;;654563.875;;;;;;;;;;;;;;0.0085928487;0.0085928487;;
;SG;1989;p99.9p99.99;568052.9375;;;;;;;;;;;;;;;;;;894848.25;;;;;;;;;;;;;;0.0211458094;0.0211458094;;
;SG;1989;p99p99.5;169944.96875;;;;;;;;;;;;;;;;;;267712.65625;;;;;;;;;;;;;;0.0351467468;0.0351467468;;
;SG;1989;p95p100;122276.835938;;;;;;;;;;;;;;;;;;192621.515625;;;;;;;;;;;;;;0.2528841197;0.2528841197;;
;SG;1989;p99.5p100;376470.5625;;;;;;;;;;;;;;;;;;593050.4375;;;;;;;;;;;;;;0.0778588206;0.0778588206;;
;SG;1989;p99.95p100;1116900.375;;;;;;;;;;;;;;;;;;1759442.375;;;;;;;;;;;;;;0.0230999999;0.0230999999;;
;SG;1988;p0p100;22863.0449219;22863.0449219;;;;;;;;;;;;;;;;;35270.8085938;35270.8085938;;;45522608128.0;;;;;;;;;70227705856.0;;;;
;SG;1988;p99p100;245048.78125;;;;;;;;;;;;;;;;;;378036.65625;;;;;;;;;;;;;;0.1071810648;0.1071810648;;
;SG;1988;p99.9p100;630342.375;;;;;;;;;;;;;;;;;;972428.875;;;;;;;;;;;;;;0.0275700036;0.0275700036;;
;SG;1988;p99.99p100;1737303.125;;;;;;;;;;;;;;;;;;2680136.75;;;;;;;;;;;;;;0.0076000001;0.0076000001;;
;SG;1988;p90p100;77629.5859375;;;;;;;;;;;;;;;;;;119759.125;;;;;;;;;;;;;;0.3395418525;0.3395418525;;
;SG;1988;p90p95;42923.3007812;;;;;;;;;;;;;;;;;;66217.7578125;;;;;;;;;;;;;;0.0938705057;0.0938705057;;
;SG;1988;p95p99;79157.6953125;;;;;;;;;;;;;;;;;;122116.539062;;;;;;;;;;;;;;0.1384902894;0.1384902894;;
;SG;1988;p99.5p99.9;256013.234375;;;;;;;;;;;;;;;;;;394951.5;;;;;;;;;;;;;;0.0447908416;0.0447908416;;
;SG;1988;p99.95p99.99;628723.0625;;;;;;;;;;;;;;;;;;969930.8125;;;;;;;;;;;;;;0.0109999999;0.0109999999;;
;SG;1988;p99.9p99.95;410192.96875;;;;;;;;;;;;;;;;;;632804.5;;;;;;;;;;;;;;0.0089700045;0.0089700045;;
;SG;1988;p99.9p99.99;507322.28125;;;;;;;;;;;;;;;;;;782645.8125;;;;;;;;;;;;;;0.0199700054;0.0199700054;;
;SG;1988;p99p99.5;159219.40625;;;;;;;;;;;;;;;;;;245627.6875;;;;;;;;;;;;;;0.0348202214;0.0348202214;;
;SG;1988;p95p100;112335.875;;;;;;;;;;;;;;;;;;173300.5;;;;;;;;;;;;;;0.2456713468;0.2456713468;;
;SG;1988;p99.5p100;330878.15625;;;;;;;;;;;;;;;;;;510445.59375;;;;;;;;;;;;;;0.0723608509;0.0723608509;;
;SG;1988;p99.95p100;850465.5;;;;;;;;;;;;;;;;;;1312012.75;;;;;;;;;;;;;;0.0186000001;0.0186000001;;
;SG;1987;p0p100;21225.3925781;21225.3925781;;;;;;;;;;;;;;;;;32272.4492188;32272.4492188;;;41334329344.0;;;;;;;;;62847369216.0;;;;
;SG;1987;p99p100;242161.8125;;;;;;;;;;;;;;;;;;368198.375;;;;;;;;;;;;;;0.1140905097;0.1140905097;;
;SG;1987;p99.9p100;627386.4375;;;;;;;;;;;;;;;;;;953918.6875;;;;;;;;;;;;;;0.0295579173;0.0295579173;;
;SG;1987;p99.99p100;1718971.5;;;;;;;;;;;;;;;;;;2613634.75;;;;;;;;;;;;;;0.0081000002;0.0081000002;;
;SG;1987;p90p100;76430.578125;;;;;;;;;;;;;;;;;;116209.960938;;;;;;;;;;;;;;0.3600904047;0.3600904047;;
;SG;1987;p90p95;42236.3710938;;;;;;;;;;;;;;;;;;64218.8945312;;;;;;;;;;;;;;0.0994949415;0.0994949415;;
;SG;1987;p95p99;77740.578125;;;;;;;;;;;;;;;;;;118201.773438;;;;;;;;;;;;;;0.1465049535;0.1465049535;;
;SG;1987;p99.5p99.9;251443.0625;;;;;;;;;;;;;;;;;;382310.1875;;;;;;;;;;;;;;0.0473854318;0.0473854318;;
;SG;1987;p99.95p99.99;610219.6875;;;;;;;;;;;;;;;;;;927817.1875;;;;;;;;;;;;;;0.0115;0.0115;;
;SG;1987;p99.9p99.95;422752.03125;;;;;;;;;;;;;;;;;;642779.375;;;;;;;;;;;;;;0.009957918;0.009957918;;
;SG;1987;p99.9p99.99;506075.125;;;;;;;;;;;;;;;;;;769469.125;;;;;;;;;;;;;;0.021457918;0.021457918;;
;SG;1987;p99p99.5;157692.78125;;;;;;;;;;;;;;;;;;239766.21875;;;;;;;;;;;;;;0.0371471643;0.0371471643;;
;SG;1987;p95p100;110624.789062;;;;;;;;;;;;;;;;;;168201.03125;;;;;;;;;;;;;;0.2605954707;0.2605954707;;
;SG;1987;p99.5p100;326630.84375;;;;;;;;;;;;;;;;;;496630.53125;;;;;;;;;;;;;;0.0769433454;0.0769433454;;
;SG;1987;p99.95p100;831996.4375;;;;;;;;;;;;;;;;;;1265020.875;;;;;;;;;;;;;;0.0196000002;0.0196000002;;
;SG;1986;p0p100;20423.5410156;20423.5410156;;;;;;;;;;;;;;;;;30572.0136719;30572.0136719;;;38947692544.0;;;;;;;;;58300829696.0;;;;
;SG;1986;p99p100;209617.515625;;;;;;;;;;;;;;;;;;313776.625;;;;;;;;;;;;;;0.1026351452;0.1026351452;;
;SG;1986;p99.9p100;530368.3125;;;;;;;;;;;;;;;;;;793908.75;;;;;;;;;;;;;;0.0259681456;0.0259681456;;
;SG;1986;p90p100;66902.796875;;;;;;;;;;;;;;;;;;100146.84375;;;;;;;;;;;;;;0.3275769353;0.3275769353;;
;SG;1986;p90p95;36148.6523438;;;;;;;;;;;;;;;;;;54110.9492188;;;;;;;;;;;;;;0.0884975344;0.0884975344;;
;SG;1986;p95p99;69666.8359375;;;;;;;;;;;;;;;;;;104284.34375;;;;;;;;;;;;;;0.1364442557;0.1364442557;;
;SG;1986;p99.5p99.9;217825.734375;;;;;;;;;;;;;;;;;;326063.5;;;;;;;;;;;;;;0.0426617824;0.0426617824;;
