Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;1987;p90p95;518286.69515;;;;;;;;;;;;;;;;;;;;;;;;;;;;828756.117045;;;;;;;;;;;;;;;;;;;0.0915641594;0.0915641594;475123.94281;759737.56927
;NO;1987;p95p99;675116.67878;;;;;;;;;;;;;;;;;;;;;;;;;;;;1079532.00901;;;;;;;;;;;;;;;;;;;0.0954166746;0.0954166746;574231.198263;918213.071283
;NO;1987;p99.5p99.9;1234828.36584;;;;;;;;;;;;;;;;;;;;;;;;;;;;1974527.94229;;;;;;;;;;;;;;;;;;;0.0174522746;0.0174522746;1035120.22362;1655188.57658
;NO;1987;p99.95p99.99;2876155.85764;;;;;;;;;;;;;;;;;;;;;;;;;;;;4599060.29403;;;;;;;;;;;;;;;;;;;0.0040649748;0.0040649748;2204800.70465;3525543.07865
;NO;1987;p99.9p99.95;1906703.81214;;;;;;;;;;;;;;;;;;;;;;;;;;;;3048877.12243;;;;;;;;;;;;;;;;;;;0.0033685166;0.0033685166;1687509.17619;2698378.26327
;NO;1987;p99.9p99.99;2337571.38792;;;;;;;;;;;;;;;;;;;;;;;;;;;;3737847.42092;;;;;;;;;;;;;;;;;;;0.0074334913;0.0074334913;1687509.17619;2698378.26327
;NO;1987;p99p99.5;938745.703574;;;;;;;;;;;;;;;;;;;;;;;;;;;;1501082.80121;;;;;;;;;;;;;;;;;;;0.0165845394;0.0165845394;868061.381098;1388056.42955
;NO;1987;p95p100;789986.400455;;;;;;;;;;;;;;;;;;;;;;;;;;;;1263212.17173;;1.3757288055;1.3757288055;;;;;;;;;;;;;;;;0.1395645332;0.1395645332;574231.198263;918213.071283
;NO;1987;p99.5p100;1560184.87074;;;;;;;;;;;;;;;;;;;;;;;;;;;;2494782.84403;;1.5072499166;1.5072499166;;;;;;;;;;;;;;;;0.0275633192;0.0275633192;1035120.22362;1655188.57658
;NO;1987;p99.95p100;3816517.96858;;;;;;;;;;;;;;;;;;;;;;;;;;;;6102727.77957;;1.7310036052;1.7310036052;;;;;;;;;;;;;;;;0.0067425281;0.0067425281;2204800.70465;3525543.07865
;NO;1986;p0p100;270546.956214;270546.956214;;;122870.779637;88636.2772825;330657.445081;238529.006443;521337.371594;376081.310485;993763.14896;716878.872946;41704.1102722;30084.4276631;336886.666616;243022.629815;195313.449926;140894.825896;864663.147789;623748.972291;343325.776195;247667.661806;987533.927426;712385.249573;;;99869.1064172;72043.3762565;452392.174884;452392.174884;;;8.73941306769e+11;;3.68654852202e+11;9.9208674272e+11;1.56419249751e+12;2.98163328893e+12;1.25126760439e+11;1.01077656263e+12;5.86007928232e+11;2.59428861681e+12;1.0300961193e+12;2.96294346902e+12;;2.99641873962e+11;1.46135153033e+12;;;;
;NO;1986;p99p100;1183417.30047;;;;;;;;;;;;;;;;;;;;;;;;;;;;1978838.47539;;1.4273675827;1.4273675827;;;;;;;;;;;;;;;;0.0437416601;0.0437416601;829090.778604;1386355.20339
;NO;1986;p99.9p100;2666908.7721;;;;;;;;;;;;;;;;;;;;;;;;;;;;4459442.73968;;1.6695121117;1.6695121117;;;;;;;;;;;;;;;;0.009857471;0.009857471;1597418.04408;2671105.35367
;NO;1986;p99.99p100;6699840.51376;;;;;;;;;;;;;;;;;;;;;;;;;;;;11203066.0548;;1.6103725977;1.6103725977;;;;;;;;;;;;;;;;0.0024764058;0.0024764058;4160428.78725;6956816.12484
;NO;1986;p90p100;625313.139318;;;;;;;;;;;;;;;;;;;;;;;;;;;;1045610.62168;;1.3725578414;1.3725578414;;;;;;;;;;;;;;;;0.2311292458;0.2311292458;455582.359066;761797.128089
;NO;1986;p90p95;496755.757393;;;;;;;;;;;;;;;;;;;;;;;;;;;;830644.782032;;;;;;;;;;;;;;;;;;;0.09180583;0.09180583;455582.359066;761797.128089
;NO;1986;p95p99;646483.826437;;;;;;;;;;;;;;;;;;;;;;;;;;;;1081010.95781;;;;;;;;;;;;;;;;;;;0.0955817556;0.0955817556;550615.341678;920705.504997
;NO;1986;p99.5p99.9;1172806.51999;;;;;;;;;;;;;;;;;;;;;;;;;;;;1961095.77324;;;;;;;;;;;;;;;;;;;0.0173397851;0.0173397851;985751.210546;1648313.25502
;NO;1986;p99.95p99.99;2751734.68108;;;;;;;;;;;;;;;;;;;;;;;;;;;;4601283.46849;;;;;;;;;;;;;;;;;;;0.0040684023;0.0040684023;2087269.87264;3490205.80555
;NO;1986;p99.9p99.95;1792461.69659;;;;;;;;;;;;;;;;;;;;;;;;;;;;2997245.49359;;;;;;;;;;;;;;;;;;;0.0033126628;0.0033126628;1597418.04408;2671105.35367
;NO;1986;p99.9p99.99;2218805.24525;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710151.26021;;;;;;;;;;;;;;;;;;;0.0073810652;0.0073810652;1597418.04408;2671105.35367
;NO;1986;p99p99.5;895207.630529;;;;;;;;;;;;;;;;;;;;;;;;;;;;1496911.78425;;;;;;;;;;;;;;;;;;;0.016544404;0.016544404;829090.778604;1386355.20339
;NO;1986;p95p100;753870.521243;;;;;;;;;;;;;;;;;;;;;;;;;;;;1260576.46133;;1.3691418749;1.3691418749;;;;;;;;;;;;;;;;0.1393234158;0.1393234158;550615.341678;920705.504997
;NO;1986;p99.5p100;1471626.97041;;;;;;;;;;;;;;;;;;;;;;;;;;;;2460765.16653;;1.4928989736;1.4928989736;;;;;;;;;;;;;;;;0.0271972561;0.0271972561;985751.210546;1648313.25502
;NO;1986;p99.95p100;3541355.84761;;;;;;;;;;;;;;;;;;;;;;;;;;;;5921639.98576;;1.6966449303;1.6966449303;;;;;;;;;;;;;;;;0.0065448081;0.0065448081;2087269.87264;3490205.80555
;NO;1985;p0p100;240178.752781;240178.752781;;;115427.423051;82802.5604531;278250.813075;199604.904639;473646.536316;339773.209175;830857.663028;596020.772642;35389.2278267;25386.6767451;294043.556922;210933.92501;174635.005888;125275.478305;699637.496131;501889.191819;225990.959815;162115.982644;815064.919182;584691.752272;;;84019.3232076;60271.7699595;445021.225122;445021.225122;;;7.68510791463e+11;;3.43286581242e+11;8.27530995875e+11;1.40864706039e+12;2.47100974016e+12;1.0524922685e+11;8.74499358333e+11;5.19372715355e+11;2.08075479646e+12;6.72107736065e+11;2.4240413777e+12;;2.49877416128e+11;1.42395449213e+12;;;;
;NO;1985;p99p100;1068721.64922;;;;;;;;;;;;;;;;;;;;;;;;;;;;1980207.7084;;1.4259336359;1.4259336359;;;;;;;;;;;;;;;;0.0444969273;0.0444969273;749489.052156;1388709.58544
;NO;1985;p99.9p100;2429558.11593;;;;;;;;;;;;;;;;;;;;;;;;;;;;4501667.68183;;1.7148408119;1.7148408119;;;;;;;;;;;;;;;;0.0101156247;0.0101156247;1416783.47001;2625122.78149
;NO;1985;p99.99p100;6214858.37483;;;;;;;;;;;;;;;;;;;;;;;;;;;;11515356.1916;;1.5701104299;1.5701104299;;;;;;;;;;;;;;;;0.0025875971;0.0025875971;3958230.10693;7334105.91531
;NO;1985;p90p100;567733.860394;;;;;;;;;;;;;;;;;;;;;;;;;;;;1051939.92046;;1.3643242917;1.3643242917;;;;;;;;;;;;;;;;0.2363797188;0.2363797188;416128.235683;771033.636853
;NO;1985;p90p95;452805.719657;;;;;;;;;;;;;;;;;;;;;;;;;;;;838992.432806;;;;;;;;;;;;;;;;;;;0.0942643166;0.0942643166;416128.235683;771033.636853
;NO;1985;p95p99;586147.089109;;;;;;;;;;;;;;;;;;;;;;;;;;;;1086057.33303;;;;;;;;;;;;;;;;;;;0.097618475;0.097618475;500614.009617;927575.221761
;NO;1985;p99.5p99.9;1053398.89446;;;;;;;;;;;;;;;;;;;;;;;;;;;;1951816.55798;;;;;;;;;;;;;;;;;;;0.0175435817;0.0175435817;887243.822537;1643951.96626
;NO;1985;p99.95p99.99;2545153.90836;;;;;;;;;;;;;;;;;;;;;;;;;;;;4715852.24466;;;;;;;;;;;;;;;;;;;0.0042387661;0.0042387661;1840357.9095;3409953.3038
;NO;1985;p99.9p99.95;1580021.43021;;;;;;;;;;;;;;;;;;;;;;;;;;;;2927582.32962;;;;;;;;;;;;;;;;;;;0.0032892615;0.0032892615;1416783.47001;2625122.78149
;NO;1985;p99.9p99.99;2008969.19828;;;;;;;;;;;;;;;;;;;;;;;;;;;;3722368.95853;;;;;;;;;;;;;;;;;;;0.0075280276;0.0075280276;1416783.47001;2625122.78149
;NO;1985;p99p99.5;808812.559693;;;;;;;;;;;;;;;;;;;;;;;;;;;;1498628.63405;;;;;;;;;;;;;;;;;;;0.0168377209;0.0168377209;749489.052156;1388709.58544
;NO;1985;p95p100;682662.001131;;;;;;;;;;;;;;;;;;;;;;;;;;;;1264887.40811;;1.3636494146;1.3636494146;;;;;;;;;;;;;;;;0.1421154022;0.1421154022;500614.009617;927575.221761
;NO;1985;p99.5p100;1328630.73875;;;;;;;;;;;;;;;;;;;;;;;;;;;;2461786.78275;;1.4974809686;1.4974809686;;;;;;;;;;;;;;;;0.0276592064;0.0276592064;887243.822537;1643951.96626
;NO;1985;p99.95p100;3279094.80165;;;;;;;;;;;;;;;;;;;;;;;;;;;;6075753.03404;;1.7817701572;1.7817701572;;;;;;;;;;;;;;;;0.0068263632;0.0068263632;1840357.9095;3409953.3038
;NO;1984;p0p100;231980.524123;231980.524123;;;108551.591312;77423.3912396;246333.088512;175694.735163;461056.155212;328843.922571;800634.267116;571044.784821;29731.6170705;21205.7934187;264289.554835;188502.014178;159769.127814;113953.812572;674126.20948;480814.114567;213070.054269;151970.191996;782677.800792;558237.505806;;;74788.8099505;53342.4081873;420851.550485;420851.550485;;;7.36186455335e+11;;3.20095629842e+11;7.26384055407e+11;1.35955685781e+12;2.36090071926e+12;87672235638.1;7.79333867824e+11;4.7112528687e+11;1.987855277e+12;6.28298419187e+11;2.30795090684e+12;;2.20536345316e+11;1.33556561417e+12;;;;
;NO;1984;p99p100;1018293.47666;;;;;;;;;;;;;;;;;;;;;;;;;;;;1847355.03174;;1.4159615175;1.4159615175;;;;;;;;;;;;;;;;0.0438956451;0.0438956451;719153.35556;1304664.71644
;NO;1984;p99.9p100;2322426.58602;;;;;;;;;;;;;;;;;;;;;;;;;;;;4213271.06364;;1.7420460342;1.7420460342;;;;;;;;;;;;;;;;0.0100112998;0.0100112998;1333160.28419;2418576.19198
;NO;1984;p99.99p100;5741293.68238;;;;;;;;;;;;;;;;;;;;;;;;;;;;10415668.9755;;1.4457470357;1.4457470357;;;;;;;;;;;;;;;;0.0024749033;0.0024749033;3971160.6115;7204350.9122
;NO;1984;p90p100;546685.745261;;;;;;;;;;;;;;;;;;;;;;;;;;;;991779.565942;;1.357179373;1.357179373;;;;;;;;;;;;;;;;0.2356601906;0.2356601906;402810.237279;730765.281057
;NO;1984;p90p95;438016.200377;;;;;;;;;;;;;;;;;;;;;;;;;;;;794634.798606;;;;;;;;;;;;;;;;;;;0.0944079685;0.0944079685;402810.237279;730765.281057
;NO;1984;p95p99;564620.743514;;;;;;;;;;;;;;;;;;;;;;;;;;;;1024316.65866;;;;;;;;;;;;;;;;;;;0.0973565769;0.0973565769;483553.052231;877246.279803
;NO;1984;p99.5p99.9;997857.454425;;;;;;;;;;;;;;;;;;;;;;;;;;;;1810280.66234;;;;;;;;;;;;;;;;;;;0.0172058833;0.0172058833;847498.277835;1537503.91594
;NO;1984;p99.95p99.99;2488119.22461;;;;;;;;;;;;;;;;;;;;;;;;;;;;4513865.27999;;;;;;;;;;;;;;;;;;;0.0042902209;0.0042902209;1771822.74154;3214383.40905
;NO;1984;p99.9p99.95;1506099.05587;;;;;;;;;;;;;;;;;;;;;;;;;;;;2732316.10819;;;;;;;;;;;;;;;;;;;0.0032461756;0.0032461756;1333160.28419;2418576.19198
;NO;1984;p99.9p99.99;1942552.4642;;;;;;;;;;;;;;;;;;;;;;;;;;;;3524115.7401;;;;;;;;;;;;;;;;;;;0.0075363965;0.0075363965;1333160.28419;2418576.19198
;NO;1984;p99p99.5;773815.672586;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403831.32088;;;;;;;;;;;;;;;;;;;0.016678462;0.016678462;719153.35556;1304664.71644
;NO;1984;p95p100;655355.290144;;;;;;;;;;;;;;;;;;;;;;;;;;;;1188924.33328;;1.3552913938;1.3552913938;;;;;;;;;;;;;;;;0.1412522221;0.1412522221;483553.052231;877246.279803
;NO;1984;p99.5p100;1262771.28074;;;;;;;;;;;;;;;;;;;;;;;;;;;;2290878.7426;;1.4899986393;1.4899986393;;;;;;;;;;;;;;;;0.0272171831;0.0272171831;847498.277835;1537503.91594
;NO;1984;p99.95p100;3138754.11616;;;;;;;;;;;;;;;;;;;;;;;;;;;;5694226.01909;;1.7714831414;1.7714831414;;;;;;;;;;;;;;;;0.0067651242;0.0067651242;1771822.74154;3214383.40905
;NO;1983;p0p100;224875.305906;224875.305906;;;103270.124476;73275.9761446;224800.660871;159508.744149;452490.365758;321067.427924;795822.201235;564680.72377;22315.9780135;15834.4446746;239207.593736;169731.275343;148959.15324;105694.918203;678145.143894;481182.216431;225654.778136;160114.788507;781415.26837;554458.192576;;;67932.4624822;48201.9124654;396891.856811;396891.856811;;;7.0748247282e+11;;3.02081017692e+11;6.57576552349e+11;1.32360400336e+12;2.32790249523e+12;65277672350.0;6.99719049646e+11;4.35728462936e+11;1.98367898024e+12;6.60074976882e+11;2.28575999793e+12;;1.9871291436e+11;1.24866548227e+12;;;;
;NO;1983;p99p100;993085.676601;;;;;;;;;;;;;;;;;;;;;;;;;;;;1752738.55246;;1.4030304698;1.4030304698;;;;;;;;;;;;;;;;0.0441616154;0.0441616154;707814.760972;1249251.95156
;NO;1983;p99.9p100;2214484.84662;;;;;;;;;;;;;;;;;;;;;;;;;;;;3908437.16304;;1.6953728335;1.6953728335;;;;;;;;;;;;;;;;0.0098476124;0.0098476124;1306193.42418;2305355.54532
;NO;1983;p99.99p100;5439247.70136;;;;;;;;;;;;;;;;;;;;;;;;;;;;9599956.34535;;1.493301868;1.493301868;;;;;;;;;;;;;;;;0.0024187839;0.0024187839;3642430.11941;6428677.65125
;NO;1983;p90p100;539611.777077;;;;;;;;;;;;;;;;;;;;;;;;;;;;952383.452235;;1.3501576721;1.3501576721;;;;;;;;;;;;;;;;0.2399604416;0.2399604416;399665.748849;705386.838831
;NO;1983;p90p95;434100.553592;;;;;;;;;;;;;;;;;;;;;;;;;;;;766162.269634;;;;;;;;;;;;;;;;;;;0.0965202808;0.0965202808;399665.748849;705386.838831
;NO;1983;p95p99;558132.331554;;;;;;;;;;;;;;;;;;;;;;;;;;;;985071.155429;;;;;;;;;;;;;;;;;;;0.0992785454;0.0992785454;479022.919157;845447.636293
;NO;1983;p99.5p99.9;977295.604243;;;;;;;;;;;;;;;;;;;;;;;;;;;;1724869.99165;;;;;;;;;;;;;;;;;;;0.0173837781;0.0173837781;832610.311053;1469508.85079
;NO;1983;p99.95p99.99;2341792.42732;;;;;;;;;;;;;;;;;;;;;;;;;;;;4133127.65045;;;;;;;;;;;;;;;;;;;0.004165495;0.004165495;1721538.61394;3038415.68688
;NO;1983;p99.9p99.95;1467686.21111;;;;;;;;;;;;;;;;;;;;;;;;;;;;2590380.93665;;;;;;;;;;;;;;;;;;;0.0032633334;0.0032633334;1306193.42418;2305355.54532
;NO;1983;p99.9p99.99;1856177.86276;;;;;;;;;;;;;;;;;;;;;;;;;;;;3276046.14278;;;;;;;;;;;;;;;;;;;0.0074288285;0.0074288285;1306193.42418;2305355.54532
;NO;1983;p99p99.5;761437.900486;;;;;;;;;;;;;;;;;;;;;;;;;;;;1343893.679;;;;;;;;;;;;;;;;;;;0.0169302249;0.0169302249;707814.760972;1249251.95156
;NO;1983;p95p100;645123.000563;;;;;;;;;;;;;;;;;;;;;;;;;;;;1138604.63484;;1.3467476707;1.3467476707;;;;;;;;;;;;;;;;0.1434401608;0.1434401608;479022.919157;845447.636293
;NO;1983;p99.5p100;1224733.45272;;;;;;;;;;;;;;;;;;;;;;;;;;;;2161583.42593;;1.4709563843;1.4709563843;;;;;;;;;;;;;;;;0.0272313905;0.0272313905;832610.311053;1469508.85079
;NO;1983;p99.95p100;2961283.48213;;;;;;;;;;;;;;;;;;;;;;;;;;;;5226493.38943;;1.720137706;1.720137706;;;;;;;;;;;;;;;;0.0065842789;0.0065842789;1721538.61394;3038415.68688
;NO;1982;p0p100;220860.289807;220860.289807;;;100693.051493;71117.5017549;208966.102627;147588.60666;440293.702115;310970.694287;774062.053199;546704.64953;19468.8915491;13750.4913038;225119.382949;158997.347627;142937.061955;100953.607063;657215.721384;464178.406808;216922.019269;153207.712521;757908.772878;535295.908563;;;62713.4294446;44293.2492603;384141.289122;384141.289122;;;6.88687892916e+11;;2.9208406011e+11;6.06155705637e+11;1.27717623259e+12;2.24535043801e+12;56474134065.5;6.53012123537e+11;4.14622824285e+11;1.90640996e+12;6.29233727409e+11;2.19849402011e+12;;1.81915165187e+11;1.1978316936e+12;;;;
;NO;1982;p99p100;977360.429548;;;;;;;;;;;;;;;;;;;;;;;;;;;;1699918.51261;;1.3912524742;1.3912524742;;;;;;;;;;;;;;;;0.044252429;0.044252429;702504.001027;1221861.98707
;NO;1982;p99.9p100;2153323.10992;;;;;;;;;;;;;;;;;;;;;;;;;;;;3745265.00923;;1.704971795;1.704971795;;;;;;;;;;;;;;;;0.009749707;0.009749707;1262966.99819;2196672.70757
;NO;1982;p99.99p100;5392439.52001;;;;;;;;;;;;;;;;;;;;;;;;;;;;9379045.32562;;1.4962055984;1.4962055984;;;;;;;;;;;;;;;;0.0024415614;0.0024415614;3604076.55582;6268553.82403
;NO;1982;p90p100;538042.302929;;;;;;;;;;;;;;;;;;;;;;;;;;;;935814.509842;;1.3390065138;1.3390065138;;;;;;;;;;;;;;;;0.2436120605;0.2436120605;401822.020563;698887.197475
;NO;1982;p90p95;435711.087598;;;;;;;;;;;;;;;;;;;;;;;;;;;;757830.296342;;;;;;;;;;;;;;;;;;;0.0986395264;0.0986395264;401822.020563;698887.197475
;NO;1982;p95p99;556126.790438;;;;;;;;;;;;;;;;;;;;;;;;;;;;967268.776025;;;;;;;;;;;;;;;;;;;0.1007201052;0.1007201052;479516.738338;834021.263768
;NO;1982;p99.5p99.9;961144.369443;;;;;;;;;;;;;;;;;;;;;;;;;;;;1671713.99364;;;;;;;;;;;;;;;;;;;0.0174072826;0.0174072826;825206.892315;1435278.56313
;NO;1982;p99.95p99.99;2264770.14099;;;;;;;;;;;;;;;;;;;;;;;;;;;;3939104.31922;;;;;;;;;;;;;;;;;;;0.0041017245;0.0041017245;1649044.71471;2868175.90923
;NO;1982;p99.9p99.95;1416342.20306;;;;;;;;;;;;;;;;;;;;;;;;;;;;2463437.49796;;;;;;;;;;;;;;;;;;;0.0032064211;0.0032064211;1262966.99819;2196672.70757
;NO;1982;p99.9p99.99;1793421.28658;;;;;;;;;;;;;;;;;;;;;;;;;;;;3119289.41852;;;;;;;;;;;;;;;;;;;0.0073081456;0.0073081456;1262966.99819;2196672.70757
;NO;1982;p99p99.5;755140.741557;;;;;;;;;;;;;;;;;;;;;;;;;;;;1313412.82846;;;;;;;;;;;;;;;;;;;0.0170954394;0.0170954394;702504.001027;1221861.98707
;NO;1982;p95p100;640373.51826;;;;;;;;;;;;;;;;;;;;;;;;;;;;1113798.72334;;1.335456027;1.335456027;;;;;;;;;;;;;;;;0.1449725342;0.1449725342;479516.738338;834021.263768
;NO;1982;p99.5p100;1199580.11754;;;;;;;;;;;;;;;;;;;;;;;;;;;;2086424.19676;;1.4536719563;1.4536719563;;;;;;;;;;;;;;;;0.0271569896;0.0271569896;825206.892315;1435278.56313
;NO;1982;p99.95p100;2890304.01679;;;;;;;;;;;;;;;;;;;;;;;;;;;;5027092.5205;;1.7527141569;1.7527141569;;;;;;;;;;;;;;;;0.0065432858;0.0065432858;1649044.71471;2868175.90923
;NO;1981;p0p100;219147.275327;219147.275327;;;100049.590941;70338.3824571;203051.497036;142752.346338;432607.492007;304138.287226;717459.294151;504399.126019;21363.462783;15019.265963;223994.263937;157475.848294;142221.501777;99986.7195003;596466.936309;419337.241605;163859.444302;115198.954379;696516.52725;489675.624062;;;60409.2993773;42469.8628308;390077.110299;390077.110299;;;6.76961502785e+11;;2.87848576065e+11;5.84191137012e+11;1.24463727835e+12;2.06417271937e+12;61463942871.1;6.44444713008e+11;4.0917965168e+11;1.71607056731e+12;4.71433288963e+11;2.00391914337e+12;;1.73801118457e+11;1.20497590671e+12;;;;
;NO;1981;p99p100;979803.64421;;;;;;;;;;;;;;;;;;;;;;;;;;;;1744027.95392;;1.3778887362;1.3778887362;;;;;;;;;;;;;;;;0.0447098255;0.0447098255;711090.539063;1265724.80641
;NO;1981;p99.9p100;2064163.89354;;;;;;;;;;;;;;;;;;;;;;;;;;;;3674164.26043;;1.6217804368;1.6217804368;;;;;;;;;;;;;;;;0.0094190717;0.0094190717;1272776.41699;2265512.7519
;NO;1981;p99.99p100;4969022.4454;;;;;;;;;;;;;;;;;;;;;;;;;;;;8844745.67901;;1.515601424;1.515601424;;;;;;;;;;;;;;;;0.0022674352;0.0022674352;3278581.27266;5835799.26701
;NO;1981;p90p100;540555.866778;;;;;;;;;;;;;;;;;;;;;;;;;;;;962177.011573;;1.3444364223;1.3444364223;;;;;;;;;;;;;;;;0.2466632843;0.2466632843;402068.746289;715673.121924
;NO;1981;p90p95;436474.035892;;;;;;;;;;;;;;;;;;;;;;;;;;;;776913.74619;;;;;;;;;;;;;;;;;;;0.0995846367;0.0995846367;402068.746289;715673.121924
;NO;1981;p95p99;560846.211028;;;;;;;;;;;;;;;;;;;;;;;;;;;;998293.357715;;;;;;;;;;;;;;;;;;;0.1023688221;0.1023688221;481499.072461;857057.275831
;NO;1981;p99.5p99.9;976556.251787;;;;;;;;;;;;;;;;;;;;;;;;;;;;1738247.67008;;;;;;;;;;;;;;;;;;;0.017824657;0.017824657;837044.341993;1489919.67904
;NO;1981;p99.95p99.99;2159689.362;;;;;;;;;;;;;;;;;;;;;;;;;;;;3844197.39747;;;;;;;;;;;;;;;;;;;0.0039419872;0.0039419872;1605627.30762;2857979.68256
;NO;1981;p99.9p99.95;1406771.8084;;;;;;;;;;;;;;;;;;;;;;;;;;;;2504021.46708;;;;;;;;;;;;;;;;;;;0.0032096493;0.0032096493;1272776.41699;2265512.7519
;NO;1981;p99.9p99.99;1741401.83222;;;;;;;;;;;;;;;;;;;;;;;;;;;;3099655.21392;;;;;;;;;;;;;;;;;;;0.0071516365;0.0071516365;1272776.41699;2265512.7519
;NO;1981;p99p99.5;765529.508283;;;;;;;;;;;;;;;;;;;;;;;;;;;;1362624.91968;;;;;;;;;;;;;;;;;;;0.0174660969;0.0174660969;711090.539063;1265724.80641
;NO;1981;p95p100;644637.697664;;;;;;;;;;;;;;;;;;;;;;;;;;;;1147440.27696;;1.3388139968;1.3388139968;;;;;;;;;;;;;;;;0.1470786476;0.1470786476;481499.072461;857057.275831
;NO;1981;p99.5p100;1194077.78014;;;;;;;;;;;;;;;;;;;;;;;;;;;;2125430.98815;;1.4265406505;1.4265406505;;;;;;;;;;;;;;;;0.0272437286;0.0272437286;837044.341993;1489919.67904
;NO;1981;p99.95p100;2721555.97868;;;;;;;;;;;;;;;;;;;;;;;;;;;;4844307.05377;;1.6950110189;1.6950110189;;;;;;;;;;;;;;;;0.0062094223;0.0062094223;1605627.30762;2857979.68256
;NO;1980;p0p100;218459.403748;218459.403748;;;96970.6165038;67874.3915245;202409.323643;141676.006367;429077.8571;300332.198735;661612.774452;463094.554927;22057.9056058;15439.3874689;225237.386631;157654.463975;143137.114241;100188.540446;541814.09496;379241.705795;112736.237861;78909.5070594;638784.711464;447116.097319;;;60042.3667845;42026.5360593;386149.434163;386149.434163;;;6.68880506436e+11;;2.76852855589e+11;5.7788226237e+11;1.22502500542e+12;1.88891638009e+12;62975717546.8;6.43056793106e+11;4.08659037626e+11;1.54688899377e+12;3.21863988344e+11;1.82374184935e+12;;1.71422037932e+11;1.18231499607e+12;;;;
;NO;1980;p99p100;1005555.02507;;;;;;;;;;;;;;;;;;;;;;;;;;;;1777421.78771;;1.3886694728;1.3886694728;;;;;;;;;;;;;;;;0.046029377;0.046029377;724114.013284;1279945.89247
;NO;1980;p99.9p100;2137203.78833;;;;;;;;;;;;;;;;;;;;;;;;;;;;3777727.2088;;1.6236458482;1.6236458482;;;;;;;;;;;;;;;;0.0097830707;0.0097830707;1316299.23523;2326694.09581
